state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/04/07,511114,510672,511556,73.09,72.92,73.25,699640,699209,700071,
CW,2021/04/08,512656,512335,512977,73.4,73.31,73.49,698757,698556,698958,
CW,2021/04/09,509288,508963,509613,72.95,72.85,73.05,698442,698180,698704,
CW,2021/04/10,492483,492187,492780,70.68,70.61,70.76,697065,696884,697246,
CW,2021/04/11,480867,480258,481477,69.36,69.12,69.61,693586,692953,694218,
CW,2021/04/12,487084,486633,487534,70.28,70.11,70.45,693380,692943,693818,
CW,2021/04/13,512138,511684,512593,73.49,73.31,73.66,697238,696754,697722,
CW,2021/04/14,521772,521215,522329,74.37,74.16,74.59,701888,701343,702433,
CW,2021/04/15,520800,520246,521353,74.33,74.09,74.56,700672,700069,701276,
CW,2021/04/16,516766,516195,517337,73.7,73.46,73.95,701146,700514,701779,
CW,2021/04/17,498258,497675,498840,71.5,71.24,71.75,696908,696267,697548,
CW,2021/04/18,483301,482726,483875,69.73,69.48,69.98,693081,692434,693728,
CW,2021/04/19,488412,487859,488966,70.44,70.36,70.52,693398,692776,694021,
CW,2021/04/20,512099,511562,512637,73.44,73.38,73.51,697272,696650,697894,
CW,2021/04/21,520200,519658,520743,74.35,74.29,74.4,699683,699038,700328,
CW,2021/04/22,519302,518753,519851,74.27,74.2,74.34,699218,698555,699882,
CW,2021/04/23,514213,513670,514755,73.61,73.56,73.67,698554,697910,699198,
CW,2021/04/24,494642,493929,495355,70.91,70.69,71.13,697528,696658,698398,
CW,2021/04/25,480780,480198,481363,69.29,69.18,69.41,693820,693162,694478,
CW,2021/04/26,487369,486735,488002,70.37,70.22,70.53,692538,691827,693249,
CW,2021/04/27,512623,512052,513193,73.57,73.32,73.83,696748,696045,697450,
CW,2021/04/28,521768,521218,522317,74.54,74.3,74.78,699985,699375,700596,
CW,2021/04/29,521563,521016,522110,74.52,74.29,74.76,699863,699254,700471,
CW,2021/04/30,515925,515327,516524,73.84,73.59,74.08,699061,698398,699724,
CW,2021/05/01,495229,494609,495849,71.24,70.98,71.49,695514,694839,696189,
CW,2021/05/02,480668,480067,481269,69.51,69.26,69.76,691824,691148,692500,
CW,2021/05/03,487074,486632,487516,70.4,70.23,70.58,692160,691675,692646,
