state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,28,194,0,31,191,0,60,222,36886,222,27147,222,6551,222,495,222,492,222,4,220,20,220,2928,222,1256,222,1203,222,6487,222,5694,222,64,220,42,220,3880,222,0.7359702868296915,222,27147,36886,0.2413157991674955,222,6551,27147,0.17760125792983789,222,6551,36886,0.3237113402061856,222,1256,3880,0.7546391752577319,222,2928,3880,2020-12-30
PR,0,1,67,0,1,67,4,68,9028,68,4116,68,401,68,16,68,28,68,1,68,7,68,384,68,73,68,66,68,392,68,325,68,9,68,1,68,632,68,0.4559149313247674,68,4116,9028,0.09742468415937804,68,401,4116,0.04441736818785999,68,401,9028,0.11550632911392406,68,73,632,0.6075949367088608,68,384,632,2020-12-30
RI,5,9,0,5,9,0,20,14,2486,14,2211,14,459,14,28,14,0,14,0,14,0,14,132,14,53,14,52,14,455,14,404,14,4,14,4,14,151,14,0.8893805309734514,14,2211,2486,0.20759837177747625,14,459,2211,0.1846339501206758,14,459,2486,0.3509933774834437,14,53,151,0.8741721854304636,14,132,151,2020-12-30
SC,17,67,0,17,67,0,17,84,10880,84,8442,84,2040,84,247,84,135,84,1,84,1,84,1020,84,421,84,401,84,2025,84,1892,84,15,84,11,84,1240,84,0.7759191176470588,84,8442,10880,0.24164889836531628,84,2040,8442,0.1875,84,2040,10880,0.3395161290322581,84,421,1240,0.8225806451612904,84,1020,1240,2020-12-30
SD,1,60,1,1,60,1,45,62,2752,62,1542,62,262,62,18,62,10,62,0,62,0,62,132,62,54,62,51,62,261,62,236,62,1,62,0,62,235,62,0.5603197674418605,62,1542,2752,0.16990920881971466,62,262,1542,0.09520348837209303,62,262,2752,0.2297872340425532,62,54,235,0.5617021276595745,62,132,235,2020-12-30
TN,0,3,140,0,3,140,0,3,20239,143,11574,121,1,3,0,3,0,3,0,3,0,3,1649,138,0,3,0,3,1,3,1,3,0,3,0,3,2481,143,0.6224253831675182,121,11574,18595,0.017543859649122806,3,1,57,0.012987012987012988,3,1,77,,3,0,0,0.6928571428571428,138,1649,2380,2020-12-30
TX,148,446,0,167,427,0,200,594,68392,594,50275,594,13002,594,1691,594,696,594,35,594,92,594,6776,594,3229,594,3129,594,12809,594,12120,594,193,594,131,594,7904,594,0.7351005965610012,594,50275,68392,0.25861760318249627,594,13002,50275,0.1901099543806293,594,13002,68392,0.4085273279352227,594,3229,7904,0.8572874493927125,594,6776,7904,2020-12-30
UT,0,57,0,2,55,0,3,57,6127,57,3180,57,541,57,59,57,20,57,6,57,0,57,403,57,166,57,150,57,527,57,436,57,14,57,0,57,626,57,0.5190141994450792,57,3180,6127,0.170125786163522,57,541,3180,0.08829769871062511,57,541,6127,0.26517571884984026,57,166,626,0.6437699680511182,57,403,626,2020-12-30
VA,26,75,5,33,68,5,55,106,18144,106,12778,106,2678,106,249,106,230,106,3,106,6,106,1393,106,505,106,457,106,2655,106,2317,106,23,106,15,106,1926,106,0.7042548500881834,106,12778,18144,0.20957896384410707,106,2678,12778,0.14759700176366844,106,2678,18144,0.26220145379023885,106,505,1926,0.7232606438213914,106,1393,1926,2020-12-30
VI,0,1,0,0,1,0,0,1,56,1,47,1,2,1,0,1,0,1,0,1,0,1,4,1,2,1,2,1,2,1,2,1,0,1,0,1,12,1,0.8392857142857143,1,47,56,0.0425531914893617,1,2,47,0.03571428571428571,1,2,56,0.16666666666666666,1,2,12,0.3333333333333333,1,4,12,2020-12-30
VT,1,15,0,1,15,0,0,16,1268,16,731,16,27,16,4,16,4,16,0,16,0,16,59,16,8,16,5,16,27,16,24,16,0,16,0,16,104,16,0.5764984227129337,16,731,1268,0.036935704514363885,16,27,731,0.021293375394321766,16,27,1268,0.07692307692307693,16,8,104,0.5673076923076923,16,59,104,2020-12-30
WA,6,95,0,11,90,0,39,101,13726,101,9314,101,1110,101,94,101,84,101,1,101,18,101,958,101,245,101,231,101,1084,101,986,101,26,101,20,101,1357,101,0.6785662246830833,101,9314,13726,0.11917543482928925,101,1110,9314,0.08086842488707563,101,1110,13726,0.18054532056005895,101,245,1357,0.7059690493736183,101,958,1357,2020-12-30
WI,32,109,5,44,97,5,7,146,13689,146,7818,144,1163,144,203,146,72,146,1,146,12,146,911,144,258,144,251,144,1146,144,1075,144,17,144,8,144,1586,146,0.5799703264094955,144,7818,13480,0.14875927347147608,144,1163,7818,0.0862759643916914,144,1163,13480,0.16298168035375868,144,258,1583,0.5754895767530006,144,911,1583,2020-12-30
