state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used,icu_patients_confirmed_influenza,icu_patients_confirmed_influenza_coverage,previous_day_admission_influenza_confirmed,previous_day_admission_influenza_confirmed_coverage,previous_day_deaths_covid_and_influenza,previous_day_deaths_covid_and_influenza_coverage,previous_day_deaths_influenza,previous_day_deaths_influenza_coverage,total_patients_hospitalized_confirmed_influenza,total_patients_hospitalized_confirmed_influenza_and_covid,total_patients_hospitalized_confirmed_influenza_and_covid_coverage,total_patients_hospitalized_confirmed_influenza_coverage
PA,8,94,124,36,184,6,12,220,31779,226,25705,226,665,220,60,226,365,220,2,220,26,219,2660,226,62,220,55,226,623,220,380,226,42,220,14,220,3617,226,0.808867491110482,226,25705,31779,0.026133773481097,220,665,25446,0.021169579473466,220,665,31413,0.017658786670464,220,62,3511,0.735416090682886,226,2660,3617,2022/04/11,,0,222,8,213,2,214,3,213,5,214,12,215,10,213,20,212,0,223,2,214,23,207,20,207,28,207,54,208,62,207,84,207,81,207,11,218,7,195,5389,9,3477,27,0,10,21,218,34,218,0,61,0,61,145,0,61,218
PR,0,10,56,10,45,11,0,64,9354,66,5961,66,104,65,7,66,10,64,9,65,2,64,461,66,5,65,5,66,79,65,62,66,25,65,21,65,666,66,0.637267479153303,66,5961,9354,0.017829590262301,65,104,5833,0.011351233355163,65,104,9162,0.007849293563579,65,5,637,0.692192192192192,66,461,666,2022/04/11,,0,66,2,66,1,66,0,66,0,66,0,66,2,66,2,66,0,66,0,64,2,64,1,64,0,64,1,64,1,64,2,64,3,64,0,64,0,8,531,10,116,0,0,0,2,65,13,65,0,7,0,7,53,0,7,65
RI,1,1,12,4,8,2,1,13,2034,14,1820,14,59,13,2,14,10,13,0,13,0,13,116,14,7,13,5,14,59,13,46,14,0,13,0,13,136,14,0.894788593903638,14,1820,2034,0.032417582417582,13,59,1820,0.029006882989184,13,59,2034,0.051470588235294,13,7,136,0.852941176470588,14,116,136,2022/04/11,,0,14,0,14,0,14,0,14,0,14,0,14,1,14,1,14,0,14,0,13,0,13,0,13,2,13,2,13,4,13,1,13,1,13,0,13,0,2,7,0,0,0,0,0,0,12,1,12,0,2,0,2,10,0,2,12
SC,21,61,5,24,58,5,9,85,11685,87,8649,87,93,85,10,87,15,85,0,84,0,84,853,87,16,85,12,87,91,85,74,87,2,85,2,85,1303,87,0.74017971758665,87,8649,11685,0.010881010881011,85,93,8547,0.00808133472367,85,93,11508,0.012678288431062,85,16,1262,0.65464313123561,87,853,1303,2022/04/11,,0,86,1,79,0,79,1,79,3,79,1,79,2,79,2,79,0,82,0,83,0,79,1,77,2,78,2,78,4,78,2,78,4,78,0,80,1,59,1609,1595,1751,0,0,0,4,85,8,85,0,51,0,51,37,0,51,85
SD,0,55,10,3,52,10,5,62,2427,65,1406,65,37,62,5,65,2,62,0,62,2,62,114,65,6,62,3,65,37,62,22,65,0,62,0,62,239,65,0.579316028018129,65,1406,2427,0.026928675400291,62,37,1374,0.015671325709445,62,37,2361,0.026086956521739,62,6,230,0.476987447698745,65,114,239,2022/04/11,,0,65,1,47,0,47,0,47,0,47,2,47,1,47,0,47,1,65,0,62,0,43,1,43,0,43,0,43,1,43,0,43,0,42,0,62,0,7,484,0,1131,30,0,74,0,62,0,62,0,5,0,5,4,1,5,62
TN,3,57,80,22,47,71,3,137,18479,140,12871,140,177,137,15,140,19,137,0,137,1,137,1386,140,31,137,29,140,173,137,136,140,4,137,2,137,2056,140,0.696520374479138,140,12871,18479,0.014047619047619,137,177,12600,0.009747232777135,137,177,18159,0.015704154002026,137,31,1974,0.674124513618677,140,1386,2056,2022/04/11,,0,140,0,140,1,140,0,139,4,139,2,139,3,139,3,139,2,140,0,137,1,137,0,137,2,136,3,136,3,136,6,136,2,136,2,137,0,57,8,0,119,50,0,0,1,137,8,137,0,57,0,57,40,2,57,137
TX,6,105,484,11,100,484,82,590,66906,595,49680,595,1165,590,111,595,224,590,10,590,74,590,5260,595,219,590,179,595,1063,590,751,595,102,590,42,590,6370,595,0.742534301856336,595,49680,66906,0.023749337464835,590,1165,49054,0.017609093245061,590,1165,66159,0.035203343513905,590,219,6221,0.82574568288854,595,5260,6370,2022/04/11,,2,592,13,587,11,587,10,586,19,587,20,586,14,587,16,586,6,595,4,585,24,581,23,581,21,583,26,581,47,581,45,583,30,581,4,590,8,571,293,1,115,0,0,0,30,590,55,590,0,105,1,105,199,1,105,590
UT,0,50,9,2,48,9,0,58,6115,59,4536,59,68,58,8,59,2,58,0,58,0,58,346,59,8,58,7,59,60,58,51,59,8,58,0,58,441,59,0.741782502044154,59,4536,6115,0.015151515151515,58,68,4488,0.011252689061724,58,68,6043,0.018561484918794,58,8,431,0.784580498866213,59,346,441,2022/04/11,,0,59,2,56,2,56,1,56,1,56,1,56,0,55,1,56,0,59,0,58,1,55,0,55,0,55,1,55,0,55,0,55,0,55,0,58,0,45,339,0,165,0,0,0,0,58,5,58,0,43,0,43,45,0,43,58
VA,9,75,23,17,70,20,24,104,17949,107,13049,107,255,104,30,107,129,104,0,104,9,104,1270,107,47,104,34,107,244,104,167,107,11,104,5,104,1884,107,0.727004289932587,107,13049,17949,0.019772040009304,104,255,12897,0.014375105699307,104,255,17739,0.025529603476372,104,47,1841,0.674097664543524,107,1270,1884,2022/04/11,,0,105,4,100,2,100,3,101,2,101,3,101,4,102,12,100,0,107,0,100,5,97,8,98,9,98,11,98,23,98,34,101,39,98,0,104,7,69,973,1428,375,96,0,133,0,104,6,104,0,68,0,68,35,1,68,104
VI,0,2,0,2,0,0,0,2,168,2,91,2,4,2,1,2,0,2,0,2,0,2,8,2,2,2,2,2,4,2,4,2,0,2,0,2,20,2,0.541666666666667,2,91,168,0.043956043956044,2,4,91,0.023809523809524,2,4,168,0.1,2,2,20,0.4,2,8,20,2022/04/11,,0,1,,0,,0,,0,,0,1,1,,0,,0,0,2,0,2,,0,,0,,0,,0,,0,,0,,0,0,2,,0,146,,126,0,,30,0,2,0,2,,0,,0,0,,0,2
