state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PA,25,193,6,30,188,6,12,218,30527,224,25120,224,684,218,71,224,272,218,3,216,19,216,2733,224,121,218,106,224,656,218,479,224,28,218,16,218,3642,224,0.822878107904478,224,25120,30527,0.027516292541636,218,684,24858,0.022686567164179,218,684,30150,0.034219457013575,218,121,3536,0.750411861614498,224,2733,3642,2021/07/26,,1,221,5,220,7,221,11,221,15,220,12,221,12,220,7,221,2,210,3,214,14,214,22,214,23,214,38,213,58,213,61,214,49,215,4,203,5,218
PR,0,12,53,0,12,53,3,64,9094,65,5501,65,155,64,13,65,20,64,2,64,5,64,442,65,27,64,20,65,133,64,100,65,22,64,10,64,644,65,0.604904332526941,65,5501,9094,0.028767631774313,64,155,5388,0.017382527755972,64,155,8917,0.044045676998369,64,27,613,0.686335403726708,65,442,644,2021/07/26,,0,65,0,65,0,65,3,65,4,65,6,65,0,65,0,65,0,65,0,64,0,64,4,64,3,64,3,64,6,64,2,64,2,64,0,64,2,64
RI,4,10,1,4,10,1,0,13,2503,15,2297,15,32,14,164,15,53,14,0,14,3,14,125,15,8,14,5,14,31,14,27,15,1,14,0,14,158,15,0.917698761486216,15,2297,2503,0.014247551202137,14,32,2246,0.013147082990961,14,32,2434,0.055555555555556,14,8,144,0.791139240506329,15,125,158,2021/07/26,,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,164,13,0,11,0,11,1,11,0,11,0,11,0,11,1,11,1,11,50,12,3,13
SC,20,61,5,20,61,5,1,84,11402,86,9201,86,673,84,121,86,30,84,1,84,6,84,943,86,182,84,178,86,658,84,635,86,15,84,8,84,1277,86,0.8069636905806,86,9201,11402,0.074029259707403,84,673,9091,0.059891430097001,84,673,11237,0.147249190938511,84,182,1236,0.738449490994518,86,943,1277,2021/07/26,,0,86,11,86,11,86,17,86,35,86,24,86,15,86,8,86,0,81,0,84,2,84,2,84,5,84,6,84,4,84,5,84,6,84,0,79,6,84
SD,0,62,3,0,62,3,5,62,2819,65,1648,65,35,62,4,65,9,62,0,62,1,62,121,65,10,62,9,65,34,62,22,65,1,62,0,62,226,65,0.584604469670096,65,1648,2819,0.021739130434783,62,35,1610,0.012718023255814,62,35,2752,0.046511627906977,62,10,215,0.535398230088496,65,121,226,2021/07/26,,0,65,0,65,0,65,1,65,1,65,0,65,1,65,1,65,0,65,0,62,1,62,1,62,0,62,0,62,5,62,1,62,1,62,0,62,0,62
TN,8,80,55,19,69,55,12,89,20304,143,13375,131,957,89,130,89,48,89,3,89,1,89,1680,140,282,89,271,89,945,89,886,89,12,89,11,89,2384,143,0.692502847675262,131,13375,19314,0.085875807609476,89,957,11144,0.061161884067233,89,957,15647,0.138032305433186,89,282,2043,0.715197956577267,140,1680,2349,2021/07/26,,2,89,8,89,7,89,20,89,18,89,21,89,23,89,15,89,16,89,0,89,2,89,4,89,5,89,8,89,8,89,6,89,2,89,13,89,11,89
TX,20,123,452,18,125,452,103,590,69845,595,53318,595,6512,590,931,595,449,590,25,590,63,590,6188,595,1705,590,1667,595,6340,590,5848,595,172,590,127,590,7161,595,0.763376046961128,595,53318,69845,0.123635397087581,590,6512,52671,0.09425932895232,590,6512,69086,0.243989696622782,590,1705,6988,0.864125122189638,595,6188,7161,2021/07/26,,10,595,82,595,115,595,138,595,150,595,160,595,135,595,77,595,64,595,4,590,44,590,44,590,68,590,78,590,79,590,56,590,54,590,22,590,48,590
UT,0,50,9,0,50,9,0,58,5910,59,3781,59,353,58,57,59,2,58,1,58,0,58,441,59,139,58,141,59,349,58,334,59,4,58,0,58,634,59,0.639763113367174,59,3781,5910,0.094790547798067,58,353,3724,0.060507370586219,58,353,5834,0.225649350649351,58,139,616,0.695583596214511,59,441,634,2021/07/26,,1,59,6,59,7,59,9,59,9,59,6,59,10,59,7,59,2,59,0,58,0,58,0,58,1,58,1,58,0,58,0,58,0,58,0,58,1,58
VA,16,69,20,18,67,20,20,102,18181,105,13154,105,467,102,66,105,145,102,4,102,16,102,1315,105,109,102,88,105,451,102,368,105,16,102,10,102,1941,105,0.723502557615093,105,13154,18181,0.035912027068594,102,467,13004,0.026060267857143,102,467,17920,0.057824933687003,102,109,1885,0.677485832045337,105,1315,1941,2021/07/26,,0,105,4,105,7,105,11,105,15,105,17,105,7,105,5,105,0,105,3,102,10,102,17,102,13,102,25,102,25,102,32,102,20,102,0,102,2,102
VI,0,2,0,0,2,0,6,2,168,2,111,2,20,2,2,2,0,2,1,2,0,2,12,2,7,2,7,2,19,2,19,2,1,2,1,2,20,2,0.660714285714286,2,111,168,0.18018018018018,2,20,111,0.119047619047619,2,20,168,0.35,2,7,20,0.6,2,12,20,2021/07/26,,0,2,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2
