state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,0,68,0,0,68,4,67,9195,68,5203,68,219,67,11,68,23,67,3,67,10,67,480,68,48,67,44,68,199,67,151,68,20,67,3,67,680,68,0.5658510059815117,68,5203,9195,0.042924343394747155,67,219,5102,0.024311722912966252,67,219,9008,0.07395993836671803,67,48,649,0.7058823529411765,68,480,680,2021-02-11
RI,4,10,1,4,10,1,35,14,2306,15,2243,15,242,14,7,15,1,14,1,14,0,14,135,15,35,14,35,15,241,14,202,15,1,14,1,14,181,15,0.9726799653078925,15,2243,2306,0.10995002271694684,14,242,2201,0.10832587287376902,14,242,2234,0.2147239263803681,14,35,163,0.7458563535911602,15,135,181,2021-02-11
SC,22,45,2,23,44,2,13,67,9986,69,7571,69,1166,67,100,69,103,67,2,67,3,67,997,69,303,67,287,69,1152,67,1067,69,14,67,9,67,1329,69,0.7581614259963949,69,7571,9986,0.15602836879432624,67,1166,7473,0.11887042511978795,67,1166,9809,0.23506594259115593,67,303,1289,0.7501881113619263,69,997,1329,2021-02-11
SD,2,58,3,2,58,3,18,60,2580,63,1301,63,95,60,9,63,8,60,1,60,2,60,104,63,10,60,8,63,91,60,74,63,4,60,3,60,240,63,0.5042635658914729,63,1301,2580,0.07439310884886452,60,95,1277,0.037833532457188374,60,95,2511,0.043668122270742356,60,10,229,0.43333333333333335,63,104,240,2021-02-11
TN,20,77,45,38,59,45,14,97,20307,142,12525,127,1062,97,93,97,54,97,1,97,4,97,1625,139,304,97,293,97,1046,97,977,97,16,97,13,97,2355,142,0.6577565381787628,127,12525,19042,0.0948807290270705,97,1062,11193,0.0630117479530082,97,1062,16854,0.14428096820123398,97,304,2107,0.7071366405570061,139,1625,2298,2021-02-11
TX,145,444,0,173,351,65,117,589,67108,589,45882,589,8223,589,636,589,475,589,15,589,61,589,6240,589,2484,589,2385,589,8102,589,7554,589,121,589,92,589,7226,589,0.6837038803123323,589,45882,67108,0.17922060938930298,589,8223,45882,0.12253382607140728,589,8223,67108,0.34375864932189315,589,2484,7226,0.8635482978134514,589,6240,7226,2021-02-11
UT,0,52,1,0,52,1,0,52,5484,53,2809,53,287,52,25,53,8,52,1,52,1,52,381,53,112,52,108,53,275,52,251,53,12,52,0,52,624,53,0.512217359591539,53,2809,5484,0.1036849710982659,52,287,2768,0.05322700296735905,52,287,5392,0.1848184818481848,52,112,606,0.6105769230769231,53,381,624,2021-02-11
VA,22,64,9,24,62,9,56,92,17256,95,11905,95,1731,92,141,95,177,92,3,92,9,92,1383,95,352,92,353,95,1708,92,1555,95,23,92,15,92,1990,95,0.6899049605934168,95,11905,17256,0.1472940776038121,92,1731,11752,0.10187146892655367,92,1731,16992,0.18342886920270973,92,352,1919,0.6949748743718593,95,1383,1990,2021-02-11
VI,2,0,0,2,0,0,0,2,168,2,102,2,5,2,0,2,0,2,0,2,0,2,9,2,0,2,0,2,5,2,5,2,0,2,0,2,20,2,0.6071428571428571,2,102,168,0.049019607843137254,2,5,102,0.02976190476190476,2,5,168,0.0,2,0,20,0.45,2,9,20,2021-02-11
VT,2,14,1,2,14,1,4,16,1313,17,800,17,43,16,2,17,5,16,0,16,0,16,58,17,12,16,12,17,43,16,39,17,0,16,0,16,105,17,0.6092916984006093,17,800,1313,0.0548469387755102,16,43,784,0.033672670321064996,16,43,1277,0.12121212121212122,16,12,99,0.5523809523809524,17,58,105,2021-02-11
