state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
AK,1,22,1,1,22,1,0,24,1639,24,1050,24,20,24,3,24,0,24,0,24,0,24,90,24,10,24,10,24,20,24,20,24,0,24,0,24,132,24,0.640634533251983,24,1050,1639,0.019047619047619,24,20,1050,0.012202562538133,24,20,1639,0.075757575757576,24,10,132,0.681818181818182,24,90,132,2021/06/28,,0,24,1,23,1,24,0,24,1,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,1,24
AL,28,74,15,29,73,15,3,111,15414,117,12942,117,271,111,30,113,69,111,3,111,16,111,1348,117,82,111,78,113,260,111,200,113,11,111,5,111,1632,117,0.839626313740755,117,12942,15414,0.02169562084701,111,271,12491,0.018258994744644,111,271,14842,0.051767676767677,111,82,1584,0.825980392156863,117,1348,1632,2021/06/28,,0,113,3,113,2,113,3,113,3,113,8,113,5,113,6,113,0,113,2,111,9,111,6,111,6,111,6,111,21,111,8,111,11,111,0,111,0,111
AR,19,88,2,19,88,2,1,107,9417,109,6629,109,375,107,64,109,70,107,1,106,16,106,702,109,147,107,148,109,367,107,331,109,8,107,3,107,1005,109,0.703939683551025,109,6629,9417,0.056706487222138,107,375,6613,0.03997867803838,107,375,9380,0.148036253776435,107,147,993,0.698507462686567,109,702,1005,2021/06/28,,1,109,4,109,8,109,5,109,13,109,7,109,12,109,4,109,10,109,2,107,2,107,6,107,8,107,6,107,17,107,15,107,12,107,2,107,4,107
AZ,24,98,3,27,95,3,6,122,17258,125,12085,125,505,122,76,125,95,122,3,122,3,122,1132,125,131,122,83,125,500,122,349,125,5,122,5,122,2214,125,0.700254954224128,125,12085,17258,0.042565745111261,122,505,11864,0.0297654131793,122,505,16966,0.060958585388553,122,131,2149,0.511291779584462,125,1132,2214,2021/06/28,,0,125,5,125,6,125,15,125,14,125,19,125,8,125,8,125,1,125,1,122,11,122,11,122,8,122,23,122,13,122,16,122,12,122,0,122,5,122
CA,58,316,40,73,300,41,44,405,63598,414,48351,414,1401,404,185,414,356,406,2,404,11,403,4778,412,300,404,279,412,1356,404,1121,412,45,404,28,404,6932,412,0.760259756596119,414,48351,63598,0.029345230614553,404,1401,47742,0.022320646199436,404,1401,62767,0.04435901227266,404,300,6763,0.689267166762839,412,4778,6932,2021/06/28,,1,412,20,412,29,412,18,412,40,412,34,412,24,412,18,412,1,412,4,403,32,404,51,404,30,404,52,404,72,403,56,404,55,404,4,404,20,404
CO,7,77,20,6,78,20,6,102,11542,104,8052,104,342,102,48,104,41,102,0,102,6,102,900,104,99,102,97,104,331,102,278,104,11,102,2,102,1284,104,0.697626061341189,104,8052,11542,0.042959427207637,102,342,7961,0.029897718332022,102,342,11439,0.078884462151394,102,99,1255,0.700934579439252,104,900,1284,2021/06/28,,0,103,8,103,5,103,4,103,9,103,5,104,11,103,6,103,0,104,1,101,10,101,3,101,3,101,4,101,10,102,7,101,3,101,0,102,1,102
CT,0,34,4,0,34,4,6,37,8332,38,6542,38,68,37,11,38,20,37,0,37,0,37,546,38,7,37,7,38,67,37,42,38,1,37,0,37,1052,38,0.78516562650024,38,6542,8332,0.010476043752889,37,68,6491,0.008245422577907,37,68,8247,0.006796116504854,37,7,1030,0.519011406844106,38,546,1052,2021/06/28,,0,38,4,38,2,38,1,38,2,38,1,38,0,38,1,38,0,38,0,37,1,37,5,37,0,37,4,37,3,37,2,37,5,37,0,37,0,37
DC,0,12,2,0,12,2,0,12,3463,14,2655,14,57,13,8,14,48,13,1,13,0,13,260,14,12,12,9,13,52,13,35,14,5,13,2,13,362,14,0.766676292232169,14,2655,3463,0.022144522144522,13,57,2574,0.017040358744395,13,57,3345,0.034285714285714,12,12,350,0.718232044198895,14,260,362,2021/06/28,,0,14,0,14,1,14,0,14,4,14,0,14,1,14,2,14,0,14,1,13,0,13,18,13,7,13,5,13,6,13,4,13,7,13,0,13,0,12
DE,1,13,2,1,13,2,0,15,3442,16,2605,16,23,15,0,16,41,15,0,15,0,15,140,16,3,15,3,16,21,15,18,16,2,15,1,15,190,16,0.756827425915166,16,2605,3442,0.00890092879257,15,23,2584,0.006744868035191,15,23,3410,0.016483516483516,15,3,182,0.736842105263158,16,140,190,2021/06/28,,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,15,2,15,1,15,4,15,4,15,9,15,14,15,7,15,0,15,0,15
FL,5,205,58,5,205,58,65,262,58799,268,45473,268,2158,262,326,268,152,262,8,262,22,262,4904,268,453,262,434,268,2132,262,1856,268,26,262,18,262,6375,268,0.773363492576404,268,45473,58799,0.048193309214346,262,2158,44778,0.037320789305294,262,2158,57823,0.073218037821238,262,453,6187,0.769254901960784,268,4904,6375,2021/06/28,,1,268,23,268,45,268,54,267,65,268,52,268,38,268,38,268,11,268,1,262,8,262,13,262,14,262,25,262,41,262,28,262,22,262,0,262,12,262
