state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,2,190,29317,188,24859,209,1117,210,2808,177,220,181,163,173,1047,193,585,183,58,193,49,183,3326,165,0.7712589964866801,188,22611,29317,0.044933424514260425,209,1117,24859,0.034519220929835934,188,1012,29317,0.06494287432351173,157,216,3326,0.8144918821407096,160,2709,3326,2020-09-26
PR,2,68,9462,68,5100,68,370,68,450,68,67,67,48,67,329,67,208,67,41,67,10,67,648,68,0.5389980976537729,68,5100,9462,0.07254901960784314,68,370,5100,0.039103783555273726,68,370,9462,0.10339506172839506,67,67,648,0.6944444444444444,68,450,648,2020-09-26
RI,3,14,2207,14,2203,14,102,14,140,14,9,14,8,14,101,14,97,14,1,14,1,14,155,14,0.9981875849569551,14,2203,2207,0.0463004993191103,14,102,2203,0.046216583597643864,14,102,2207,0.05806451612903226,14,9,155,0.9032258064516129,14,140,155,2020-09-26
SC,4,76,10216,82,8178,82,730,82,957,78,179,78,153,78,727,80,541,80,3,80,1,80,1312,77,0.8005090054815975,82,8178,10216,0.0892638786989484,82,730,8178,0.07145653876272513,82,730,10216,0.13567073170731708,76,178,1312,0.7263719512195121,77,953,1312,2020-09-26
SD,0,58,2092,56,1494,60,206,60,85,50,32,49,31,48,157,56,144,55,40,56,40,55,219,51,0.5994263862332696,56,1254,2092,0.13788487282463185,60,206,1494,0.07839388145315487,56,164,2092,0.136986301369863,47,30,219,0.40669856459330145,49,85,209,2020-09-26
TN,7,114,18061,120,12871,120,1053,118,1647,117,276,111,247,111,976,114,799,113,75,114,75,113,2088,119,0.731151473612063,117,12801,17508,0.07927610506085843,109,990,12488,0.058802502234137626,106,987,16785,0.13537996980372421,105,269,1987,0.810930576070901,116,1647,2031,2020-09-26
TX,103,552,66980,570,46073,570,4110,572,5145,526,1168,534,1054,534,4053,557,3390,551,46,557,30,551,6674,518,0.6896028142758351,568,45871,66518,0.0881560067829036,569,4055,45998,0.061325760406546595,569,4103,66905,0.16122265507941264,513,1076,6674,0.7726518920548772,516,5125,6633,2020-09-26
UT,5,52,5187,51,3088,53,261,53,342,44,76,43,71,43,242,50,198,49,6,50,5,49,559,41,0.5812608444187392,51,3015,5187,0.08452072538860103,53,261,3088,0.0503181029496819,51,261,5187,0.12701252236135957,40,71,559,0.5867620751341681,40,328,559,2020-09-26
VA,24,97,17431,92,11620,92,941,96,1295,94,215,94,144,94,934,94,536,94,7,94,3,94,1843,95,0.6666284206299122,92,11620,17431,0.08068290146459832,91,931,11539,0.053749783499797935,91,931,17321,0.11678435632808257,94,215,1841,0.7034220532319392,94,1295,1841,2020-09-26
VI,0,2,188,2,82,2,3,2,8,2,1,2,1,2,3,2,3,2,0,2,0,2,20,2,0.43617021276595747,2,82,188,0.036585365853658534,2,3,82,0.015957446808510637,2,3,188,0.05,2,1,20,0.4,2,8,20,2020-09-26
