state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,1341,21,802,23,39,24,54,13,3,21,32,8,0.379280822,20,443,1168,0.041147132,23,33,802,0.019388516,21,26,1341,0,6,0,30,0.5,8,16,32,7/28/2020
AL,11934,104,7884,89,2138,111,1049,85,481,90,1102,74,0.782232299,87,7590,9703,0.216573462,88,1704,7868,0.151787213,103,1809,11918,0.356624319,69,393,1102,0.878870674,73,965,1098,7/28/2020
AR,7929,86,4876,80,1695,90,684,76,350,73,914,70,0.701817657,78,4865,6932,0.155660377,80,759,4876,0.213646109,86,1694,7929,0.314692982,65,287,912,0.7297593,70,667,914,7/28/2020
AZ,9834,76,8021,70,2345,87,1034,63,647,69,1038,53,0.868796131,62,6827,7858,0.244233886,70,1959,8021,0.202867602,76,1995,9834,0.426782274,51,443,1038,0.842003854,53,874,1038,7/28/2020
CA,62913,384,44984,375,8093,406,5526,365,2098,366,7262,361,0.720583759,374,44981,62423,0.173083763,375,7786,44984,0.12402842,384,7803,62913,0.287033209,358,2083,7257,0.759570366,361,5516,7262,7/28/2020
CO,9111,78,5502,71,448,95,602,66,123,77,952,59,0.628257888,70,5496,8748,0.068157034,71,375,5502,0.042146855,78,384,9111,0.095846645,54,90,939,0.625263158,58,594,950,7/28/2020
CT,8170,30,5767,29,173,31,500,28,19,29,1036,28,0.717021012,29,5767,8043,0.029998266,29,173,5767,0.021175031,30,173,8170,0.018339768,28,19,1036,0.482625483,28,500,1036,7/28/2020
DC,2780,11,2122,11,184,11,252,11,20,11,404,11,0.763309353,11,2122,2780,0.08671065,11,184,2122,0.06618705,11,184,2780,0.04950495,11,20,404,0.623762376,11,252,404,7/28/2020
DE,2487,11,551,7,143,12,41,6,14,7,47,5,0.814487633,6,461,566,0.168784029,7,93,551,0.03216727,11,80,2487,0.106382979,5,5,47,0.872340426,5,41,47,7/28/2020
FL,74178,261,40783,247,9850,264,4888,246,2300,257,5850,245,0.587964765,247,40783,69363,0.216707942,247,8838,40783,0.132573,261,9834,74178,0.357609069,242,2082,5822,0.831965812,245,4867,5850,7/28/2020
GA,13992,112,7980,92,4253,141,1132,83,676,91,1170,73,0.797258081,91,7967,9993,0.256516291,92,2047,7980,0.214551172,112,3002,13992,0.447413793,67,519,1160,0.914529915,73,1070,1170,7/28/2020
HI,1698,16,1227,22,80,22,53,12,13,14,96,12,0.688708037,13,677,983,0.049046322,14,36,734,0.035924617,16,61,1698,0.041666667,12,4,96,0.552083333,12,53,96,7/28/2020
IA,8592,123,3789,69,408,127,442,103,101,102,560,97,0.590143369,68,3293,5580,0.079704407,69,302,3789,0.040386406,123,347,8592,0.136690647,93,76,556,0.642086331,95,357,556,7/28/2020
ID,3989,44,1807,41,223,46,171,35,47,39,268,34,0.473160513,41,1807,3819,0.123408965,41,223,1807,0.055903735,44,223,3989,0.18487395,32,44,238,0.593283582,29,159,268,7/28/2020
IL,28229,179,16254,145,1558,186,1820,133,381,140,2933,114,0.663927053,144,16237,24456,0.081456872,145,1324,16254,0.053668214,179,1515,28229,0.107866712,110,314,2911,0.558267446,111,1624,2909,7/28/2020
IN,15841,131,9482,123,979,133,1399,124,313,120,2198,126,0.61273021,123,9482,15475,0.094784724,122,896,9453,0.059195548,130,936,15812,0.145513715,120,313,2151,0.661465721,124,1399,2115,7/28/2020
KS,7082,116,4127,96,387,125,502,68,92,78,624,62,0.603224734,93,3629,6016,0.08245657,95,337,4087,0.041891508,115,295,7042,0.120521173,58,74,614,0.786184211,59,478,608,7/28/2020
KY,10525,95,7462,97,706,110,942,89,533,91,1167,86,0.699488861,92,7253,10369,0.083221656,97,621,7462,0.059857482,95,630,10525,0.430929626,84,496,1151,0.725792631,82,847,1167,7/28/2020
LA,13997,221,9314,217,647,56,1351,208,459,207,1657,199,0.676987934,217,9314,13758,0.155795148,49,578,3710,0.11007326,53,601,5460,0.241400121,197,400,1657,0.746529873,198,1237,1657,7/28/2020
MA,17250,80,12175,77,344,80,953,74,48,73,1870,74,0.710160989,77,12175,17144,0.02825462,77,344,12175,0.019942029,80,344,17250,0.025668449,73,48,1870,0.509625668,74,953,1870,7/28/2020
MD,9626,50,6686,46,1160,51,723,43,210,47,1051,40,0.781575213,44,6609,8456,0.15487658,44,1029,6644,0.11855024,48,1135,9574,0.176413255,39,181,1026,0.673684211,39,704,1045,7/28/2020
ME,2918,31,1816,31,33,31,192,30,13,28,313,28,0.666544118,30,1813,2720,0.016543069,30,29,1753,0.011578947,30,33,2850,0.038709677,26,12,310,0.591054313,28,185,313,7/28/2020
MI,17219,129,9267,102,730,141,1113,100,150,123,1596,97,0.710616706,100,9103,12810,0.041585656,101,385,9258,0.031271797,128,538,17204,0.069548872,95,111,1596,0.717981889,94,1110,1546,7/28/2020
MN,10911,122,6392,115,411,124,498,105,77,106,774,95,0.670772794,113,6371,9498,0.051001252,115,326,6392,0.037668408,122,411,10911,0.098191214,95,76,774,0.643410853,95,498,774,7/28/2020
MO,18426,120,9780,104,891,134,999,94,274,107,1706,89,0.609754492,101,9264,15193,0.061451943,104,601,9780,0.042494302,120,783,18426,0.117828501,79,191,1621,0.576201641,87,983,1706,7/28/2020
MS,7134,92,3964,79,1517,97,515,59,367,60,514,55,0.647263682,76,3903,6030,0.22653885,79,898,3964,0.211662461,92,1510,7134,0.700803213,54,349,498,0.974708171,55,501,514,7/28/2020
MT,2688,64,1719,50,96,40,112,26,25,52,182,42,0.731661145,47,1546,2113,0.064649243,32,94,1454,0.050351288,36,86,1708,0.122905028,40,22,179,0.636363636,18,91,143,7/28/2020
NC,15153,101,10398,92,1610,121,1036,90,383,108,1324,86,0.771024465,90,10085,13080,0.0994422,92,1034,10398,0.07853126,100,1187,15115,0.200913242,85,264,1314,0.763318113,85,1003,1314,7/28/2020
ND,2276,49,1071,45,108,51,58,38,17,40,80,35,0.641350211,44,1064,1659,0.070961718,45,76,1071,0.04745167,49,108,2276,0.141025641,32,11,78,0.551282051,34,43,78,7/28/2020
NE,4544,95,1976,75,204,96,298,33,45,30,624,51,0.620993086,75,1976,3182,0.080121704,74,158,1972,0.041961131,94,190,4528,0.077720207,29,45,579,0.541818182,31,298,550,7/28/2020
NH,3142,30,2216,29,63,30,152,26,20,22,232,22,0.710028837,29,2216,3121,0.028429603,29,63,2216,0.020050923,30,63,3142,0.079295154,20,18,227,0.581896552,21,135,232,7/28/2020
NJ,14494,67,10146,62,1077,79,900,60,105,64,1616,60,0.730932203,60,9660,13216,0.094224325,62,956,10146,0.064233476,67,931,14494,0.059925094,57,96,1602,0.554455446,59,896,1616,7/28/2020
NM,1555,22,1005,21,111,22,169,19,35,18,230,15,0.646302251,21,1005,1555,0.083060109,20,76,915,0.052924791,21,76,1436,0.139130435,15,32,230,0.626086957,15,144,230,7/28/2020
NV,8529,63,6260,61,3750,63,653,59,334,58,849,59,0.735173224,61,6260,8515,0.59201278,61,3706,6260,0.439676398,63,3750,8529,0.393404005,58,334,849,0.769140165,59,653,849,7/28/2020
NY,40510,146,27007,126,1997,160,2403,117,258,119,4500,110,0.691547422,123,25469,36829,0.056577924,126,1528,27007,0.045248087,146,1833,40510,0.048009368,99,205,4270,0.522121896,106,2313,4430,7/28/2020
OH,29868,203,19406,194,1759,209,2555,189,412,188,4021,165,0.667559203,191,19197,28757,0.088014016,194,1708,19406,0.057862903,202,1722,29760,0.103064067,161,407,3949,0.632312671,164,2540,4017,7/28/2020
OK,8634,96,5144,88,751,139,657,70,222,70,1070,97,0.634646253,86,5140,8099,0.108856808,87,558,5126,0.064778268,95,558,8614,0.203235592,63,201,989,0.663627153,66,655,987,7/28/2020
OR,4128,47,3502,44,257,59,383,43,54,48,421,33,0.697215464,36,2579,3699,0.055968018,44,196,3502,0.045542636,47,188,4128,0.057553957,32,24,417,0.665083135,33,280,421,7/28/2020
PA,25203,167,17369,159,1276,199,2261,149,253,162,2840,135,0.730959097,149,16584,22688,0.057919281,159,1006,17369,0.041542673,167,1047,25203,0.079793129,125,216,2707,0.750617284,130,2128,2835,7/28/2020
PR,7982,70,4234,68,606,70,401,67,75,66,665,66,0.539638032,68,4234,7846,0.142890883,68,605,4234,0.075920822,70,606,7982,0.111627907,64,72,645,0.599383667,65,389,649,7/28/2020
RI,1906,11,1742,11,73,11,137,10,16,10,163,9,0.913955929,11,1742,1906,0.041905855,11,73,1742,0.038300105,11,73,1906,0.098159509,9,16,163,0.840490798,9,137,163,7/28/2020
SC,10801,77,7473,72,1459,81,945,69,354,75,1215,67,0.72397508,69,7205,9952,0.179847451,72,1344,7473,0.130728636,77,1412,10801,0.265843621,67,323,1215,0.753909465,66,916,1215,7/28/2020
SD,2253,51,927,45,43,53,67,37,7,32,93,28,0.546912114,44,921,1684,0.02373247,45,22,927,0.019085664,51,43,2253,0.021505376,25,2,93,0.505376344,28,47,93,7/28/2020
TN,17688,113,11527,111,1570,119,1507,86,449,113,1954,91,0.692779736,100,10612,15318,0.117754728,108,1351,11473,0.08659612,107,1473,17010,0.214549288,88,407,1897,0.826209224,84,1469,1778,7/28/2020
TX,60829,519,41521,498,10126,542,5508,447,2843,456,6192,418,0.705313926,487,40947,58055,0.218569878,497,9063,41465,0.157420672,518,9560,60729,0.369851864,404,2272,6143,0.808139535,416,5004,6192,7/28/2020
UT,5313,51,3061,46,292,52,368,44,77,41,557,39,0.588201384,46,3061,5204,0.088206468,46,270,3061,0.053265575,51,283,5313,0.136445242,38,76,557,0.628366248,39,350,557,7/28/2020
VA,15327,83,8664,75,1349,92,807,72,198,73,1386,71,0.623424486,68,8458,13567,0.109533703,75,949,8664,0.084165199,83,1290,15327,0.139191291,67,179,1286,0.618238022,67,800,1294,7/28/2020
VI,168,2,88,2,5,2,9,2,5,2,20,2,0.523809524,2,88,168,0.056818182,2,5,88,0.029761905,2,5,168,0.25,2,5,20,0.45,2,9,20,7/28/2020
