state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,17,51,0,17,51,4,67,9233,68,5679,68,146,67,13,68,30,67,1,67,7,67,480,68,14,67,13,68,128,67,92,68,18,67,1,67,695,68,0.6150763565471677,68,5679,9233,0.02618364418938307,67,146,5576,0.01613437948944635,67,146,9049,0.02108433734939759,67,14,664,0.6906474820143885,68,480,695,2021-03-18
RI,4,10,1,4,10,1,21,14,2253,15,1975,15,163,14,9,15,0,14,0,14,0,14,133,15,16,14,19,15,162,14,127,15,1,14,1,14,169,15,0.8766089658233467,15,1975,2253,0.08428128231644261,14,163,1934,0.0749770009199632,14,163,2174,0.10596026490066225,14,16,151,0.7869822485207101,15,133,169,2021-03-18
SC,21,47,2,21,47,2,6,68,10059,70,7254,70,509,68,54,70,47,68,0,68,0,68,874,70,125,68,120,70,506,68,470,70,3,68,3,68,1333,70,0.7211452430659111,70,7254,10059,0.0710496929089894,68,509,7164,0.051445320396199715,68,509,9894,0.09667440061871617,68,125,1293,0.6556639159789948,70,874,1333,2021-03-18
SD,2,58,3,2,58,3,24,60,2586,63,1287,63,64,60,11,63,9,60,1,60,0,60,114,63,16,60,13,63,61,60,43,63,3,60,1,60,237,63,0.4976798143851508,63,1287,2586,0.050793650793650794,60,64,1260,0.02540690750297737,60,64,2519,0.07079646017699115,60,16,226,0.4810126582278481,63,114,237,2021-03-18
TN,12,83,48,31,64,48,14,95,20335,143,12513,128,827,95,69,95,44,95,1,95,4,95,1609,140,219,95,201,95,812,95,646,95,15,95,10,95,2399,143,0.6561271039798647,128,12513,19071,0.07536680944135606,95,827,10973,0.049619007619847603,95,827,16667,0.10157699443413729,95,219,2156,0.6870196413321947,140,1609,2342,2021-03-18
TX,109,484,5,127,466,5,55,593,77177,598,54140,598,3800,593,344,598,402,593,13,593,41,593,5529,598,1043,593,964,598,3706,593,3288,598,94,593,62,593,7338,598,0.7015043341928294,598,54140,77177,0.07079118463458708,593,3800,53679,0.049734964989202275,593,3800,76405,0.14571109248393405,593,1043,7158,0.7534750613246116,598,5529,7338,2021-03-18
UT,0,51,1,0,51,1,0,51,5431,52,2712,52,147,51,20,52,1,51,1,51,0,51,337,52,58,51,54,52,140,51,130,52,7,51,0,51,624,52,0.4993555514638188,52,2712,5431,0.055035567203294646,51,147,2671,0.02741514360313316,51,147,5362,0.09570957095709572,51,58,606,0.5400641025641025,52,337,624,2021-03-18
VA,16,70,9,23,63,9,27,92,17087,95,11711,95,1015,92,91,95,175,92,4,92,10,92,1297,95,221,92,207,95,997,92,814,95,18,92,8,92,1989,95,0.6853748463744367,95,11711,17087,0.08771171793985483,92,1015,11572,0.06033406645663675,92,1015,16823,0.11522419186652763,92,221,1918,0.6520864756158874,95,1297,1989,2021-03-18
VI,2,0,0,2,0,0,0,2,168,2,98,2,4,2,0,2,0,2,0,2,0,2,7,2,4,2,4,2,4,2,4,2,0,2,0,2,20,2,0.5833333333333334,2,98,168,0.04081632653061224,2,4,98,0.023809523809523808,2,4,168,0.2,2,4,20,0.35,2,7,20,2021-03-18
VT,1,15,1,1,15,1,0,16,1303,17,844,17,24,16,5,17,8,16,0,16,0,16,54,17,5,16,5,17,24,16,24,17,0,16,0,16,101,17,0.6477359938603223,17,844,1303,0.029055690072639227,16,24,826,0.018957345971563982,16,24,1266,0.05319148936170213,16,5,94,0.5346534653465347,17,54,101,2021-03-18
