state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,19,191,29282,196,23652,211,1172,206,2626,190,242,187,199,186,1119,198,790,197,37,198,19,191,3282,178,0.740045078888054,196,21670,29282,0.050014936201083944,205,1172,23433,0.03567971234960586,190,1032,28924,0.07273299748110831,166,231,3176,0.7659963436928702,174,2514,3282,2020-10-08
PR,13,68,9308,68,5472,69,426,68,473,69,53,67,48,67,388,67,214,68,38,67,9,67,664,68,0.5702621400945423,68,5308,9308,0.08001502629601803,68,426,5324,0.0460425345319009,67,420,9122,0.07424960505529225,66,47,633,0.7033132530120482,68,467,664,2020-10-08
RI,4,14,2203,15,1895,14,121,14,144,15,13,14,14,15,119,14,118,15,2,14,2,14,185,15,0.8601906491148434,14,1895,2203,0.06515885837372105,13,121,1857,0.05712936732766761,14,121,2118,0.07647058823529412,14,13,170,0.7783783783783784,15,144,185,2020-10-08
SC,5,78,10178,85,7951,85,687,83,923,83,173,81,154,83,685,81,546,83,2,81,2,81,1341,82,0.781194733739438,85,7951,10178,0.08751592356687898,83,687,7850,0.06856971753668031,83,687,10019,0.1335907335907336,79,173,1295,0.6853094705443699,82,919,1341,2020-10-08
SD,1,59,2210,60,1527,64,276,61,127,57,58,54,62,56,256,57,258,60,0,57,0,57,167,58,0.5809954751131222,60,1284,2210,0.1861092380310182,61,276,1483,0.09660697455230914,57,205,2122,0.22875816993464052,52,35,153,0.6274509803921569,55,96,153,2020-10-08
TN,11,118,18031,121,12584,121,1253,121,1605,123,325,116,303,116,1177,119,1025,118,76,119,70,118,2067,126,0.719361483007209,118,12573,17478,0.09406060606060607,112,1164,12375,0.0684102262709374,109,1164,17015,0.1628256513026052,114,325,1996,0.8069381598793364,122,1605,1989,2020-10-08
TX,94,561,69920,579,50559,581,4359,578,5518,554,1176,549,1082,554,4261,568,3578,570,98,568,43,565,6826,528,0.725394251603553,578,50552,69689,0.08665970604770701,575,4316,49804,0.06309440964973324,573,4352,68976,0.16953541507996953,519,1113,6565,0.7787869909170817,527,5316,6826,2020-10-08
UT,4,52,5204,52,2999,54,271,53,347,44,84,43,82,44,265,50,246,51,6,50,6,50,560,41,0.563989239046887,52,2935,5204,0.09164693946567468,53,271,2957,0.05310601606897903,51,271,5103,0.14575645756457564,40,79,542,0.5928571428571429,40,332,560,2020-10-08
VA,23,101,17919,99,11265,99,928,100,1344,100,219,96,162,99,918,97,590,99,10,97,4,96,1917,100,0.6286623137451867,99,11265,17919,0.08294847414651815,95,916,11043,0.05220265572462529,95,916,17547,0.1185064935064935,96,219,1848,0.701095461658842,100,1344,1917,2020-10-08
VI,0,2,188,2,87,2,1,2,9,2,1,2,1,2,1,2,1,2,0,2,0,2,20,2,0.4627659574468085,2,87,188,0.011494252873563218,2,1,87,0.005319148936170213,2,1,188,0.05,2,1,20,0.45,2,9,20,2020-10-08
