state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,29,192,6,34,187,6,19,221,30969,227,25439,227,1499,221,159,227,343,221,6,220,31,220,2922,227,340,221,300,227,1449,221,1131,227,50,221,25,221,3821,227,0.82143433756337,227,25439,30969,0.059514829078493,221,1499,25187,0.049002942137954,221,1499,30590,0.091496232508073,221,340,3716,0.764721277152578,227,2922,3821,2021/05/23,,1,225,12,225,20,224,17,224,32,223,30,224,20,224,11,224,19,213,4,218,26,218,25,218,21,217,50,217,78,217,70,217,63,217,7,207
PR,0,10,56,0,10,56,15,65,9308,66,5839,66,200,65,10,66,18,65,0,65,6,65,461,66,37,65,32,66,183,65,155,66,17,65,1,65,683,66,0.627309840996992,66,5839,9308,0.034971148802238,65,200,5719,0.02190340597963,65,200,9131,0.056748466257669,65,37,652,0.674963396778917,66,461,683,2021/05/23,,0,66,0,66,4,66,5,66,0,66,1,66,0,66,0,66,0,66,0,65,0,65,1,65,2,65,4,65,5,65,4,65,2,65,0,65
RI,4,10,1,4,10,1,6,14,2613,15,2414,15,113,14,5,15,0,14,0,14,0,14,128,15,14,14,16,15,111,14,76,15,2,14,2,14,163,15,0.923842326827401,15,2414,2613,0.047800338409475,14,113,2364,0.044453186467349,14,113,2542,0.097222222222222,14,14,144,0.785276073619632,15,128,163,2021/05/23,,0,15,0,15,1,15,1,15,3,15,0,15,0,15,0,15,0,15,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
SC,19,66,2,19,66,2,2,85,10758,87,8601,87,232,85,26,87,31,85,0,85,1,85,826,87,64,85,53,87,224,85,191,87,8,85,1,85,1191,87,0.799498047964306,87,8601,10758,0.027335925533168,85,232,8487,0.021895054737637,85,232,10596,0.055652173913043,85,64,1150,0.693534844668346,87,826,1191,2021/05/23,,0,87,3,87,2,87,4,87,2,87,5,87,2,87,7,87,1,82,1,85,5,85,4,85,3,85,5,85,5,85,4,85,3,85,1,80
SD,2,60,3,2,60,3,6,62,2830,65,1687,65,49,62,3,65,7,62,1,62,4,62,124,65,13,62,11,65,48,62,37,65,1,62,0,62,236,65,0.596113074204947,65,1687,2830,0.029607250755287,62,49,1655,0.017734346724575,62,49,2763,0.057777777777778,62,13,225,0.525423728813559,65,124,236,2021/05/23,,0,65,1,65,0,65,1,65,0,65,0,65,0,65,1,65,0,65,0,62,1,62,0,62,1,62,1,62,1,62,0,62,3,62,0,62
TN,8,96,39,26,78,39,16,104,20431,143,13646,130,561,104,53,104,48,104,2,104,1,104,1730,140,204,104,176,104,551,104,478,104,10,104,7,104,2391,143,0.702279862076064,130,13646,19431,0.044295302013423,104,561,12665,0.031316288936028,104,561,17914,0.088695652173913,104,204,2300,0.734295415959253,140,1730,2356,2021/05/23,,0,104,2,104,5,104,4,104,5,104,18,104,7,104,4,104,8,104,0,104,4,104,7,104,4,104,5,104,14,104,6,104,4,104,4,104
TX,90,492,13,121,461,13,62,590,69568,595,50246,595,2436,590,248,595,461,590,12,590,67,590,5348,595,672,590,599,595,2363,590,1845,595,73,590,50,590,6747,595,0.722257359705612,595,50246,69568,0.049099044624501,590,2436,49614,0.035405432902635,590,2436,68803,0.102220870094311,590,672,6574,0.792648584556099,595,5348,6747,2021/05/23,,5,595,28,595,29,595,34,595,37,595,54,595,32,595,13,594,16,595,9,589,41,589,55,589,52,589,66,590,93,589,65,589,56,590,24,590
UT,1,56,1,4,53,1,0,57,5885,58,3613,58,158,57,30,58,2,57,1,57,0,57,393,58,50,57,48,58,157,57,146,58,1,57,0,57,632,58,0.61393372982158,58,3613,5885,0.044357102751263,57,158,3562,0.027199173695989,57,158,5809,0.0814332247557,57,50,614,0.621835443037975,58,393,632,2021/05/23,,2,58,3,58,4,58,6,58,9,58,4,58,1,58,1,58,0,58,0,57,0,57,1,57,1,57,0,57,0,57,0,57,0,57,0,57
VA,14,80,9,22,72,9,24,100,17939,103,13466,103,515,100,44,103,182,100,2,100,15,100,1350,103,136,100,120,103,506,100,392,103,9,100,3,100,1908,103,0.750654997491499,103,13466,17939,0.038753856573106,100,515,13289,0.029128959276018,100,515,17680,0.073434125269978,100,136,1852,0.707547169811321,103,1350,1908,2021/05/23,,2,103,4,103,6,103,2,103,11,103,10,103,4,103,4,103,1,103,1,100,9,100,11,100,26,100,26,100,38,100,42,100,29,100,0,100
VI,2,0,0,2,0,0,0,2,168,2,97,2,5,2,0,2,0,2,0,2,0,2,4,2,0,2,0,2,5,2,5,2,0,2,0,2,20,2,0.577380952380952,2,97,168,0.051546391752577,2,5,97,0.029761904761905,2,5,168,0,2,0,20,0.2,2,4,20,2021/05/23,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
