state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,9,68,8793,67,5093,68,510,68,451,67,76,65,666,67,0.5565790970089844,67,4894,8793,0.10013744354997055,68,510,5093,0.05720459456385761,67,503,8793,0.11349693251533742,64,74,652,0.6777609682299546,66,448,661,2020-09-03
RI,1,13,1867,13,1811,13,74,13,106,13,7,13,139,13,0.9700053561863953,13,1811,1867,0.040861402540033134,13,74,1811,0.03963577932512052,13,74,1867,0.050359712230215826,13,7,139,0.762589928057554,13,106,139,2020-09-03
SC,16,74,10138,81,7579,81,771,81,924,75,211,77,1314,75,0.7475833497731308,81,7579,10138,0.10172846021902626,81,771,7579,0.07605050305780232,81,771,10138,0.1598173515981735,75,210,1314,0.7022900763358778,74,920,1310,2020-09-03
SD,1,49,2234,49,1338,51,89,52,74,36,19,33,93,28,0.590420769919427,49,1319,2234,0.06651718983557549,51,89,1338,0.03939122649955237,49,88,2234,0.16091954022988506,24,14,87,0.5783132530120482,27,48,83,2020-09-03
TN,5,89,19101,124,12152,120,750,94,1510,112,215,89,2215,117,0.6660454919155934,120,12152,18245,0.08196535718328994,92,724,8833,0.053169292754874455,93,739,13899,0.12787088764742396,86,206,1611,0.7149621212121212,112,1510,2112,2020-09-03
TX,113,535,64839,546,45192,554,4940,557,4970,502,1541,511,6253,474,0.6858160421183028,544,44290,64580,0.10903689251507627,553,4918,45104,0.07488530870109207,545,4848,64739,0.21854838709677418,464,1355,6200,0.7622937690213039,473,4759,6243,2020-09-03
UT,3,53,5228,52,2870,53,163,53,320,46,41,44,546,42,0.5357689364957919,52,2801,5228,0.05679442508710801,53,163,2870,0.03098699311400153,52,162,5228,0.07509157509157509,41,41,546,0.575091575091575,41,314,546,2020-09-03
VA,14,86,16511,87,10202,88,1145,95,841,79,184,80,1310,76,0.6146205559929744,87,10148,16511,0.10863124629666206,87,1100,10126,0.06426437412352905,86,1054,16401,0.1297709923664122,76,170,1310,0.6343511450381679,76,831,1310,2020-09-03
VI,0,2,188,2,105,2,7,2,12,2,2,2,20,2,0.5585106382978723,2,105,188,0.06666666666666667,2,7,105,0.03723404255319149,2,7,188,0.1,2,2,20,0.6,2,12,20,2020-09-03
VT,0,16,650,15,360,15,5,17,34,13,1,14,58,12,0.5538461538461539,15,360,650,0.011111111111111112,15,4,360,0.006153846153846154,15,4,650,0.017241379310344827,11,1,58,0.5862068965517241,12,34,58,2020-09-03
WA,6,91,10264,81,8519,95,413,95,822,76,103,78,937,64,0.5925565081839439,81,6082,10264,0.04886995621819903,94,413,8451,0.030404080031384857,80,310,10196,0.07470651013874066,59,70,937,0.6568946796959826,58,605,921,2020-09-03
WI,2,134,12332,131,6928,132,482,135,781,128,120,130,1493,128,0.5611417450535193,131,6920,12332,0.06827367205542725,132,473,6928,0.03819331819656179,131,471,12332,0.08037508372404555,128,120,1493,0.5245460659045057,127,780,1487,2020-09-03
WV,2,60,6632,60,4183,60,225,60,450,60,66,60,644,60,0.630729794933655,60,4183,6632,0.053789146545541476,60,225,4183,0.033926417370325694,60,225,6632,0.10248447204968944,60,66,644,0.6987577639751553,60,450,644,2020-09-03
