state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/05/17,30354,30347,30361,4.42,4.42,4.43,688979,688772,689186,
CW,2021/05/18,30104,30095,30114,4.36,4.34,4.37,694016,693795,694236,
CW,2021/05/19,29821,29807,29835,4.3,4.27,4.32,696847,696507,697187,
CW,2021/05/20,28613,28568,28657,4.12,4.06,4.18,697499,697167,697832,
CW,2021/05/21,27997,27953,28042,4.03,3.96,4.1,697922,697372,698472,
CW,2021/05/22,27032,27015,27048,3.91,3.87,3.94,695096,694760,695432,
CW,2021/05/23,26692,26668,26715,3.88,3.83,3.92,691255,690805,691706,
CW,2021/05/24,26984,26958,27010,3.93,3.87,3.99,689782,688947,690616,
CW,2021/05/25,27059,27045,27074,3.91,3.88,3.95,694283,693706,694861,
CW,2021/05/26,26265,26252,26277,3.79,3.75,3.83,695984,695427,696540,
CW,2021/05/27,25594,25582,25606,3.69,3.66,3.72,696358,695871,696846,
CW,2021/05/28,24977,24950,25005,3.61,3.56,3.66,694875,694532,695218,
CW,2021/05/29,23812,23798,23825,3.46,3.43,3.49,691532,691092,691973,
CW,2021/05/30,23141,23103,23180,3.37,3.31,3.44,688948,688483,689414,
CW,2021/05/31,23264,23240,23289,3.39,3.36,3.43,688302,688174,688429,
CW,2021/06/01,23484,23472,23496,3.42,3.4,3.44,689272,689099,689445,
CW,2021/06/02,23038,23023,23052,3.33,3.31,3.36,694509,694376,694642,
CW,2021/06/03,22572,22549,22595,3.26,3.22,3.3,695684,695283,696085,
CW,2021/06/04,21652,21636,21668,3.13,3.09,3.16,694876,694419,695333,
CW,2021/06/05,20801,20778,20824,3.02,2.97,3.06,692549,692005,693092,
CW,2021/06/06,20479,20429,20528,2.98,2.9,3.07,689336,689058,689615,
CW,2021/06/07,20524,20471,20577,2.99,2.9,3.08,689792,689527,690057,
CW,2021/06/08,20455,20427,20483,2.96,2.91,3.01,694246,693780,694713,
CW,2021/06/09,19991,19945,20037,2.88,2.8,2.96,696618,696348,696888,
CW,2021/06/10,19269,19254,19284,2.78,2.75,2.81,696041,695769,696314,
CW,2021/06/11,18648,18622,18674,2.69,2.64,2.74,695968,695512,696424,
CW,2021/06/12,18159,18133,18186,2.63,2.57,2.68,694613,693884,695342,
CW,2021/06/13,17945,17904,17986,2.61,2.53,2.69,690821,690187,691455,
CW,2021/06/14,18367,18334,18400,2.67,2.61,2.74,690067,689495,690640,
CW,2021/06/15,18253,18201,18305,2.64,2.54,2.75,693454,692314,694595,
CW,2021/06/16,17800,17628,17972,2.58,2.23,2.93,692681,689099,696263,
AK,2021/05/17,30,30,30,2.06,2.06,2.06,1458,1458,1458,POINT (-151.631889 63.631126)
AL,2021/05/17,415,415,415,2.99,2.99,2.99,13893,13893,13893,POINT (-86.844516 32.756889)
AR,2021/05/17,207,207,207,2.7,2.7,2.7,7657,7657,7657,POINT (-92.439162 34.899825)
AZ,2021/05/17,595,595,595,4.31,4.28,4.34,13823,13799,13847,POINT (-111.664616 34.293239)
CA,2021/05/17,1644,1644,1644,2.83,2.83,2.83,58190,58190,58190,POINT (-119.662127 37.211164)
CO,2021/05/17,588,588,588,5.91,5.91,5.91,9943,9943,9943,POINT (-105.547832 38.998552)
CT,2021/05/17,232,232,232,2.99,2.99,2.99,7753,7753,7753,POINT (-72.738288 41.575155)
DC,2021/05/17,135,135,135,4.94,4.94,4.94,2735,2735,2735,POINT (-77.016275 38.904785)
DE,2021/05/17,95,95,95,3.49,3.49,3.49,2720,2720,2720,POINT (-75.452394 38.994926)
FL,2021/05/17,3094,3094,3094,6.03,6.03,6.03,52296,52296,52296,POINT (-82.420978 28.260731)
GA,2021/05/17,1115,1115,1115,5.79,5.79,5.79,19249,19249,19249,POINT (-83.426574 32.638481)
HI,2021/05/17,55,55,55,2.21,2.21,2.21,2490,2490,2490,POINT (-157.854309 21.361013)
IA,2021/05/17,227,227,227,3,3,3,7663,7663,7663,POINT (-93.500061 42.074659)
ID,2021/05/17,119,119,119,3.66,3.66,3.66,3248,3248,3248,POINT (-114.659366 44.389073)
IL,2021/05/17,1552,1552,1552,5.42,5.42,5.42,28661,28661,28661,POINT (-89.148632 40.124144)
IN,2021/05/17,803,803,803,4.78,4.78,4.78,16802,16802,16802,POINT (-86.2818 39.919991)
KS,2021/05/17,167,167,167,2.11,2.11,2.11,7933,7933,7933,POINT (-98.38018 38.484729)
KY,2021/05/17,405,405,405,3.31,3.31,3.31,12236,12236,12236,POINT (-85.290484 37.526683)
LA,2021/05/17,260,260,260,2.12,2.12,2.12,12484,12484,12484,POINT (-91.840238 30.921314)
MA,2021/05/17,304,304,304,1.83,1.83,1.83,16589,16589,16589,POINT (-71.481104 42.151077)
MD,2021/05/17,812,812,812,8.32,8.32,8.32,9756,9756,9756,POINT (-76.687282 38.946466)
ME,2021/05/17,133,133,133,4.66,4.66,4.66,2854,2854,2854,POINT (-69.06137 45.117911)
MI,2021/05/17,1786,1785,1787,8.78,8.64,8.91,20349,20305,20393,POINT (-85.730977 44.874798)
MN,2021/05/17,515,515,515,5.45,5.45,5.45,9445,9445,9445,POINT (-94.198308 46.349153)
MS,2021/05/17,222,222,222,2.83,2.83,2.83,7849,7849,7849,POINT (-89.65344 32.713378)
MT,2021/05/17,60,60,60,2.11,2.11,2.11,2849,2849,2849,POINT (-109.645127 47.033521)
NJ,2021/05/17,816,816,816,4.03,4.03,4.03,20264,20264,20264,POINT (-74.655514 40.110253)
NV,2021/05/17,305,305,305,4.14,4.14,4.14,7529,7529,7529,POINT (-114.916992 39.283294)
AK,2021/05/18,24,24,24,1.66,1.66,1.66,1447,1447,1447,POINT (-151.631889 63.631126)
AL,2021/05/18,376,376,376,2.7,2.7,2.7,13917,13917,13917,POINT (-86.844516 32.756889)
AR,2021/05/18,208,208,208,2.67,2.67,2.67,7783,7783,7783,POINT (-92.439162 34.899825)
AZ,2021/05/18,608,604,611,4.34,3.95,4.73,14010,13905,14116,POINT (-111.664616 34.293239)
CA,2021/05/18,1641,1640,1642,2.8,2.78,2.81,58664,58663,58666,POINT (-119.662127 37.211164)
CO,2021/05/18,582,582,582,5.84,5.84,5.84,9963,9963,9963,POINT (-105.547832 38.998552)
CT,2021/05/18,200,200,200,2.58,2.58,2.58,7747,7747,7747,POINT (-72.738288 41.575155)
DC,2021/05/18,131,131,131,4.76,4.76,4.76,2754,2754,2754,POINT (-77.016275 38.904785)
DE,2021/05/18,89,89,89,2.98,2.98,2.98,2991,2991,2991,POINT (-75.452394 38.994926)
FL,2021/05/18,3048,3048,3048,5.91,5.91,5.91,52511,52511,52511,POINT (-82.420978 28.260731)
GA,2021/05/18,1142,1142,1142,5.9,5.9,5.9,19358,19358,19358,POINT (-83.426574 32.638481)
HI,2021/05/18,49,48,50,1.97,1.97,1.97,2484,2484,2484,POINT (-157.854309 21.361013)
IA,2021/05/18,239,239,239,3.16,3.16,3.16,7662,7662,7662,POINT (-93.500061 42.074659)
ID,2021/05/18,115,115,115,3.52,3.52,3.52,3264,3264,3264,POINT (-114.659366 44.389073)
IL,2021/05/18,1568,1568,1568,5.46,5.46,5.46,28692,28691,28694,POINT (-89.148632 40.124144)
IN,2021/05/18,839,839,839,4.98,4.98,4.98,16850,16850,16850,POINT (-86.2818 39.919991)
KS,2021/05/18,167,167,167,2.09,2.09,2.09,7997,7997,7997,POINT (-98.38018 38.484729)
KY,2021/05/18,388,388,388,3.17,3.17,3.17,12232,12232,12232,POINT (-85.290484 37.526683)
LA,2021/05/18,268,268,268,2.18,2.18,2.18,12507,12507,12507,POINT (-91.840238 30.921314)
MA,2021/05/18,311,311,311,1.86,1.86,1.86,16680,16680,16680,POINT (-71.481104 42.151077)
MD,2021/05/18,805,805,805,8.27,8.27,8.27,9739,9739,9739,POINT (-76.687282 38.946466)
ME,2021/05/18,128,127,128,4.45,4.45,4.45,2863,2863,2863,POINT (-69.06137 45.117911)
MI,2021/05/18,1772,1772,1772,8.55,8.55,8.55,20734,20734,20734,POINT (-85.730977 44.874798)
MN,2021/05/18,500,500,500,5.21,5.21,5.21,9600,9600,9600,POINT (-94.198308 46.349153)
MS,2021/05/18,232,232,232,2.95,2.95,2.95,7863,7863,7863,POINT (-89.65344 32.713378)
MT,2021/05/18,59,59,59,2.06,2.06,2.06,2858,2858,2858,POINT (-109.645127 47.033521)
NJ,2021/05/18,794,793,795,3.91,3.91,3.91,20288,20288,20288,POINT (-74.655514 40.110253)
NV,2021/05/18,291,290,292,3.93,3.93,3.93,7573,7573,7573,POINT (-114.916992 39.283294)
AK,2021/05/19,23,23,23,1.58,1.58,1.58,1455,1455,1455,POINT (-151.631889 63.631126)
AL,2021/05/19,381,381,381,2.73,2.73,2.73,13940,13940,13940,POINT (-86.844516 32.756889)
AR,2021/05/19,210,210,210,2.69,2.69,2.69,7797,7797,7797,POINT (-92.439162 34.899825)
AZ,2021/05/19,600,600,600,4.26,4.26,4.26,14091,14069,14113,POINT (-111.664616 34.293239)
CA,2021/05/19,1654,1652,1657,2.8,2.8,2.8,59071,59071,59071,POINT (-119.662127 37.211164)
CO,2021/05/19,578,577,578,5.79,5.79,5.79,9977,9977,9977,POINT (-105.547832 38.998552)
CT,2021/05/19,183,182,184,2.35,2.35,2.35,7775,7775,7775,POINT (-72.738288 41.575155)
DC,2021/05/19,121,121,121,4.39,4.39,4.39,2754,2754,2754,POINT (-77.016275 38.904785)
