state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-01-21,"533,870","533,653","534,087",75.34,75.25,75.43,"708,306","708,077","708,535"
CW,2021-01-22,"532,271","532,119","532,423",75.18,75.12,75.24,"707,681","707,526","707,836"
CW,2021-01-23,"516,370","516,139","516,601",73.29,73.22,73.36,"704,246","704,092","704,399"
CW,2021-01-24,"504,581","504,412","504,750",71.92,71.88,71.95,"701,314","701,235","701,392"
CW,2021-01-25,"508,497","508,451","508,543",72.34,72.33,72.36,"702,586","702,529","702,644"
CW,2021-01-26,"527,731","527,675","527,788",74.70,74.68,74.72,"706,177","706,138","706,216"
CW,2021-01-27,"532,616","532,353","532,878",75.16,75.05,75.27,"708,340","708,059","708,621"
CW,2021-01-28,"529,824","529,722","529,926",74.90,74.86,74.94,"707,053","706,949","707,157"
CW,2021-01-29,"523,615","523,544","523,686",74.19,74.17,74.21,"705,492","705,462","705,523"
CW,2021-01-30,"504,145","503,978","504,312",71.70,71.63,71.76,"702,859","702,696","703,022"
CW,2021-01-31,"490,517","490,302","490,732",70.17,70.06,70.27,"698,736","698,426","699,046"
CW,2021-02-01,"493,824","493,708","493,941",70.60,70.55,70.65,"699,189","699,052","699,325"
CW,2021-02-02,"514,767","514,718","514,815",73.24,73.22,73.25,"702,573","702,553","702,593"
CW,2021-02-03,"521,684","521,534","521,835",73.98,73.80,74.15,"704,800","704,121","705,479"
CW,2021-02-04,"521,069","520,987","521,152",73.91,73.88,73.94,"704,602","704,545","704,658"
CW,2021-02-05,"517,355","517,220","517,490",73.51,73.47,73.56,"703,335","703,267","703,403"
CW,2021-02-06,"501,854","501,704","502,004",71.63,71.58,71.68,"700,181","700,117","700,245"
CW,2021-02-07,"487,529","487,060","487,997",69.99,69.79,70.19,"696,117","695,637","696,597"
CW,2021-02-08,"490,067","489,966","490,167",70.25,70.21,70.29,"697,194","697,093","697,294"
CW,2021-02-09,"512,284","512,197","512,371",72.98,72.94,73.01,"701,542","701,460","701,624"
