state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,8,192,29711,190,24574,211,939,215,2774,181,202,185,142,178,879,196,497,186,45,196,29,186,3381,168,0.7522803002255057,190,22351,29711,0.03821111744119801,211,939,24574,0.028541617582713473,190,848,29711,0.05826678497485951,160,197,3381,0.7855664004732328,163,2656,3381,2020-09-23
PR,3,69,9830,69,5711,69,358,69,447,69,58,68,50,68,329,68,222,68,29,68,2,68,642,69,0.5809766022380468,69,5711,9830,0.06268604447557345,69,358,5711,0.03641912512716175,69,358,9830,0.09034267912772585,68,58,642,0.6962616822429907,69,447,642,2020-09-23
RI,5,13,2131,13,1910,13,98,13,133,13,6,13,5,13,98,13,97,13,0,13,0,13,152,13,0.8962928202721727,13,1910,2131,0.05130890052356021,13,98,1910,0.04598779915532614,13,98,2131,0.039473684210526314,13,6,152,0.875,13,133,152,2020-09-23
SC,7,76,10188,82,8052,82,737,82,932,78,176,78,151,78,731,80,554,79,1,80,1,79,1329,77,0.790341578327444,82,8052,10188,0.09153005464480875,82,737,8052,0.07234000785237535,82,737,10188,0.13243039879608728,76,176,1329,0.6997742663656885,77,930,1329,2020-09-23
SD,1,57,2088,55,1530,59,212,59,82,48,32,47,32,46,175,55,155,55,32,55,31,55,88,42,0.6091954022988506,55,1272,2088,0.13856209150326798,59,212,1530,0.08524904214559387,55,178,2088,0.2159090909090909,37,19,88,0.5641025641025641,40,44,78,2020-09-23
TN,8,112,17729,116,12293,116,983,115,1621,116,250,110,237,110,908,113,795,113,75,113,68,113,2022,117,0.7115160689333955,113,12221,17176,0.07713614235353365,106,919,11914,0.05568727582223843,103,916,16449,0.1272066458982347,104,245,1926,0.8198473282442749,114,1611,1965,2020-09-23
TX,114,556,66521,570,46251,570,3835,572,4981,535,1114,542,1011,542,3763,564,3088,558,63,564,32,558,6256,513,0.6975425045634891,569,46238,66287,0.08262404435492604,569,3815,46173,0.05743268666375691,569,3816,66443,0.1583855925389934,506,985,6219,0.7721153846153846,511,4818,6240,2020-09-23
UT,5,54,5364,53,3134,54,209,54,364,44,76,43,75,43,190,51,178,50,6,51,6,50,558,41,0.5740119313944817,53,3079,5364,0.06668793873643905,54,209,3134,0.0389634601043997,53,209,5364,0.12724014336917563,40,71,558,0.6290322580645161,40,351,558,2020-09-23
VA,28,99,17530,92,11520,94,998,98,1155,96,229,94,156,94,985,95,586,95,10,95,4,95,1796,94,0.6513405590416429,92,11418,17530,0.08602150537634409,93,984,11439,0.054190585533869115,91,944,17420,0.12597547380156077,92,226,1794,0.6397550111358574,94,1149,1796,2020-09-23
VI,0,2,188,2,95,2,4,2,8,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.5053191489361702,2,95,188,0.042105263157894736,2,4,95,0.02127659574468085,2,4,188,0.05,2,1,20,0.4,2,8,20,2020-09-23
VT,0,16,1258,16,785,16,1,16,72,16,1,16,1,16,1,16,0,16,0,16,0,16,105,16,0.624006359300477,16,785,1258,0.0012738853503184713,16,1,785,7.94912559618442E-4,16,1,1258,0.009523809523809525,16,1,105,0.6857142857142857,16,72,105,2020-09-23
WA,6,93,10180,81,9357,98,391,99,873,73,87,79,70,68,386,89,245,79,2,89,1,79,918,63,0.5508840864440079,81,5608,10180,0.041786897509885644,98,391,9357,0.02337917485265226,81,238,10180,0.05010893246187364,59,46,918,0.6758104738154613,55,542,802,2020-09-23
