state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
PA,28,190,6,34,184,6,18,218,30198,224,25563,224,2768,218,335,224,358,218,8,217,13,216,2953,224,624,218,608,224,2690,218,2334,224,78,218,46,218,3678,224,0.846513014106894,224,25563,30198,0.1092473457789,218,2768,25337,0.092811158798283,218,2768,29824,0.174692049272116,218,624,3572,0.802882001087548,224,2953,3678,2021/09/13,,3,219,9,219,30,219,37,219,41,219,63,219,52,218,38,219,62,214,2,214,35,213,34,213,32,213,41,213,72,212,61,213,74,213,7,208,32,218,5122,6087,3806,1168,1,99
PR,0,9,56,0,9,56,11,64,9312,65,5787,65,316,64,14,65,22,64,2,64,3,64,469,65,83,64,64,65,292,64,249,65,24,64,12,64,669,65,0.62145618556701,65,5787,9312,0.055800812290305,64,316,5663,0.034637728817275,64,316,9123,0.129890453834116,64,83,639,0.701046337817638,65,469,669,2021/09/13,,0,65,2,65,0,65,0,65,4,65,1,65,5,65,2,65,0,65,0,64,1,64,1,64,6,64,4,64,2,64,4,64,4,64,0,64,10,64,483,32,1070,43,0,37
RI,6,6,2,6,6,2,3,13,2465,14,2209,14,89,13,4,14,2,13,0,13,0,13,134,14,21,13,22,14,87,13,87,14,2,13,2,13,146,14,0.896146044624746,14,2209,2465,0.041337668369717,13,89,2153,0.037021630615641,13,89,2404,0.153284671532847,13,21,137,0.917808219178082,14,134,146,2021/09/13,,0,14,0,14,0,14,0,14,0,14,0,14,2,14,2,14,0,14,0,13,0,13,0,13,0,13,1,13,0,13,1,13,0,13,0,13,1,13,83,266,31,0,0,8
SC,32,51,5,31,52,5,9,86,11766,88,9799,88,2495,86,284,88,80,86,3,86,2,86,1193,88,575,86,581,88,2459,86,2409,88,36,86,31,86,1421,88,0.832823389427163,88,9799,11766,0.257854485324514,86,2495,9676,0.215086206896552,86,2495,11600,0.416063675832127,86,575,1382,0.839549612948628,88,1193,1421,2021/09/13,,1,88,17,88,30,88,38,88,47,88,69,88,55,88,25,88,2,83,1,86,6,86,9,86,7,86,12,86,14,86,15,86,13,86,3,81,53,86,2798,2816,1300,2305,19,1
SD,1,61,3,1,61,3,33,62,2841,65,1813,65,202,62,28,65,22,62,1,62,3,62,172,65,63,62,62,65,195,62,183,65,7,62,4,62,252,65,0.638155579021471,65,1813,2841,0.114512471655329,62,202,1764,0.072819033886085,62,202,2774,0.261410788381743,62,63,241,0.682539682539683,65,172,252,2021/09/13,,0,65,2,65,2,65,2,65,5,65,8,65,5,65,3,65,1,65,0,62,1,62,2,62,2,62,1,62,4,62,4,62,4,62,4,62,7,62,901,134,513,336,0,124
TN,24,76,42,45,55,42,43,101,19788,142,13823,130,3480,101,321,101,64,101,7,101,5,101,1936,139,996,101,975,101,3425,101,3281,101,55,101,49,101,2427,142,0.735305069418586,130,13823,18799,0.274188465174913,101,3480,12692,0.20353257690958,101,3480,17098,0.434934497816594,101,996,2290,0.809364548494983,139,1936,2392,2021/09/13,,2,101,11,101,30,101,35,101,58,101,70,101,45,101,39,101,31,101,2,101,7,101,7,101,9,101,8,101,6,101,11,101,8,101,6,101,86,101,9,0,564,1,0,330
TX,20,98,478,22,96,478,88,591,71103,596,56940,596,13051,591,1377,596,537,591,42,591,149,591,7395,596,3712,591,3697,596,12717,591,12322,596,334,591,260,591,7876,596,0.800810092401164,596,56940,71103,0.231795254333618,591,13051,56304,0.18562874251497,591,13051,70307,0.483144604972016,591,3712,7683,0.938928390045708,596,7395,7876,2021/09/13,,9,596,63,596,156,596,233,596,238,596,256,596,192,596,137,596,93,596,6,591,46,591,60,591,67,591,81,591,91,591,87,591,52,591,47,591,224,591,597,1656,280,375,0,46
UT,2,48,9,2,48,9,0,58,6270,59,4162,59,584,58,86,59,2,58,3,58,0,58,468,59,217,58,220,59,570,58,545,59,14,58,3,58,616,59,0.663795853269538,59,4162,6270,0.141919805589307,58,584,4115,0.094254357650097,58,584,6196,0.358085808580858,58,217,606,0.75974025974026,59,468,616,2021/09/13,,0,59,14,59,10,59,7,59,16,59,16,59,16,59,7,59,0,59,0,58,0,58,0,58,1,58,1,58,0,58,0,58,0,58,0,58,4,58,176,224,115,135,0,4
VA,20,67,20,20,67,20,35,104,18432,107,14138,107,2124,104,228,107,212,104,5,104,15,104,1504,107,493,104,475,107,2083,104,1876,107,41,104,26,104,1968,107,0.767035590277778,107,14138,18432,0.152007442925642,104,2124,13973,0.116786715786001,104,2124,18187,0.257306889352818,104,493,1916,0.764227642276423,107,1504,1968,2021/09/13,,0,107,17,107,24,107,28,107,41,107,37,107,30,107,44,107,7,107,1,104,15,104,22,104,18,104,33,104,36,104,48,104,38,104,1,104,31,104,1326,4314,709,719,0,16
VI,2,0,0,2,0,0,0,2,168,2,118,2,6,2,0,2,0,2,0,2,0,2,12,2,2,2,2,2,6,2,6,2,0,2,0,2,20,2,0.702380952380952,2,118,168,0.050847457627119,2,6,118,0.035714285714286,2,6,168,0.1,2,2,20,0.6,2,12,20,2021/09/13,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,2,192,17,136,13,0,0
