state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,0,0,68,0,0,68,2,67,9251,68,5649,68,521,67,30,68,31,67,6,67,13,67,475,68,92,67,63,68,475,67,426,68,46,67,28,67,699,68,0.61063668792563,68,5649,9251,0.094009382894262,67,521,5542,0.057435784367765,67,521,9071,0.137724550898204,67,92,668,0.679542203147353,68,475,699,2021/04/14,POINT (-66.414655 18.215692)
RI,3,10,1,3,10,1,20,13,2249,14,1993,14,193,13,16,14,0,13,1,13,0,13,133,14,31,13,32,14,190,13,151,14,3,13,3,13,175,14,0.886171631836372,14,1993,2249,0.098923628908252,13,193,1951,0.088981097279852,13,193,2169,0.198717948717949,13,31,156,0.76,14,133,175,2021/04/14,POINT (-71.534637 41.572574)
SC,20,62,2,20,62,2,1,82,11236,84,8286,84,489,82,63,84,29,82,0,82,1,82,920,84,133,82,132,84,486,82,462,84,3,82,3,82,1313,84,0.737451050195799,84,8286,11236,0.059743433109346,82,489,8185,0.044169451720712,82,489,11071,0.104559748427673,82,133,1272,0.700685453160701,84,920,1313,2021/04/14,POINT (-80.864614 33.878572)
SD,0,62,3,0,62,3,24,62,2817,65,1640,65,121,62,14,65,4,62,0,62,1,62,126,65,21,62,20,65,120,62,86,65,1,62,0,62,237,65,0.58217962371317,65,1640,2817,0.074969021065675,62,121,1614,0.044,62,121,2750,0.092920353982301,62,21,226,0.531645569620253,65,126,237,2021/04/14,POINT (-100.230491 44.43614)
TN,12,94,36,33,73,36,17,106,19368,142,13101,130,902,106,120,109,78,106,1,106,0,106,1728,142,259,106,246,109,892,106,807,109,10,106,7,106,2222,142,0.69935408103347,130,13101,18733,0.07324401136825,106,902,12315,0.052039462297352,106,902,17333,0.121653358384218,106,259,2129,0.777677767776778,142,1728,2222,2021/04/14,POINT (-86.343226 35.842998)
TX,95,486,13,114,467,13,70,589,69390,594,49236,594,3375,589,372,594,436,589,17,589,48,589,5640,594,950,589,902,594,3296,589,2852,594,79,589,57,589,7305,594,0.709554690877648,594,49236,69390,0.069321776280656,589,3375,48686,0.049176744863762,589,3375,68630,0.13327721661055,589,950,7128,0.772073921971253,594,5640,7305,2021/04/14,POINT (-99.317341 31.447238)
UT,0,57,1,0,57,1,0,57,6171,58,3654,58,147,57,24,58,7,57,0,57,0,57,374,58,61,57,59,58,143,57,138,58,4,57,0,57,632,58,0.59212445308702,58,3654,6171,0.040686410185441,57,147,3613,0.024110218140069,57,147,6097,0.099348534201954,57,61,614,0.591772151898734,58,374,632,2021/04/14,POINT (-111.678222 39.323779)
VA,14,82,9,22,74,9,24,102,18143,105,13057,105,1036,102,105,105,187,102,2,102,22,102,1343,105,239,102,230,105,1028,102,871,105,8,102,3,102,1979,105,0.719671498649617,105,13057,18143,0.080210591514401,102,1036,12916,0.057974258533856,102,1036,17870,0.125262054507338,102,239,1908,0.678625568468924,105,1343,1979,2021/04/14,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,74,2,3,2,0,2,0,2,0,2,0,2,8,2,2,2,2,2,3,2,3,2,0,2,0,2,20,2,0.44047619047619,2,74,168,0.040540540540541,2,3,74,0.017857142857143,2,3,168,0.1,2,2,20,0.4,2,8,20,2021/04/14,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1300,17,814,17,33,16,4,17,5,16,0,16,1,16,59,17,6,16,6,17,33,16,28,17,0,16,0,16,102,17,0.626153846153846,17,814,1300,0.041561712846348,16,33,794,0.026128266033254,16,33,1263,0.063157894736842,16,6,95,0.57843137254902,17,59,102,2021/04/14,POINT (-72.662695 44.075252)
WA,9,92,2,8,93,2,12,101,14610,103,9571,103,549,101,62,103,62,101,0,101,1,101,835,103,143,101,136,103,543,101,456,103,6,101,3,101,1391,103,0.655099247091034,103,9571,14610,0.057972544878564,101,549,9470,0.037909128573401,101,549,14482,0.104761904761905,101,143,1365,0.600287562904385,103,835,1391,2021/04/14,POINT (-120.592492 47.411715)
WI,10,118,21,13,115,21,0,146,13495,149,8209,147,371,144,79,149,47,146,3,146,9,146,860,147,100,144,105,147,361,144,349,147,10,144,2,144,1606,149,0.61870666264697,147,8209,13268,0.046259351620948,144,371,8020,0.028518717810746,144,371,13009,0.064350064350064,144,100,1554,0.535491905354919,147,860,1606,2021/04/14,POINT (-89.732969 44.639954)
WV,12,47,4,15,44,4,1,59,6167,63,4739,63,270,59,28,63,65,59,0,59,0,59,466,63,62,59,59,63,269,59,243,63,1,59,1,59,635,63,0.76844494892168,63,4739,6167,0.057890222984563,59,270,4664,0.045188284518828,59,270,5975,0.10472972972973,59,62,592,0.733858267716535,63,466,635,2021/04/14,POINT (-80.613729 38.642579)
AK,1,22,0,1,22,0,0,23,1653,23,954,23,39,23,4,23,1,23,0,23,0,23,85,23,13,23,13,23,39,23,37,23,0,23,0,23,134,23,0.577132486388385,23,954,1653,0.040880503144654,23,39,954,0.023593466424682,23,39,1653,0.097014925373134,23,13,134,0.634328358208955,23,85,134,2021/04/14,POINT (-151.631889 63.631126)
AL,27,75,15,28,73,16,5,112,15488,116,10698,116,501,112,66,114,63,112,1,112,8,112,1246,116,134,112,112,114,487,112,365,114,14,112,32,112,1629,116,0.690728305785124,116,10698,15488,0.048476052249637,111,501,10335,0.033391095707811,111,501,15004,0.084118016321406,111,134,1593,0.764886433394721,116,1246,1629,2021/04/14,POINT (-86.844516 32.756889)
AR,12,94,2,15,91,2,2,106,9171,108,6244,108,205,106,25,108,43,106,1,106,13,106,633,108,50,106,41,108,198,106,143,108,7,106,2,106,970,108,0.680841783883982,108,6244,9171,0.032894736842105,106,205,6232,0.022453450164294,106,205,9130,0.052465897166842,106,50,953,0.652577319587629,108,633,970,2021/04/14,POINT (-92.439162 34.899825)
AZ,23,96,3,26,93,3,10,119,16994,122,11564,122,561,119,57,122,107,119,1,119,4,119,1084,122,118,119,97,122,546,119,371,122,15,119,5,119,2186,122,0.680475461927739,122,11564,16994,0.049353391396147,119,561,11367,0.033639143730887,119,561,16677,0.055950687529635,119,118,2109,0.495882891125343,122,1084,2186,2021/04/14,POINT (-111.664616 34.293239)
CA,70,310,35,87,294,34,38,407,62740,415,45631,415,2151,407,229,415,302,407,8,407,9,407,4744,415,440,407,407,415,2097,407,1804,415,54,407,44,407,6969,415,0.727303155881415,415,45631,62740,0.04776073006639,407,2151,45037,0.034752403263592,407,2151,61895,0.064782096584217,407,440,6792,0.680728942459463,415,4744,6969,2021/04/14,POINT (-119.662127 37.211164)
CO,4,87,13,5,86,13,7,102,11902,104,8099,104,572,102,75,104,38,102,1,102,3,102,873,104,165,102,167,104,554,102,506,104,18,102,12,102,1283,104,0.680473869937826,104,8099,11902,0.071401822494071,102,572,8011,0.048495125052989,102,572,11795,0.132,102,165,1250,0.680436477007015,104,873,1283,2021/04/14,POINT (-105.547832 38.998552)
CT,4,35,1,4,35,1,19,39,8458,40,6814,40,563,39,92,40,33,39,2,39,0,39,611,40,118,39,114,40,553,39,494,40,10,39,8,39,1058,40,0.805627807992433,40,6814,8458,0.083197872026009,39,563,6767,0.06726403823178,39,563,8370,0.113899613899614,39,118,1036,0.577504725897921,40,611,1058,2021/04/14,POINT (-72.738288 41.575155)
DC,0,12,2,0,12,2,1,12,3425,14,2513,14,182,13,19,14,68,13,4,13,5,13,221,14,44,12,44,13,159,13,135,14,23,13,10,13,335,14,0.733722627737226,14,2513,3425,0.074285714285714,13,182,2450,0.055084745762712,13,182,3304,0.13968253968254,12,44,315,0.659701492537314,14,221,335,2021/04/14,POINT (-77.016275 38.904785)
