state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,26036,175,17576,166,1093,203,2413,157,260,174,3298,145,0.7301319489508977,157,16877,23115,0.048930359581247154,166,860,17576,0.03499001382700876,175,911,26036,0.06409477521263669,137,211,3292,0.6898559607722954,140,2251,3263,2020-08-15
PR,8478,66,5057,66,537,69,445,67,65,65,625,64,0.5863102373531527,64,4891,8342,0.10361874629226814,66,524,5057,0.06050955414012739,66,513,8478,0.10064935064935066,62,62,616,0.6656,64,416,625,2020-08-15
RI,1735,13,1855,13,84,13,124,13,8,13,158,13,1.069164265129683,13,1855,1735,0.045283018867924525,13,84,1855,0.0484149855907781,13,84,1735,0.05063291139240506,13,8,158,0.7848101265822784,13,124,158,2020-08-15
SC,10319,81,8215,81,1191,81,978,75,289,76,1309,73,0.7961042736699293,81,8215,10319,0.14497869750456482,81,1191,8215,0.11541816067448396,81,1191,10319,0.21237585943468296,73,278,1309,0.732620320855615,73,959,1309,2020-08-15
SD,2270,49,891,42,76,51,93,37,17,32,91,28,0.5561868686868687,41,881,1584,0.04264870931537598,42,38,891,0.033480176211453744,49,76,2270,0.08791208791208792,24,8,91,0.6153846153846154,28,56,91,2020-08-15
TN,18058,113,11760,116,1267,124,1502,89,366,120,2000,93,0.6432432432432432,105,10829,16835,0.10280612244897959,116,1209,11760,0.06468047402813158,113,1168,18058,0.174,93,348,2000,0.7726566545831176,88,1492,1931,2020-08-15
TX,63345,538,42026,522,7282,551,5356,491,2208,502,6394,461,0.7037279487050372,517,41926,59577,0.15803028496482652,521,6627,41935,0.11262550399241046,537,7123,63245,0.2995435227451598,452,1903,6353,0.792148889583985,460,5065,6394,2020-08-15
UT,5385,51,2789,47,167,52,319,44,62,43,540,40,0.530530720943504,47,2789,5257,0.057726783793474366,47,161,2789,0.030269266480965645,51,163,5385,0.10555555555555556,39,57,540,0.5592592592592592,39,302,540,2020-08-15
VA,15422,78,8074,70,1163,86,800,71,219,71,1435,73,0.5877451703288601,65,7971,13562,0.11221203864255636,70,906,8074,0.07197510050577098,78,1110,15422,0.15007541478129713,66,199,1326,0.5972850678733032,68,792,1326,2020-08-15
VI,188,2,91,2,8,2,5,2,3,2,20,2,0.48404255319148937,2,91,188,0.08791208791208792,2,8,91,0.0425531914893617,2,8,188,0.15,2,3,20,0.25,2,5,20,2020-08-15
VT,626,12,207,8,11,15,29,8,5,10,48,7,0.5376623376623376,8,207,385,0.03864734299516908,8,8,207,0.01437699680511182,12,9,626,0.10416666666666667,7,5,48,0.6041666666666666,7,29,48,2020-08-15
WA,9867,82,5705,75,375,83,581,65,83,69,903,66,0.6087291116974495,74,5537,9096,0.05786297479588214,74,326,5634,0.03828093099224173,81,375,9796,0.07751937984496124,61,70,903,0.6245847176079734,62,564,903,2020-08-15
WI,12032,131,7409,127,665,134,877,120,148,128,1490,126,0.6262169086251067,126,7333,11710,0.0875961668241328,127,649,7409,0.05269281914893617,131,634,12032,0.09932885906040269,126,148,1490,0.5965986394557823,120,877,1470,2020-08-15
AK,1530,26,908,26,54,31,53,13,9,24,33,8,0.40309506263817246,21,547,1357,0.046255506607929514,26,42,908,0.022222222222222223,26,34,1530,0.06451612903225806,6,2,31,0.6060606060606061,8,20,33,2020-08-15
AL,12337,104,8117,91,1587,110,1099,87,454,95,1121,76,0.7811915312653865,90,7933,10155,0.1528206394272312,90,1238,8101,0.1167681688997158,103,1438,12315,0.2988403211418377,72,335,1121,0.8845120859444942,75,988,1117,2020-08-15
AR,8269,85,4683,77,685,87,608,71,357,72,917,69,0.679906882002037,76,4673,6873,0.1133888532991672,77,531,4683,0.0828395211029145,85,685,8269,0.3173391494002181,66,291,917,0.7415307402760352,65,591,797,2020-08-15
AZ,10088,79,7344,68,1186,90,900,64,427,70,925,54,0.8103774775912133,62,6419,7921,0.13575708061002179,68,997,7344,0.1018041237113402,79,1027,10088,0.36324324324324325,52,336,925,0.8194594594594594,54,758,925,2020-08-15
CA,62362,382,44430,376,6811,396,5322,365,1772,367,7119,364,0.7159200773445054,376,44430,62060,0.14789556605896917,376,6571,44430,0.10559314967448126,382,6585,62362,0.24764714145245117,361,1763,7119,0.7475769068689423,363,5322,7119,2020-08-15
CO,9365,80,5415,75,254,97,523,64,94,76,935,57,0.6170066468026587,72,5384,8726,0.03822714681440443,75,207,5415,0.022423918846769888,80,210,9365,0.07567567567567568,54,70,925,0.5811870100783875,56,519,893,2020-08-15
CT,8073,30,5699,29,129,31,499,28,22,29,1048,29,0.7223067173637516,29,5699,7890,0.02263555009650816,29,129,5699,0.015979189892233372,30,129,8073,0.02099236641221374,28,22,1048,0.4761450381679389,28,499,1048,2020-08-15
DC,3277,13,2603,13,144,13,225,11,32,11,331,11,0.7943240768996033,13,2603,3277,0.05532078371110257,13,144,2603,0.04394263045468416,13,144,3277,0.09667673716012085,11,32,331,0.6797583081570997,11,225,331,2020-08-15
DE,2322,10,1489,8,69,11,94,7,7,7,138,6,0.6915472071181413,7,1399,2023,0.04432505036937542,8,66,1489,0.029715762273901807,10,69,2322,0.050724637681159424,6,7,138,0.6811594202898551,6,94,138,2020-08-15
FL,75204,258,41546,245,7171,261,4676,244,1616,256,5760,244,0.5903013597419758,245,41546,70381,0.15823424637750927,245,6574,41546,0.09524759321312697,258,7163,75204,0.2594980829557337,242,1489,5738,0.8118055555555556,244,4676,5760,2020-08-15
GA,14525,115,8089,94,3611,140,1137,84,607,90,1218,77,0.7754769437254339,94,8089,10431,0.22400791197923106,94,1812,8089,0.18278829604130808,115,2655,14525,0.39983443708609273,71,483,1208,0.8908045977011494,76,1085,1218,2020-08-15
HI,1611,15,1721,24,217,22,82,14,30,14,78,12,0.7157045313469894,15,1153,1611,0.13555194805194806,17,167,1232,0.09373060211049038,15,151,1611,0.20512820512820512,12,16,78,0.5769230769230769,12,45,78,2020-08-15
IA,8357,119,5200,119,382,119,484,119,101,118,713,118,0.622232858681345,119,5200,8357,0.07346153846153847,119,382,5200,0.04571018308005265,119,382,8357,0.14165497896213183,117,101,713,0.6788218793828892,118,484,713,2020-08-15
MS,7793,92,4416,87,954,96,545,62,368,67,563,59,0.6556122448979592,84,4369,6664,0.17300724637681159,87,764,4416,0.12241755421532144,92,954,7793,0.61101243339254,59,344,563,0.9467140319715808,59,533,563,2020-08-15
MT,3057,67,1832,49,75,38,100,23,21,53,217,48,0.7474500203998368,49,1832,2451,0.05653170359052712,30,74,1309,0.04310344827586207,36,75,1740,0.10194174757281553,43,21,206,0.7071428571428572,20,99,140,2020-08-15
NC,18147,108,13220,101,1573,119,1301,100,343,110,1731,95,0.7461374992820631,100,12991,17411,0.0918305597579425,101,1214,13220,0.07425195981009164,107,1345,18114,0.15771230502599654,95,273,1731,0.7325245522819179,95,1268,1731,2020-08-15
ND,2508,47,1770,48,85,48,62,43,24,48,103,42,0.7033492822966507,47,1764,2508,0.0480225988700565,48,85,1770,0.033891547049441785,47,85,2508,0.11650485436893204,42,12,103,0.4368932038834951,42,45,103,2020-08-15
NE,4777,78,2235,67,190,79,357,56,48,51,642,57,0.6128057158560044,66,2230,3639,0.06034868126955744,65,135,2237,0.03583473861720068,76,170,4744,0.07559055118110236,48,48,635,0.5881383855024712,53,357,607,2020-08-15
NH,3333,30,2201,30,44,30,146,28,12,27,275,26,0.6603660366036603,30,2201,3333,0.019990913221263062,30,44,2201,0.013201320132013201,30,44,3333,0.04363636363636364,26,12,275,0.52,26,143,275,2020-08-15
NJ,7125,31,4778,30,366,34,275,27,18,29,685,27,0.7140702759764741,29,4735,6631,0.06613645876935957,30,316,4778,0.0447719298245614,31,319,7125,0.026277372262773723,27,18,685,0.40145985401459855,27,275,685,2020-08-15
NM,3367,46,2214,44,112,45,261,42,36,42,369,41,0.662675845555223,44,2214,3341,0.05110173464603844,43,109,2133,0.034482758620689655,45,112,3248,0.0975609756097561,41,36,369,0.6712328767123288,40,245,365,2020-08-15
NV,8441,61,5925,60,974,61,630,58,263,57,837,58,0.7030971876112495,60,5925,8427,0.16438818565400845,60,974,5925,0.11538917189906409,61,974,8441,0.3142174432497013,57,263,837,0.7526881720430108,58,630,837,2020-08-15
NY,41973,142,27600,126,1976,158,2741,118,231,124,4738,112,0.6963954685890834,123,27048,38840,0.051920289855072466,126,1433,27600,0.03919186143473185,142,1645,41973,0.0401241409886943,104,181,4511,0.563135593220339,108,2658,4720,2020-08-15
OH,30246,202,19744,194,1688,210,2559,188,439,191,4036,167,0.6778823044702328,194,19744,29126,0.08270867098865478,194,1633,19744,0.05454907425841131,201,1644,30138,0.10834990059642147,163,436,4024,0.6340436075322101,167,2559,4036,2020-08-15
OK,9136,119,5503,116,579,135,729,115,228,118,1123,116,0.6099534471292396,116,5503,9022,0.08504452117027077,116,468,5503,0.05122591943957969,119,468,9136,0.19679430097951914,115,221,1123,0.6800373134328358,114,729,1072,2020-08-15
OR,4297,50,2727,37,220,51,294,36,36,41,495,33,0.6999486652977412,37,2727,3896,0.05243857719105244,37,143,2727,0.05119851058878287,50,220,4297,0.04938271604938271,32,24,486,0.5818181818181818,33,288,495,2020-08-15
ID,3856,45,1930,46,190,47,197,42,51,46,280,40,0.483402489626556,45,1864,3856,0.09844559585492228,46,190,1930,0.049273858921161824,45,190,3856,0.16785714285714284,40,47,280,0.6821428571428572,37,191,280,2020-08-15
IL,28774,175,17114,153,1788,184,1873,134,359,144,3053,120,0.6558174483904137,147,16583,25286,0.09086128315998597,153,1555,17114,0.05967192604434559,175,1717,28774,0.1063340991138825,118,324,3047,0.5545181727242414,115,1663,2999,2020-08-15
IN,16876,137,10166,134,841,137,1479,129,173,129,2283,129,0.6114519427402862,134,10166,16626,0.08119573796369377,133,823,10136,0.04885432743678025,136,823,16846,0.07577748576434516,129,173,2283,0.6478318002628121,129,1479,2283,2020-08-15
KS,7645,117,3984,102,302,128,489,72,81,84,620,65,0.606440625483821,99,3917,6459,0.05633088048718599,101,222,3941,0.03446461457511181,116,262,7602,0.11147540983606558,60,68,610,0.7913907284768212,63,478,604,2020-08-15
