state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2021-02-27,"60,619","60,457","60,781",71.14,70.55,71.74,"85,209","85,011","85,407"
CW,2021-02-28,"59,033","58,876","59,190",69.32,68.74,69.90,"85,166","84,975","85,357"
CW,2021-03-01,"58,768","58,621","58,915",69.17,68.63,69.72,"84,960","84,779","85,141"
CW,2021-03-02,"60,956","60,823","61,088",71.62,71.14,72.11,"85,106","84,944","85,267"
CW,2021-03-03,"61,248","61,141","61,356",71.84,71.44,72.24,"85,255","85,124","85,386"
CW,2021-03-04,"60,929","60,919","60,939",71.70,71.66,71.73,"84,981","84,970","84,992"
CW,2021-03-05,"60,866","60,824","60,907",71.49,71.27,71.71,"85,135","85,040","85,230"
CW,2021-03-06,"59,490","59,435","59,546",70.18,69.95,70.41,"84,768","84,681","84,856"
CW,2021-03-07,"57,882","57,792","57,972",68.61,68.27,68.96,"84,358","84,241","84,476"
CW,2021-03-08,"57,628","57,607","57,649",68.40,68.34,68.46,"84,252","84,244","84,261"
CW,2021-03-09,"59,770","59,696","59,845",70.70,70.49,70.91,"84,538","84,529","84,548"
CW,2021-03-10,"60,097","60,054","60,139",71.07,70.89,71.25,"84,560","84,494","84,626"
CW,2021-03-11,"60,125","60,121","60,129",71.12,71.10,71.14,"84,541","84,534","84,548"
CW,2021-03-12,"59,680","59,668","59,692",70.63,70.59,70.68,"84,492","84,477","84,507"
CW,2021-03-13,"58,354","58,265","58,444",69.32,69.05,69.58,"84,186","84,155","84,217"
CW,2021-03-14,"56,523","56,430","56,615",67.22,66.94,67.49,"84,088","84,057","84,119"
CW,2021-03-15,"56,515","56,426","56,604",67.46,67.16,67.76,"83,778","83,696","83,859"
CW,2021-03-16,"58,745","58,701","58,790",69.92,69.79,70.06,"84,014","83,992","84,037"
CW,2021-03-17,"59,380","59,357","59,403",70.65,70.57,70.73,"84,051","84,030","84,072"
CW,2021-03-18,"59,224","59,210","59,239",70.51,70.45,70.56,"84,000","83,985","84,015"
CW,2021-03-19,"59,203","59,184","59,222",70.37,70.26,70.48,"84,126","84,079","84,174"
CW,2021-03-20,"57,908","57,893","57,924",69.10,69.03,69.17,"83,801","83,774","83,828"
CW,2021-03-21,"56,133","56,110","56,155",67.27,67.18,67.36,"83,445","83,414","83,476"
CW,2021-03-22,"56,157","56,114","56,200",67.24,67.09,67.40,"83,514","83,467","83,561"
CW,2021-03-23,"58,770","58,734","58,807",70.10,69.98,70.22,"83,834","83,805","83,863"
CW,2021-03-24,"59,500","59,433","59,567",70.62,70.38,70.86,"84,254","84,181","84,326"
CW,2021-03-25,"59,345","59,303","59,386",70.63,70.49,70.77,"84,018","83,981","84,056"
CW,2021-03-26,"59,176","59,153","59,200",70.51,70.40,70.61,"83,932","83,893","83,971"
CW,2021-03-27,"57,758","57,667","57,849",69.08,68.73,69.42,"83,614","83,501","83,728"
CW,2021-03-28,"56,174","56,061","56,288",67.36,66.91,67.82,"83,389","83,232","83,547"
CW,2021-03-29,"56,160","55,822","56,498",67.07,65.77,68.36,"83,735","83,305","84,165"
AL,2021-02-27,"1,318","1,318","1,318",82.38,82.38,82.38,"1,600","1,600","1,600"
CT,2021-02-27,594,594,594,56.84,56.84,56.84,"1,045","1,045","1,045"
DC,2021-02-27,288,288,288,88.89,88.89,88.89,324,324,324
ID,2021-02-27,181,181,181,64.41,64.41,64.41,281,281,281
AL,2021-02-28,"1,299","1,299","1,299",80.99,80.99,80.99,"1,604","1,604","1,604"
CT,2021-02-28,585,585,585,55.98,55.98,55.98,"1,045","1,045","1,045"
DC,2021-02-28,276,276,276,85.45,85.45,85.45,323,323,323
ID,2021-02-28,179,179,179,59.08,59.08,59.08,303,303,303
AL,2021-03-01,"1,294","1,294","1,294",80.93,80.93,80.93,"1,599","1,599","1,599"
CT,2021-03-01,584,584,584,55.89,55.89,55.89,"1,045","1,045","1,045"
