state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/04/09,42948,42931,42965,6.18,6.16,6.2,697873,697671,698075,
CW,2021/04/10,42421,42393,42449,6.11,6.08,6.15,697066,696877,697255,
CW,2021/04/11,43221,43183,43259,6.26,6.19,6.32,693586,692924,694248,
CW,2021/04/12,44533,44509,44557,6.45,6.41,6.49,693381,692918,693843,
CW,2021/04/13,44946,44923,44968,6.47,6.43,6.52,697238,696752,697724,
CW,2021/04/14,44782,44761,44802,6.41,6.36,6.45,701888,701353,702423,
CW,2021/04/15,44189,44174,44204,6.33,6.29,6.38,700672,700079,701266,
CW,2021/04/16,44369,44351,44388,6.36,6.31,6.41,701146,700517,701776,
CW,2021/04/17,43809,43775,43844,6.31,6.25,6.37,696908,696272,697544,
CW,2021/04/18,44224,44203,44246,6.41,6.36,6.46,693081,692444,693717,
CW,2021/04/19,45467,45448,45486,6.59,6.56,6.61,693398,692774,694023,
CW,2021/04/20,45564,45546,45581,6.56,6.54,6.58,697272,696622,697922,
CW,2021/04/21,44845,44832,44858,6.44,6.42,6.45,699683,699023,700343,
CW,2021/04/22,43805,43788,43821,6.29,6.27,6.32,699218,698524,699913,
CW,2021/04/23,43126,43111,43141,6.2,6.18,6.22,698558,697884,699232,
CW,2021/04/24,41793,41777,41808,6.02,5.97,6.06,697525,696626,698425,
CW,2021/04/25,41473,41420,41527,6,5.94,6.07,693817,693130,694505,
CW,2021/04/26,42557,42541,42572,6.17,6.14,6.2,692535,691816,693254,
CW,2021/04/27,42374,42368,42379,6.11,6.06,6.16,696744,696047,697442,
CW,2021/04/28,41566,41561,41571,5.96,5.92,6.01,699982,699379,700586,
CW,2021/04/29,40467,40456,40478,5.81,5.76,5.85,699860,699260,700460,
CW,2021/04/30,39670,39651,39688,5.7,5.65,5.75,698985,698327,699643,
CW,2021/05/01,38346,38322,38370,5.54,5.48,5.59,695438,694761,696115,
CW,2021/05/02,38270,38228,38311,5.56,5.49,5.63,691748,691060,692435,
CW,2021/05/03,38924,38891,38958,5.65,5.59,5.7,692158,691654,692663,
CW,2021/05/04,39086,39035,39137,5.63,5.54,5.72,696800,695811,697789,
CW,2021/05/05,38245,38161,38329,5.48,5.36,5.6,701327,700408,702245,
CW,2021/05/06,37299,37151,37446,5.33,5.13,5.54,702232,700761,703704,
CW,2021/05/07,36368,36130,36605,5.24,4.9,5.59,696677,694028,699327,
CW,2021/05/08,35466,35071,35860,5.13,4.54,5.72,694389,689712,699066,
CW,2021/05/09,34928,34455,35401,5.07,4.35,5.78,692306,686595,698017,
