state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,1,23,0,1,23,0,1,24,1646,24,888,24,82,24,6,24,2,24,0,24,0,24,76,24,15,24,15,24,76,24,70,24,3,24,2,24,126,24,0.5394896719319563,24,888,1646,0.09234234234234234,24,82,888,0.04981773997569866,24,82,1646,0.11904761904761904,24,15,126,0.6031746031746031,24,76,126,2021-01-06
AL,39,70,8,41,67,9,20,111,15541,116,11784,116,3335,111,393,113,114,111,4,111,11,111,1589,116,868,111,857,113,3304,111,3102,113,31,111,22,111,1702,116,0.7582523647126954,116,11784,15541,0.29188240456340503,110,3326,11395,0.22142334065641436,110,3326,15021,0.5216867469879518,110,866,1660,0.9336075205640423,116,1589,1702,2021-01-06
AR,21,85,2,24,82,2,16,106,9142,108,6433,108,1405,106,167,108,257,106,5,106,6,106,824,108,386,106,354,108,1384,106,1283,108,21,106,4,106,1039,108,0.7036753445635529,108,6433,9142,0.21898379052369077,106,1405,6416,0.154378639709922,106,1405,9101,0.3776908023483366,106,386,1022,0.793070259865255,108,824,1039,2021-01-06
AZ,32,89,3,35,86,3,97,121,17467,124,13503,124,5239,121,607,124,277,121,2,121,4,121,1766,124,1147,121,1076,124,5203,121,4610,124,36,121,21,121,2309,124,0.7730577660731666,124,13503,17467,0.3956649799864059,121,5239,13241,0.30594487269329596,121,5239,17124,0.5150426582846879,121,1147,2227,0.7648332611520139,124,1766,2309,2021-01-06
CA,183,220,12,197,206,12,188,407,69098,415,56164,415,22679,406,1778,415,555,407,19,406,21,406,8403,414,4948,406,4929,414,22458,406,21627,414,221,406,170,406,9433,414,0.8128165793510665,415,56164,69098,0.4086600836096295,406,22679,55496,0.3330494162567002,406,22679,68095,0.539291553133515,406,4948,9175,0.8908088625039754,414,8403,9433,2021-01-06
CO,7,82,13,9,80,13,9,100,11707,102,7544,102,985,100,137,102,52,100,4,100,6,100,855,102,232,100,224,102,956,100,865,102,29,100,15,100,1377,102,0.6444007858546169,102,7544,11707,0.13200214419726614,100,985,7462,0.08494308382200759,100,985,11596,0.17261904761904762,100,232,1344,0.6209150326797386,102,855,1377,2021-01-06
CT,4,34,1,4,34,1,33,38,8438,39,6849,39,1296,38,147,39,59,38,2,38,0,38,671,39,232,38,226,39,1288,38,1149,39,8,38,6,38,1070,39,0.8116852334676463,39,6849,8438,0.19072847682119207,38,1296,6795,0.1553398058252427,38,1296,8343,0.22137404580152673,38,232,1048,0.6271028037383177,39,671,1070,2021-01-06
DC,0,12,2,0,12,2,9,12,3418,14,2700,14,357,13,25,14,67,13,0,13,13,13,284,14,71,12,68,13,326,13,309,14,31,13,9,13,355,14,0.7899356348741955,14,2700,3418,0.1373605232781839,13,357,2599,0.10854363028276072,13,357,3289,0.2113095238095238,12,71,336,0.8,14,284,355,2021-01-06
DE,1,14,1,2,13,1,15,15,3272,16,2417,16,517,15,63,16,30,15,1,15,0,15,177,16,59,15,61,16,506,15,485,16,11,15,10,15,200,16,0.7386919315403423,16,2417,3272,0.2159565580618212,15,517,2394,0.1595679012345679,15,517,3240,0.30569948186528495,15,59,193,0.885,16,177,200,2021-01-06
FL,8,247,15,24,231,15,88,264,58184,270,45272,270,8239,264,998,270,245,264,21,264,17,264,5284,270,1587,264,1549,270,8173,264,7717,270,66,264,52,264,6409,270,0.7780833218754297,270,45272,58184,0.18481796361515512,264,8239,44579,0.1440107671601615,264,8239,57211,0.25600903371511535,264,1587,6199,0.8244655952566703,270,5284,6409,2021-01-06
