state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-09-11,"502,402","500,974","503,830",68.30,67.85,68.75,"716,135","711,004","721,266"
CW,2020-09-12,"484,441","482,881","486,001",66.03,65.48,66.59,"714,129","708,928","719,330"
CW,2020-09-13,"469,035","467,047","471,022",64.50,63.77,65.22,"708,148","702,904","713,393"
CW,2020-09-14,"473,530","472,120","474,940",64.81,64.33,65.29,"712,461","707,330","717,591"
CW,2020-09-15,"495,854","494,408","497,299",67.96,67.49,68.43,"711,505","706,418","716,591"
CW,2020-09-16,"502,833","501,495","504,171",68.85,68.39,69.30,"712,350","707,236","717,464"
CW,2020-09-17,"504,811","503,465","506,158",68.89,68.44,69.35,"714,734","709,663","719,806"
CW,2020-09-18,"501,303","500,068","502,537",68.32,67.93,68.71,"715,609","710,899","720,318"
CW,2020-09-19,"483,184","481,686","484,682",66.10,65.54,66.66,"713,510","708,701","718,318"
CW,2020-09-20,"466,512","464,939","468,084",64.04,63.44,64.64,"711,085","706,233","715,936"
CW,2020-09-21,"470,517","469,322","471,711",64.40,63.93,64.86,"712,615","708,196","717,035"
CW,2020-09-22,"497,441","496,291","498,590",67.61,67.15,68.08,"717,687","713,237","722,137"
CW,2020-09-23,"509,304","508,272","510,337",68.98,68.56,69.39,"720,247","715,874","724,619"
CW,2020-09-24,"509,551","508,501","510,601",69.00,68.59,69.41,"720,927","716,581","725,273"
CW,2020-09-25,"507,167","506,075","508,260",68.62,68.18,69.05,"721,385","717,013","725,757"
CW,2020-09-26,"489,299","488,053","490,546",66.50,66.01,67.00,"717,708","713,313","722,103"
CW,2020-09-27,"475,032","473,854","476,210",64.75,64.25,65.25,"715,982","711,546","720,418"
CW,2020-09-28,"478,511","477,460","479,563",65.36,64.94,65.78,"714,957","710,617","719,296"
CW,2020-09-29,"502,767","501,717","503,817",68.52,68.11,68.92,"717,929","713,753","722,105"
CW,2020-09-30,"512,187","511,252","513,123",69.64,69.31,69.96,"719,612","715,603","723,621"
CW,2020-10-01,"512,121","511,098","513,144",69.93,68.95,70.91,"722,580","718,528","726,633"
CW,2020-10-02,"505,863","503,466","508,259",69.19,68.00,70.38,"721,167","717,252","725,082"
CW,2020-10-03,"487,334","486,094","488,574",66.77,65.82,67.73,"719,645","715,760","723,529"
CW,2020-10-04,"470,464","469,088","471,841",64.76,63.78,65.74,"716,886","712,949","720,822"
CW,2020-10-05,"475,698","474,583","476,814",65.58,64.72,66.44,"716,703","713,158","720,249"
CW,2020-10-06,"503,499","502,451","504,547",68.93,68.13,69.72,"720,638","717,393","723,883"
CW,2020-10-07,"515,196","514,143","516,249",70.41,69.75,71.06,"722,034","719,335","724,733"
CW,2020-10-08,"518,609","516,168","521,051",70.64,69.82,71.46,"724,440","722,961","725,918"
CW,2020-10-09,"513,807","512,124","515,490",69.64,69.00,70.29,"727,747","725,776","729,717"
CW,2020-10-10,"498,258","495,480","501,036",67.72,66.55,68.89,"725,606","722,196","729,017"
CW,2020-10-11,"484,363","480,989","487,737",66.22,64.74,67.70,"721,187","716,803","725,571"
DC,2020-09-11,"2,351","2,184","2,518",82.38,63.34,101.41,"2,854","2,634","3,074"
DC,2020-09-12,"2,278","2,278","2,278",81.68,81.68,81.68,"2,789","2,789","2,789"
DC,2020-09-13,"2,224","2,224","2,224",79.77,79.77,79.77,"2,788","2,788","2,788"
DC,2020-09-14,"2,247","2,247","2,247",78.98,78.98,78.98,"2,845","2,845","2,845"
DC,2020-09-15,"2,341","2,341","2,341",82.14,82.14,82.14,"2,850","2,850","2,850"
DC,2020-09-16,"2,375","2,375","2,375",83.27,83.27,83.27,"2,852","2,852","2,852"
DC,2020-09-17,"2,358","2,358","2,358",82.74,82.74,82.74,"2,850","2,850","2,850"
