state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PA,21,183,6,24,180,6,25,204,30023,210,23423,210,2801,204,242,210,316,204,9,201,30,201,2628,210,607,204,546,210,2734,204,2415,210,67,203,40,203,3418,210,0.780168537454618,210,23423,30023,0.120691140985867,204,2801,23208,0.094491110886213,204,2801,29643,0.183272946859903,204,607,3312,0.768870684610884,210,2628,3418,2021/04/22,POINT (-77.838886 40.896694)
PR,0,0,68,0,0,68,4,67,9195,68,5374,68,547,67,28,68,26,67,3,67,11,67,475,68,111,67,71,68,508,67,458,68,39,67,18,67,694,68,0.584448069603045,68,5374,9195,0.103992395437262,67,547,5260,0.060696848646249,67,547,9012,0.167420814479638,67,111,663,0.684438040345821,68,475,694,2021/04/22,POINT (-66.414655 18.215692)
RI,4,8,2,4,8,2,8,13,2509,14,2202,14,181,13,16,14,0,13,0,13,0,13,130,14,32,13,33,14,180,13,142,14,1,13,1,13,166,14,0.877640494220805,14,2202,2509,0.083835108846688,13,181,2159,0.074454956807898,13,181,2431,0.217687074829932,13,32,147,0.783132530120482,14,130,166,2021/04/22,POINT (-71.534637 41.572574)
SC,19,48,2,19,48,2,0,67,10005,69,7387,69,468,67,46,69,26,67,1,67,2,67,907,69,125,67,116,69,460,67,433,69,8,67,6,67,1335,69,0.738330834582709,69,7387,10005,0.064276885043263,67,468,7281,0.047565809533489,67,468,9839,0.096599690880989,67,125,1294,0.67940074906367,69,907,1335,2021/04/22,POINT (-80.864614 33.878572)
SD,0,60,3,0,60,3,21,60,2558,63,1385,63,103,60,6,63,13,60,0,60,1,60,126,63,30,60,25,63,102,60,81,63,1,60,0,60,239,63,0.541438623924941,63,1385,2558,0.075958702064897,60,103,1356,0.041348855881172,60,103,2491,0.131578947368421,60,30,228,0.527196652719665,63,126,239,2021/04/22,POINT (-100.230491 44.43614)
TN,9,93,39,29,73,39,16,102,20251,141,12964,127,852,102,61,102,55,102,2,102,1,102,1658,138,261,102,235,102,836,102,714,102,16,102,12,102,2382,141,0.677785329638731,127,12964,19127,0.070326042096574,102,852,12115,0.048097549960483,102,852,17714,0.115130127922364,102,261,2267,0.713118279569892,138,1658,2325,2021/04/22,POINT (-86.343226 35.842998)
TX,98,479,13,114,463,13,61,585,67302,590,48228,590,3350,585,323,590,433,585,14,585,59,585,5436,590,926,585,850,590,3249,585,2744,590,101,585,59,585,7348,590,0.716590888829455,590,48228,67302,0.070218831223275,585,3350,47708,0.050349440144285,585,3350,66535,0.129113218070273,585,926,7172,0.739793140990746,590,5436,7348,2021/04/22,POINT (-99.317341 31.447238)
UT,1,51,1,1,51,1,1,52,5483,53,2879,53,148,52,13,53,2,52,1,52,0,52,366,53,71,52,69,53,142,52,137,53,6,52,0,52,634,53,0.525077512310779,53,2879,5483,0.052296819787986,52,148,2830,0.027361804400074,52,148,5409,0.11525974025974,52,71,616,0.577287066246057,53,366,634,2021/04/22,POINT (-111.678222 39.323779)
VA,14,71,9,22,63,9,21,91,16992,94,11968,94,980,91,62,94,178,91,0,91,5,91,1350,94,241,91,225,94,969,91,809,94,11,91,5,91,1948,94,0.704331450094162,94,11968,16992,0.082847239834306,91,980,11829,0.058563403848452,91,980,16734,0.12737843551797,91,241,1892,0.693018480492813,94,1350,1948,2021/04/22,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,82,2,4,2,1,2,0,2,0,2,0,2,7,2,3,2,3,2,4,2,4,2,0,2,0,2,20,2,0.488095238095238,2,82,168,0.048780487804878,2,4,82,0.023809523809524,2,4,168,0.15,2,3,20,0.35,2,7,20,2021/04/22,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1294,17,803,17,22,16,7,17,4,16,0,16,0,16,55,17,6,16,6,17,22,16,21,17,0,16,0,16,101,17,0.620556414219474,17,803,1294,0.027954256670902,16,22,787,0.017501988862371,16,22,1257,0.063829787234043,16,6,94,0.544554455445545,17,55,101,2021/04/22,POINT (-72.662695 44.075252)
WA,8,84,2,10,82,2,12,92,13508,94,8657,94,680,92,72,94,80,92,1,92,1,92,909,94,169,92,164,94,677,92,607,94,3,92,2,92,1357,94,0.640879478827362,94,8657,13508,0.079439252336449,92,680,8560,0.050841121495327,92,680,13375,0.126972201352367,92,169,1331,0.669859985261606,94,909,1357,2021/04/22,POINT (-120.592492 47.411715)
WI,10,111,21,12,109,21,2,139,12155,142,7365,142,393,139,78,142,38,139,2,139,6,139,776,142,126,139,123,142,387,139,369,142,6,139,3,139,1514,142,0.60592348827643,142,7365,12155,0.054628857381151,139,393,7194,0.03303631472764,139,393,11896,0.086183310533516,139,126,1462,0.512549537648613,142,776,1514,2021/04/22,POINT (-89.732969 44.639954)
AK,1,21,0,1,21,0,1,22,1484,22,905,22,42,22,5,22,1,22,0,22,0,22,97,22,15,22,13,22,41,22,39,22,1,22,1,22,139,22,0.609838274932615,22,905,1484,0.046408839779006,22,42,905,0.028301886792453,22,42,1484,0.107913669064748,22,15,139,0.697841726618705,22,97,139,2021/04/22,POINT (-151.631889 63.631126)
AL,24,69,13,28,64,14,5,102,14666,106,10175,106,432,102,53,104,61,102,0,102,7,102,1276,106,144,102,123,104,419,102,329,104,13,102,4,102,1639,106,0.693781535524342,106,10175,14666,0.042976522085157,102,432,10052,0.02989412497405,102,432,14451,0.089887640449438,102,144,1602,0.778523489932886,106,1276,1639,2021/04/22,POINT (-86.844516 32.756889)
AR,13,74,2,16,71,2,0,87,7561,89,4967,89,201,87,26,89,31,87,0,87,11,87,639,89,64,87,46,89,193,87,139,89,8,87,3,87,995,89,0.656923687342944,89,4967,7561,0.040589660743134,87,201,4952,0.026728723404255,87,201,7520,0.065439672801636,87,64,978,0.642211055276382,89,639,995,2021/04/22,POINT (-92.439162 34.899825)
AZ,27,71,3,27,71,3,4,98,15025,101,9825,101,616,98,69,101,111,98,2,98,5,98,1120,101,207,98,144,101,593,98,406,101,23,98,7,98,2243,101,0.653910149750416,101,9825,15025,0.064039920989708,98,616,9619,0.041879121626215,98,616,14709,0.095567867036011,98,207,2166,0.499331252786447,101,1120,2243,2021/04/22,POINT (-111.664616 34.293239)
CA,66,278,37,84,261,36,25,373,60306,381,42981,381,2073,372,228,381,327,373,4,372,13,372,4748,380,477,372,427,380,2033,372,1744,380,40,372,30,372,7019,380,0.712715152721122,381,42981,60306,0.048835072675446,372,2073,42449,0.034863187635593,372,2073,59461,0.069716457176264,372,477,6842,0.676449636700385,380,4748,7019,2021/04/22,POINT (-119.662127 37.211164)
CO,5,77,13,5,77,13,10,93,11074,95,7553,95,693,93,93,95,47,93,2,93,12,93,896,95,219,93,217,95,675,93,627,95,18,93,6,93,1297,95,0.68204804045512,95,7553,11074,0.092721434305593,93,693,7474,0.063189568706118,93,693,10967,0.173259493670886,93,219,1264,0.690824980724749,95,896,1297,2021/04/22,POINT (-105.547832 38.998552)
CT,4,28,1,4,28,1,14,32,7858,33,6118,33,508,32,74,33,36,32,0,32,0,32,569,33,116,32,105,33,501,32,440,33,7,32,3,32,1052,33,0.778569610587936,33,6118,7858,0.083676494811398,32,508,6071,0.065388080834084,32,508,7769,0.112621359223301,32,116,1030,0.540874524714829,33,569,1052,2021/04/22,POINT (-72.738288 41.575155)
