state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,3,19,0,3,19,0,2,22,1451,22,933,22,102,22,5,22,3,22,0,22,0,22,88,22,18,22,17,22,99,22,95,22,3,22,2,22,126,22,0.6430048242591316,22,933,1451,0.10932475884244373,22,102,933,0.07029634734665748,22,102,1451,0.14285714285714285,22,18,126,0.6984126984126984,22,88,126,2020-12-18
AL,38,72,4,43,66,5,16,112,15507,114,11849,114,2773,112,399,112,139,112,3,112,6,112,1314,114,684,112,655,112,2743,112,2562,112,30,112,21,112,1451,114,0.7641065325336944,114,11849,15507,0.23903111800706836,112,2773,11601,0.18213464696223317,112,2773,15225,0.47139903514817366,112,684,1451,0.9055823569951758,114,1314,1451,2020-12-18
AR,34,60,0,38,56,0,9,94,8049,94,5602,94,1147,94,156,94,241,94,3,94,11,94,733,94,308,94,271,94,1123,94,978,94,24,94,8,94,1004,94,0.6959870791402659,94,5602,8049,0.20474830417707962,94,1147,5602,0.14250217418312833,94,1147,8049,0.30677290836653387,94,308,1004,0.7300796812749004,94,733,1004,2020-12-18
AZ,40,66,0,45,61,0,72,106,15149,106,11602,106,4293,106,518,106,277,106,5,106,9,106,1625,106,969,106,871,106,4248,106,3633,106,45,106,28,106,2149,106,0.7658591326160142,106,11602,15149,0.3700224099293225,106,4293,11602,0.28338504191695824,106,4293,15149,0.450907398790135,106,969,2149,0.7561656584457888,106,1625,2149,2020-12-18
CA,147,222,4,160,209,4,77,373,64505,373,49964,373,18823,372,2133,373,573,373,17,372,15,372,6798,372,3857,372,3761,372,18667,372,17798,372,156,372,131,371,8015,372,0.7745756142934657,373,49964,64505,0.3767312464974782,372,18823,49964,0.29180683667932716,372,18823,64505,0.4812227074235808,372,3857,8015,0.8481597005614473,372,6798,8015,2020-12-18
CO,9,74,11,12,71,11,32,94,11087,94,7264,94,1449,94,157,94,85,94,6,94,12,94,920,94,412,94,393,94,1422,94,1254,94,27,94,14,94,1496,94,0.6551817443853162,94,7264,11087,0.19947687224669602,94,1449,7264,0.13069360512311717,94,1449,11087,0.27540106951871657,94,412,1496,0.6149732620320856,94,920,1496,2020-12-18
CT,6,26,0,6,26,0,29,32,8150,32,5813,32,1318,32,122,32,60,32,2,32,0,32,634,32,253,32,236,32,1309,32,1163,32,9,32,7,32,1100,32,0.7132515337423313,32,5813,8150,0.22673318424221572,32,1318,5813,0.16171779141104295,32,1318,8150,0.23,32,253,1100,0.5763636363636364,32,634,1100,2020-12-18
DC,0,12,1,0,12,1,7,13,3428,13,2661,13,330,13,65,13,76,13,1,13,8,13,260,13,83,13,73,13,301,13,263,13,29,13,13,13,314,13,0.7762543757292882,13,2661,3428,0.12401352874859076,13,330,2661,0.09626604434072346,13,330,3428,0.2643312101910828,13,83,314,0.8280254777070064,13,260,314,2020-12-18
DE,1,9,0,1,9,0,7,10,2655,10,1831,10,495,10,51,10,19,10,0,10,0,10,156,10,59,10,59,10,487,10,460,10,8,10,6,10,192,10,0.6896421845574388,10,1831,2655,0.2703440742763517,10,495,1831,0.1864406779661017,10,495,2655,0.3072916666666667,10,59,192,0.8125,10,156,192,2020-12-18
FL,8,224,5,20,212,5,71,237,51721,237,40640,237,6029,237,873,237,327,237,6,237,7,237,4940,237,1178,237,1115,237,5992,237,5410,237,37,237,26,237,6020,237,0.7857543357630363,237,40640,51721,0.1483513779527559,237,6029,40640,0.11656773844279886,237,6029,51721,0.19568106312292358,237,1178,6020,0.8205980066445183,237,4940,6020,2020-12-18
