state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,27126,177,17181,168,1030,204,2350,163,228,176,3083,151,0.6924562360942026,158,16495,23821,0.049124032361329374,168,844,17181,0.033178500331785,177,900,27126,0.06044848878778031,143,186,3077,0.7339901477832512,147,2235,3045,2020-08-21
PR,8496,64,4787,66,492,68,450,65,67,63,651,62,0.5270715630885122,63,4478,8496,0.09901817422185084,66,474,4787,0.05379001883239171,64,457,8496,0.10140405616224649,60,65,641,0.663594470046083,61,432,651,2020-08-21
RI,1751,13,1891,13,90,13,126,13,12,13,159,13,1.079954311821816,13,1891,1751,0.047593865679534636,13,90,1891,0.05139920045688178,13,90,1751,0.07547169811320754,13,12,159,0.7924528301886793,13,126,159,2020-08-21
SC,10270,81,7858,81,1050,81,940,75,257,77,1310,73,0.7651411879259981,81,7858,10270,0.13362178671417663,81,1050,7858,0.10223953261927946,81,1050,10270,0.18625954198473282,73,244,1310,0.7022900763358778,73,920,1310,2020-08-21
SD,2168,47,772,43,71,50,78,36,17,31,93,26,0.5046480743691899,41,760,1506,0.038860103626943004,43,30,772,0.03274907749077491,47,71,2168,0.10752688172043011,22,10,93,0.5591397849462365,26,52,93,2020-08-21
TN,17978,113,11343,116,1077,112,1441,112,341,108,2020,115,0.6241122053118472,105,10457,16755,0.09432933478735006,107,1038,11004,0.058950008958967924,101,987,16743,0.16623376623376623,103,320,1925,0.726294208098411,110,1417,1951,2020-08-21
TX,63286,537,40228,521,6228,552,5330,483,1956,493,6562,453,0.6750811456248633,515,40141,59461,0.14281097742865664,521,5745,40228,0.09651423695604083,537,6108,63286,0.2570157951234473,443,1676,6521,0.7727826882048157,453,5071,6562,2020-08-21
UT,5417,52,2736,48,154,53,334,44,50,43,544,41,0.5164212910532276,48,2736,5298,0.05482456140350877,48,150,2736,0.02769060365515968,52,150,5417,0.09191176470588236,40,50,544,0.6029411764705882,40,328,544,2020-08-21
VA,15400,78,7665,69,1097,85,667,71,220,72,1420,73,0.5648106570872624,64,7547,13362,0.11389432485322896,69,873,7665,0.06811688311688312,78,1049,15400,0.15215745647236942,67,201,1321,0.4973424449506454,68,655,1317,2020-08-21
VI,188,2,84,2,10,2,9,2,4,2,20,2,0.44680851063829785,2,84,188,0.11904761904761904,2,10,84,0.05319148936170213,2,10,188,0.2,2,4,20,0.45,2,9,20,2020-08-21
VT,590,11,189,7,6,14,32,8,5,10,48,7,0.5220994475138122,7,189,362,0.021164021164021163,7,4,189,0.006779661016949152,11,4,590,0.10416666666666667,7,5,48,0.6666666666666666,7,32,48,2020-08-21
WA,9774,82,5498,76,299,83,590,67,84,68,904,66,0.5846086094902565,75,5310,9083,0.049207519351271656,75,267,5426,0.030818387961245104,81,299,9702,0.084070796460177,61,76,904,0.625,62,565,904,2020-08-21
WI,12448,133,7084,130,625,134,768,123,147,129,1454,127,0.5769294059568866,129,7012,12154,0.08794466403162056,130,623,7084,0.04932519280205656,133,614,12448,0.10110041265474554,127,147,1454,0.5281980742778541,123,768,1454,2020-08-21
