state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
AK,1,20,1,1,20,1,1,22,1453,22,987,22,127,22,18,22,3,22,0,22,1,22,95,22,20,22,19,22,125,22,120,22,2,22,1,22,121,22,0.679284239504474,22,987,1453,0.128672745694022,22,127,987,0.087405368203716,22,127,1453,0.165289256198347,22,20,121,0.785123966942149,22,95,121,2021/08/06,,0,22,0,22,5,22,3,22,4,22,0,22,1,22,4,22,1,22,0,22,1,22,0,22,0,22,0,22,2,22,0,22,0,22,0,22,1,22
AL,29,68,18,33,64,18,16,111,14840,114,11966,114,2397,111,448,113,109,111,7,111,23,111,1520,114,654,111,643,113,2350,111,2262,113,47,111,33,111,1632,114,0.80633423180593,114,11966,14840,0.20255196890316,110,2397,11834,0.163651259643613,110,2397,14647,0.410288582183187,110,654,1594,0.931372549019608,114,1520,1632,2021/08/06,,8,113,31,113,36,113,73,113,110,113,82,113,66,113,42,113,0,113,7,111,13,111,7,111,8,111,18,111,19,111,20,111,17,111,0,111,30,111
AR,21,72,2,22,71,2,8,93,8152,95,6191,95,1392,93,216,95,90,93,3,93,11,93,834,95,446,93,432,95,1364,93,1276,95,28,93,20,93,1027,95,0.759445534838076,95,6191,8152,0.225790754257908,93,1392,6165,0.171576482189079,93,1392,8113,0.439408866995074,93,446,1015,0.81207400194742,95,834,1027,2021/08/06,,1,95,12,95,15,95,30,95,52,95,43,95,45,95,16,95,2,95,0,93,4,93,6,93,5,93,15,93,21,93,25,93,14,93,0,93,19,93
AZ,31,71,3,31,71,3,15,102,15643,105,11104,105,1608,102,200,105,138,102,4,102,3,102,1322,105,383,102,346,105,1560,102,1249,105,48,102,23,102,2198,105,0.709838266317203,105,11104,15643,0.147360703812317,102,1608,10912,0.104748876294704,102,1608,15351,0.179643527204503,102,383,2132,0.601455868971792,105,1322,2198,2021/08/06,,1,105,11,105,24,105,32,105,31,105,44,105,33,105,23,105,1,105,3,102,13,102,13,102,16,102,30,102,30,102,13,102,20,102,0,102,15,102
CA,86,257,33,97,245,34,33,368,61775,376,47878,376,6707,368,832,376,378,368,22,368,21,368,5296,376,1411,368,1388,376,6583,368,6278,376,124,368,105,368,7002,376,0.77503844597329,376,47878,61775,0.141911049045745,368,6707,47262,0.110053656695601,368,6707,60943,0.206679361359309,368,1411,6827,0.756355327049414,376,5296,7002,2021/08/06,,4,376,54,375,136,375,146,375,163,375,143,375,100,375,80,375,6,376,5,368,21,367,38,367,48,367,51,367,63,367,75,367,70,367,7,368,110,368
CO,6,69,20,5,70,20,5,93,10890,95,7763,95,599,93,103,95,52,93,4,93,11,93,990,95,215,93,214,95,578,93,520,95,21,93,8,93,1349,95,0.712855831037649,95,7763,10890,0.077822528257763,93,599,7697,0.055550403412779,93,599,10783,0.163373860182371,93,215,1316,0.733876945885841,95,990,1349,2021/08/06,,4,95,7,95,19,95,12,95,17,95,19,95,13,95,11,95,1,95,1,93,5,93,8,93,3,93,10,93,10,93,11,93,4,93,0,93,4,93
CT,0,27,6,0,27,6,0,32,7860,33,6224,33,269,32,38,33,28,32,1,32,0,32,545,33,45,32,47,33,265,32,231,33,4,32,3,32,1052,33,0.791857506361323,33,6224,7860,0.043661743223503,32,269,6161,0.034571391851947,32,269,7781,0.04368932038835,32,45,1030,0.518060836501901,33,545,1052,2021/08/06,,0,33,1,33,5,33,3,33,8,33,5,33,9,33,7,33,0,33,0,32,2,32,2,32,4,32,4,32,4,32,7,32,5,32,0,32,2,32
DC,0,12,2,0,12,2,0,12,3496,14,2669,14,89,13,15,14,49,13,1,13,1,13,289,14,27,12,20,13,77,13,62,14,12,13,7,13,351,14,0.763443935926774,14,2669,3496,0.034191317710334,13,89,2603,0.026386006522384,13,89,3373,0.081570996978852,12,27,331,0.823361823361823,14,289,351,2021/08/06,,0,14,1,14,3,14,3,14,3,14,4,14,1,14,0,14,0,14,0,13,3,13,10,13,6,13,9,13,12,13,5,13,4,13,0,13,1,12
DE,1,8,2,1,8,2,3,10,2836,11,2117,11,120,10,14,11,32,10,1,10,0,10,139,11,8,10,8,11,114,10,101,11,6,10,3,10,187,11,0.746473906911142,11,2117,2836,0.05730659025788,10,120,2094,0.04275026718917,10,120,2807,0.043956043956044,10,8,182,0.74331550802139,11,139,187,2021/08/06,,0,11,2,11,0,11,2,11,4,11,3,11,3,11,0,11,0,11,0,10,0,10,2,10,1,10,4,10,7,10,10,10,8,10,0,10,0,10
FL,41,141,56,42,140,56,162,232,56172,238,48414,238,15449,232,2232,238,304,232,62,232,35,232,6066,238,3114,232,3112,238,15255,232,14894,238,194,232,177,232,6734,238,0.861888485366375,238,48414,56172,0.324238671899595,232,15449,47647,0.27975155729393,232,15449,55224,0.476438188494492,232,3114,6536,0.900801900801901,238,6066,6734,2021/08/06,,11,238,118,238,222,238,288,238,439,238,417,238,350,238,281,238,106,238,1,232,19,232,35,232,27,232,56,232,73,232,43,232,44,232,6,232,193,232
GA,32,103,19,34,101,19,14,151,20345,154,19827,154,4120,151,663,154,154,151,28,151,45,151,2381,154,984,151,947,154,4022,151,3677,154,98,151,35,151,2693,154,0.974539198820349,154,19827,20345,0.20990421846342,151,4120,19628,0.205383848454636,151,4120,20060,0.372304199772985,151,984,2643,0.884144077237282,154,2381,2693,2021/08/06,,4,154,27,154,62,154,79,153,122,154,92,154,77,154,58,154,33,153,0,151,5,151,9,151,21,151,24,151,30,151,22,151,18,151,25,151,40,151
HI,1,17,4,3,15,4,13,22,2428,22,1748,22,248,22,49,22,16,22,0,22,0,22,160,22,50,22,49,22,244,22,236,22,4,22,2,22,227,22,0.71993410214168,22,1748,2428,0.14187643020595,22,248,1748,0.102141680395387,22,248,2428,0.220264317180617,22,50,227,0.704845814977974,22,160,227,2021/08/06,,0,22,1,22,7,22,5,22,10,22,6,22,7,22,8,22,5,22,0,22,0,22,4,22,1,22,2,22,2,22,2,22,5,22,0,22,0,22
