state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
PA,29,188,6,35,182,6,24,217,30600,223,26141,223,2777,217,291,223,424,217,18,216,46,216,3082,223,600,217,588,223,2677,217,2329,223,100,217,52,217,3771,223,0.854281045751634,223,26141,30600,0.107158016592707,217,2777,25915,0.091871505607569,217,2777,30227,0.16366612111293,217,600,3666,0.817289843542827,223,3082,3771,2021/09/11,,3,220,20,220,29,220,21,221,57,221,50,220,50,221,44,220,22,216,1,214,33,214,32,214,35,214,59,214,101,213,73,214,80,214,10,210,23,217,5282,6578,3770,1456,0,98
PR,6,58,1,7,57,1,6,64,9190,65,5601,65,338,64,17,65,20,64,2,64,1,64,466,65,91,64,67,65,315,64,286,65,23,64,8,64,656,65,0.609466811751904,65,5601,9190,0.061746437705517,64,338,5474,0.037543041208486,64,338,9003,0.144674085850556,64,91,629,0.710365853658537,65,466,656,2021/09/11,,1,65,1,65,3,65,3,65,4,65,1,65,2,65,2,65,0,65,0,64,0,64,1,64,3,64,6,64,4,64,3,64,2,64,1,64,13,64,511,42,1070,43,0,37
RI,7,5,2,6,6,2,2,13,2452,14,2219,14,103,13,13,14,6,13,1,13,1,13,126,14,23,13,22,14,100,13,96,14,3,13,2,13,148,14,0.904975530179445,14,2219,2452,0.047531149053992,13,103,2167,0.042988313856427,13,103,2396,0.165467625899281,13,23,139,0.851351351351351,14,126,148,2021/09/11,,0,14,0,14,2,14,1,14,7,14,2,14,0,14,1,14,0,14,0,13,0,13,1,13,0,13,0,13,1,13,2,13,2,13,0,13,0,13,213,266,649,5,0,8
SC,30,51,5,30,51,5,11,84,11487,86,9715,86,2566,84,284,86,66,84,3,84,4,84,1215,86,594,84,605,86,2532,84,2494,86,34,84,31,84,1430,86,0.845738661095151,86,9715,11487,0.267403084618591,84,2566,9596,0.226698471596431,84,2566,11319,0.427030913012221,84,594,1391,0.84965034965035,86,1215,1430,2021/09/11,,0,86,10,86,34,86,34,86,59,86,73,86,46,86,28,86,0,86,0,84,5,84,7,84,6,84,8,84,11,84,14,84,12,84,3,84,52,84,4130,3006,2061,2193,19,9
SD,1,61,3,1,61,3,33,62,2841,65,1781,65,215,62,33,65,13,62,2,62,0,62,162,65,54,62,57,65,210,62,204,65,5,62,3,62,249,65,0.626891939457937,65,1781,2841,0.123421354764638,62,215,1742,0.077505407354001,62,215,2774,0.226890756302521,62,54,238,0.650602409638554,65,162,249,2021/09/11,,0,65,2,65,1,65,3,65,6,65,7,65,6,65,7,65,1,65,1,62,1,62,0,62,1,62,2,62,4,62,4,62,0,62,0,62,2,62,934,111,526,393,0,152
TN,31,72,38,49,54,38,41,104,19819,141,13986,129,3584,104,344,104,73,104,3,104,0,104,1963,138,1006,104,992,104,3533,104,3404,104,51,104,50,104,2434,141,0.74275092936803,129,13986,18830,0.2763299922899,104,3584,12970,0.206415941945516,104,3584,17363,0.43175965665236,104,1006,2330,0.81825760733639,138,1963,2399,2021/09/11,,3,104,14,104,25,104,38,104,67,104,65,104,60,104,40,104,32,104,1,104,5,104,9,104,7,104,7,104,12,104,12,104,12,104,8,104,85,104,4971,883,1508,4795,3,507
TX,15,91,426,16,90,426,90,532,66009,532,53628,532,13594,532,1470,532,553,532,50,532,131,532,7253,532,3702,532,3601,532,13254,532,12564,532,340,532,277,532,7882,532,0.812434667999818,532,53628,66009,0.253486984411128,532,13594,53628,0.20594161402233,532,13594,66009,0.46967774676478,532,3702,7882,0.92019791930982,532,7253,7882,2021/09/11,,10,532,85,532,161,532,206,532,262,532,256,532,222,532,159,532,109,532,5,532,50,532,57,532,63,532,81,532,83,532,75,532,62,532,77,532,254,532,1956,2249,331,1494,0,0
UT,1,48,9,2,47,9,0,57,5929,58,3760,58,546,57,81,58,3,57,3,57,0,57,466,58,218,57,220,58,536,57,518,58,10,57,2,57,614,58,0.634171023781413,58,3760,5929,0.146892655367232,57,546,3717,0.093205872311369,57,546,5858,0.360927152317881,57,218,604,0.758957654723127,58,466,614,2021/09/11,,1,58,7,58,14,58,9,58,17,58,9,58,15,58,9,58,0,58,0,57,0,57,1,57,0,57,1,57,0,57,0,57,1,57,0,57,3,57,706,1747,206,183,0,4
VA,20,67,20,21,66,20,48,104,18432,107,14299,107,2078,104,213,107,197,104,23,104,13,104,1510,107,496,104,487,107,2039,104,1860,107,39,104,18,104,1955,107,0.775770399305556,107,14299,18432,0.14704217378998,104,2078,14132,0.114288857111429,104,2078,18182,0.261052631578947,104,496,1900,0.772378516624041,107,1510,1955,2021/09/11,,0,107,12,107,29,107,22,107,41,107,35,107,33,107,35,107,6,107,1,104,8,104,22,104,20,104,30,104,40,104,37,104,39,104,0,104,29,104,2095,4442,841,958,5,177
VI,2,0,0,2,0,0,0,2,168,2,104,2,9,2,3,2,0,2,0,2,0,2,11,2,2,2,2,2,9,2,9,2,0,2,0,2,20,2,0.619047619047619,2,104,168,0.086538461538462,2,9,104,0.053571428571429,2,9,168,0.1,2,2,20,0.55,2,11,20,2021/09/11,,0,2,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,192,17,136,13,0,0
