state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
AK,1,23,0,1,23,0,0,24,1667,24,1029,24,17,24,2,24,0,24,0,24,0,24,90,24,5,24,5,24,17,24,17,24,0,24,0,24,130,24,0.617276544691062,24,1029,1667,0.016520894071914,24,17,1029,0.010197960407918,24,17,1667,0.038461538461538,24,5,130,0.692307692307692,24,90,130,2021/06/07,,0,24,1,24,0,24,0,24,0,24,0,24,0,24,0,24,1,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
AL,26,77,14,28,75,14,5,113,15497,117,11595,117,280,113,32,115,75,113,0,113,5,113,1287,117,82,113,73,115,270,113,211,115,10,113,4,113,1644,117,0.748209330838227,117,11595,15497,0.024441340782123,113,280,11456,0.018323408153917,113,280,15281,0.051058530510585,113,82,1606,0.782846715328467,117,1287,1644,2021/06/07,,0,115,2,115,2,115,4,115,10,115,9,115,3,115,2,115,0,115,2,113,4,113,8,113,10,113,9,113,13,113,16,113,13,113,0,113
AR,14,94,2,17,91,2,2,108,9427,110,6830,110,213,108,30,110,44,108,1,108,11,108,692,110,89,108,77,110,206,108,176,110,7,108,4,108,1009,110,0.72451469184258,110,6830,9427,0.03126834997064,108,213,6812,0.022683706070288,108,213,9390,0.089267803410231,108,89,997,0.685827552031714,110,692,1009,2021/06/07,,0,110,1,110,4,110,2,110,5,110,4,110,3,110,3,110,8,110,1,108,3,108,4,108,6,108,3,108,10,108,10,108,7,108,0,108
AZ,23,97,3,26,94,3,3,120,17020,123,12001,123,498,120,43,123,116,120,5,120,3,120,1086,123,123,120,79,123,492,120,297,123,6,120,6,120,2227,123,0.705111633372503,123,12001,17020,0.042232021709634,120,498,11792,0.029757992231849,120,498,16735,0.056918093475243,120,123,2161,0.487651549169286,123,1086,2227,2021/06/07,,0,123,7,123,2,123,6,123,7,123,5,123,9,123,7,123,0,123,1,120,8,120,11,120,17,120,19,120,27,120,19,120,14,120,0,120
CA,52,317,42,68,301,42,24,403,63295,411,47911,411,1217,402,151,411,316,403,3,402,8,402,4759,410,263,402,240,410,1184,402,954,410,33,402,23,402,6960,410,0.756947626194802,411,47911,63295,0.025732106988054,402,1217,47295,0.019479791916767,402,1217,62475,0.038744843842074,402,263,6788,0.683764367816092,410,4759,6960,2021/06/07,,2,410,21,410,23,410,17,410,27,410,30,410,17,410,14,410,0,410,0,402,18,402,38,402,37,402,47,402,62,402,62,402,50,402,2,402
CO,7,86,13,10,83,13,4,104,11654,106,8172,106,445,104,56,106,58,104,2,104,25,104,934,106,153,104,149,106,418,104,367,106,27,104,2,104,1299,106,0.701218465762828,106,8172,11654,0.055006180469716,104,445,8090,0.038538148436823,104,445,11547,0.12085308056872,104,153,1266,0.719014626635874,106,934,1299,2021/06/07,,0,105,3,105,5,105,9,105,14,105,8,106,8,105,8,105,1,106,1,103,8,103,8,103,7,103,5,103,15,104,9,103,5,103,0,104
CT,4,34,1,4,34,1,3,38,8164,39,6476,39,101,38,7,39,39,38,0,38,0,38,553,39,15,38,11,39,99,38,64,39,2,38,0,38,1052,39,0.793238608525233,39,6476,8164,0.015717398070339,38,101,6426,0.012506191183754,38,101,8076,0.014563106796117,38,15,1030,0.525665399239544,39,553,1052,2021/06/07,,0,39,1,39,0,39,0,39,3,39,0,39,2,39,1,39,0,39,0,38,2,38,5,38,0,38,6,38,8,38,8,38,10,38,0,38
DC,0,12,2,0,12,2,0,12,3486,14,2752,14,83,13,7,14,60,13,1,13,13,13,284,14,20,12,15,13,63,13,44,14,20,13,3,13,346,14,0.789443488238669,14,2752,3486,0.031062874251497,13,83,2672,0.024687685901249,13,83,3362,0.060606060606061,12,20,330,0.820809248554913,14,284,346,2021/06/07,,0,14,0,14,0,14,0,14,2,14,2,14,2,14,1,14,0,14,2,13,6,13,13,13,6,13,9,13,12,13,7,13,5,13,0,13
DE,1,13,2,1,13,2,0,15,3437,16,2597,16,46,15,2,16,42,15,0,15,0,15,149,16,5,15,5,16,43,15,25,16,3,15,1,15,190,16,0.755600814663951,16,2597,3437,0.017815646785438,15,46,2582,0.013501614323452,15,46,3407,0.027472527472527,15,5,182,0.78421052631579,16,149,190,2021/06/07,,0,16,1,16,1,16,0,16,0,16,0,16,0,16,0,16,0,16,1,15,2,15,1,15,1,15,8,15,6,15,9,15,14,15,0,15
FL,9,237,15,33,213,15,76,255,57965,261,45342,261,1870,255,258,261,143,255,4,255,10,255,4877,261,469,255,457,261,1841,255,1595,261,29,255,22,255,6376,261,0.782230656430605,261,45342,57965,0.041896312228346,255,1870,44634,0.032797811140732,255,1870,57016,0.075853145722141,255,469,6183,0.764899623588457,261,4877,6376,2021/06/07,,1,261,24,261,33,261,36,261,35,261,49,261,39,261,33,261,8,261,1,255,14,255,8,255,17,255,21,255,28,255,26,255,27,255,1,255
