state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,9,184,28418,186,23473,209,858,209,2632,180,167,182,120,173,829,190,412,183,14,190,7,183,3244,166,0.7274966570483496,186,20674,28418,0.0365526349422741,209,858,23473,0.024702653247941447,186,702,28418,0.04932182490752158,158,160,3244,0.7675709001233045,161,2490,3244,2020-09-16
PR,5,68,9725,68,5533,68,425,68,485,68,60,67,49,67,376,67,249,67,49,67,6,67,695,68,0.5689460154241646,68,5533,9725,0.07681185613591181,68,425,5533,0.043701799485861184,68,425,9725,0.08633093525179857,67,60,695,0.697841726618705,68,485,695,2020-09-16
RI,1,13,2177,13,1899,13,75,13,139,13,9,13,9,13,72,13,72,13,3,13,3,13,161,13,0.8723013321084061,13,1899,2177,0.03949447077409163,13,75,1899,0.034451079467156635,13,75,2177,0.055900621118012424,13,9,161,0.8633540372670807,13,139,161,2020-09-16
SC,3,76,10148,82,7954,82,831,82,909,78,212,78,189,78,822,80,660,80,9,80,0,80,1314,77,0.7837997635001971,82,7954,10148,0.10447573547900428,82,831,7954,0.0818880567599527,82,831,10148,0.1598173515981735,76,210,1314,0.6894977168949772,77,906,1314,2020-09-16
SD,4,55,2311,55,1450,58,158,58,93,40,25,37,25,35,126,49,113,47,27,49,27,47,94,33,0.6148853310255301,55,1421,2311,0.10896551724137932,58,158,1450,0.0683686715707486,55,158,2311,0.1595744680851064,29,15,94,0.6547619047619048,30,55,84,2020-09-16
TN,4,102,17973,117,11946,117,833,106,1513,117,215,101,196,101,763,104,624,104,68,104,68,104,2788,118,0.6814006888633755,114,11870,17420,0.08244111349036402,97,770,9340,0.05530814538141072,94,770,13922,0.08617065994115175,95,205,2379,0.5503478579274991,115,1503,2731,2020-09-16
TX,98,547,66952,564,47094,565,3986,567,5142,522,1191,532,1058,532,3916,554,3121,553,68,554,43,553,6706,514,0.7058664828082376,563,47094,66718,0.08439805267969132,564,3970,47039,0.05937485985918651,563,3972,66897,0.16419253261358524,506,1095,6669,0.7664277180406213,513,5132,6696,2020-09-16
UT,4,53,5311,53,3207,54,206,54,362,44,59,43,58,43,190,51,144,50,3,51,3,50,549,41,0.5938617962718885,53,3154,5311,0.06423448705955721,54,206,3207,0.03878742233101111,53,206,5311,0.10382513661202186,40,57,549,0.6338797814207651,40,348,549,2020-09-16
VA,17,93,16968,90,10995,91,1023,97,877,88,260,87,140,86,880,89,582,88,9,89,6,88,1490,84,0.6448019801980198,90,10941,16968,0.08895199706852328,90,971,10916,0.05469213429825602,89,922,16858,0.16711409395973154,83,249,1490,0.5724832214765101,84,853,1490,2020-09-16
VI,0,2,188,2,93,2,3,2,8,2,0,2,0,2,3,2,3,2,0,2,0,2,20,2,0.4946808510638298,2,93,188,0.03225806451612903,2,3,93,0.015957446808510637,2,3,188,0.0,2,0,20,0.4,2,8,20,2020-09-16
VT,0,16,1258,16,741,16,3,16,68,16,1,16,0,16,3,16,2,16,0,16,0,16,105,16,0.5890302066772655,16,741,1258,0.004048582995951417,16,3,741,0.0023847376788553257,16,3,1258,0.009523809523809525,16,1,105,0.6476190476190476,16,68,105,2020-09-16
