state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,1,23,0,1,23,0,0,24,1633,24,964,24,45,24,8,24,3,24,0,24,0,24,90,24,8,24,7,24,45,24,41,24,0,24,0,24,131,24,0.5903245560318432,24,964,1633,0.046680497925311204,24,45,964,0.027556644213104716,24,45,1633,0.061068702290076333,24,8,131,0.6870229007633588,24,90,131,2021-03-17
AL,25,77,15,28,73,16,5,112,15330,117,10161,117,540,112,76,114,71,112,1,112,1,112,1235,117,163,112,142,114,530,112,394,114,10,112,11,112,1617,117,0.6628180039138943,117,10161,15330,0.05518650996423097,112,540,9785,0.0363832367605444,112,540,14842,0.10316455696202531,112,163,1580,0.7637600494743352,117,1235,1617,2021-03-17
AR,14,93,2,16,91,2,0,107,9181,109,6187,109,248,107,18,109,40,107,0,107,14,107,687,109,79,107,68,109,239,107,180,109,9,107,2,107,1019,109,0.6738917329266965,109,6187,9181,0.040220564385338956,107,248,6166,0.02713051088502352,107,248,9141,0.07876370887337986,107,79,1003,0.6741903827281649,109,687,1019,2021-03-17
AZ,24,92,3,27,89,3,11,116,17068,119,11518,119,643,116,62,119,131,116,2,116,4,116,1121,119,108,116,90,119,629,116,427,119,14,116,6,116,2187,119,0.6748300913991094,119,11518,17068,0.056827220503756076,116,643,11315,0.03837202363191502,116,643,16757,0.05118483412322275,116,108,2110,0.5125743026977595,119,1121,2187,2021-03-17
CA,94,308,14,109,294,13,30,408,63669,416,47441,416,3149,407,356,416,444,408,7,407,8,407,5252,415,757,407,705,415,3087,407,2696,415,62,407,48,407,7266,415,0.7451192888218756,416,47441,63669,0.06711423699914748,407,3149,46920,0.050060409512908556,407,3149,62904,0.10686053077357426,407,757,7084,0.7228186072116708,415,5252,7266,2021-03-17
CO,5,87,13,4,88,13,5,103,11893,105,7853,105,412,103,54,105,38,103,2,103,8,103,852,105,122,103,121,105,400,103,329,105,12,103,4,103,1283,105,0.6603043807281594,105,7853,11893,0.05303127815677693,103,412,7769,0.03495672832173766,103,412,11786,0.0976,103,122,1250,0.6640685892439595,105,852,1283,2021-03-17
CT,4,33,1,4,33,1,19,37,8112,38,6421,38,480,37,74,38,40,37,3,37,0,37,602,38,98,37,94,38,474,37,417,38,6,37,5,37,1073,38,0.791543392504931,38,6421,8112,0.07545983335953467,37,480,6361,0.05985783763561541,37,480,8019,0.09315589353612168,37,98,1052,0.5610438024231128,38,602,1073,2021-03-17
DC,0,12,2,0,12,2,4,12,3479,14,2589,14,200,13,15,14,85,13,4,13,8,13,269,14,44,12,38,13,180,13,145,14,20,13,5,13,351,14,0.7441793618855993,14,2589,3479,0.07993605115907274,13,200,2502,0.05968367651447329,13,200,3351,0.13293051359516617,12,44,331,0.7663817663817664,14,269,351,2021-03-17
DE,2,12,2,2,12,2,1,15,3299,16,2388,16,117,15,6,16,41,15,2,15,0,15,157,16,8,15,7,16,113,15,96,16,4,15,4,15,193,16,0.7238557138526827,16,2388,3299,0.04949238578680203,15,117,2364,0.03581267217630854,15,117,3267,0.043010752688172046,15,8,186,0.8134715025906736,16,157,193,2021-03-17
FL,9,240,15,26,223,15,49,258,57768,264,43252,264,3382,258,438,264,205,258,6,258,16,258,4860,264,720,258,676,264,3340,258,2979,264,42,258,35,258,6442,264,0.7487190139869824,264,43252,57768,0.07937849129230624,258,3382,42606,0.059555884269286985,258,3382,56787,0.11551419862024707,258,720,6233,0.7544240918969264,264,4860,6442,2021-03-17
