state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
MI,2021/03/24,16437,16435,16439,77.94,77.94,77.94,21088,21088,21088,POINT (-85.730977 44.874798)
AL,2021/03/25,9999,9999,9999,72.08,72.08,72.08,13872,13872,13872,POINT (-86.844516 32.756889)
AZ,2021/03/25,9550,9550,9550,67.82,67.82,67.82,14081,14081,14081,POINT (-111.664616 34.293239)
CT,2021/03/25,6339,6339,6339,81.13,81.13,81.13,7813,7813,7813,POINT (-72.738288 41.575155)
DC,2021/03/25,2160,2160,2160,79.32,79.32,79.32,2723,2723,2723,POINT (-77.016275 38.904785)
GA,2021/03/25,15192,15172,15213,78.82,78.47,79.17,19275,19247,19303,POINT (-83.426574 32.638481)
ID,2021/03/25,1881,1881,1881,58.13,58.13,58.13,3236,3236,3236,POINT (-114.659366 44.389073)
IN,2021/03/25,10321,10321,10321,61.31,61.31,61.31,16834,16834,16834,POINT (-86.2818 39.919991)
KS,2021/03/25,4533,4526,4540,57.77,57.77,57.77,7846,7846,7846,POINT (-98.38018 38.484729)
LA,2021/03/25,8531,8531,8531,67.98,67.98,67.98,12550,12550,12550,POINT (-91.840238 30.921314)
MD,2021/03/25,8218,8218,8218,82.98,82.98,82.98,9903,9903,9903,POINT (-76.687282 38.946466)
MI,2021/03/25,16592,16589,16595,78.46,78.46,78.46,21148,21148,21148,POINT (-85.730977 44.874798)
AL,2021/03/26,9912,9912,9912,71.4,71.4,71.4,13882,13882,13882,POINT (-86.844516 32.756889)
AZ,2021/03/26,9558,9558,9558,68.19,68.19,68.19,14017,14017,14017,POINT (-111.664616 34.293239)
CT,2021/03/26,6377,6377,6377,81.33,81.33,81.33,7841,7841,7841,POINT (-72.738288 41.575155)
DC,2021/03/26,2160,2160,2160,78.77,78.77,78.77,2742,2742,2742,POINT (-77.016275 38.904785)
GA,2021/03/26,15093,15093,15093,78.46,78.34,78.58,19236,19223,19249,POINT (-83.426574 32.638481)
ID,2021/03/26,1784,1784,1784,55.28,55.28,55.28,3227,3227,3227,POINT (-114.659366 44.389073)
IN,2021/03/26,10549,10549,10549,62.62,62.62,62.62,16847,16847,16847,POINT (-86.2818 39.919991)
KS,2021/03/26,4473,4471,4475,56.97,56.97,56.97,7851,7851,7851,POINT (-98.38018 38.484729)
LA,2021/03/26,8494,8490,8498,67.93,67.93,67.93,12505,12505,12505,POINT (-91.840238 30.921314)
