state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,2,68,9667,69,5414,69,435,68,470,69,57,68,43,69,396,68,235,69,39,68,4,68,679,69,0.5600496534602255,69,5414,9667,0.08244882486732373,68,435,5276,0.04588607594936709,68,435,9480,0.08796296296296297,68,57,648,0.6921944035346097,69,470,679,2020-10-22
RI,7,14,2203,15,1935,14,159,14,135,15,16,14,16,15,158,14,158,15,1,14,1,14,177,15,0.8783477076713573,14,1935,2203,0.0839493136219641,13,159,1894,0.07507082152974505,14,159,2118,0.09876543209876543,14,16,162,0.7627118644067796,15,135,177,2020-10-22
SC,1,68,9609,76,7559,76,638,74,974,75,182,74,179,76,635,74,587,76,3,74,3,59,1346,74,0.786658341138516,76,7559,9609,0.08548840948680156,74,638,7463,0.06754181664196485,74,638,9446,0.1398923904688701,72,182,1301,0.7236255572065379,74,974,1346,2020-10-22
SD,67,60,2755,63,1765,63,364,60,170,61,80,59,80,62,362,60,366,63,3,60,3,53,218,62,0.6406533575317604,63,1765,2755,0.21077012159814706,60,364,1727,0.13668794592564776,60,364,2663,0.39603960396039606,58,80,202,0.7798165137614679,61,170,218,2020-10-22
TN,11,101,18583,124,12837,124,1253,101,1709,122,363,102,367,105,1246,101,1172,104,7,101,3,99,2345,123,0.694226502894865,123,12830,18481,0.11470157451482973,101,1253,10924,0.08137948951094369,101,1253,15397,0.18510963793982663,101,363,1961,0.7328473413379074,122,1709,2332,2020-10-22
TX,107,569,69428,584,49833,586,5533,577,5706,576,1570,576,1512,581,5450,577,5078,582,80,575,50,566,7528,569,0.7177651667914963,584,49833,69428,0.11298754339391465,577,5533,48970,0.08100076125783218,575,5533,68308,0.21410028692444322,564,1567,7319,0.7575717321997875,569,5703,7528,2020-10-22
UT,1,53,5598,54,3011,55,281,53,389,52,102,51,102,52,270,52,275,53,0,52,0,30,610,49,0.5287602715255448,54,2960,5598,0.09499661933739013,53,281,2958,0.051380508319619676,52,281,5469,0.16333333333333333,48,98,600,0.6114754098360655,49,373,610,2020-10-22
VA,18,94,18078,97,11268,97,686,94,1359,97,183,94,193,97,676,94,681,97,10,94,7,88,2081,97,0.6232990375041487,97,11268,18078,0.06164629762760604,94,686,11128,0.03850255374080934,94,686,17817,0.09081885856079404,94,183,2015,0.6530514175876982,97,1359,2081,2020-10-22
VI,0,2,168,2,104,2,6,2,14,2,1,2,1,2,3,2,3,2,3,2,0,2,20,2,0.6190476190476191,2,104,168,0.057692307692307696,2,6,104,0.03571428571428571,2,6,168,0.05,2,1,20,0.7,2,14,20,2020-10-22
VT,1,16,1300,17,817,17,2,16,64,17,1,16,1,17,2,16,3,17,0,16,0,16,109,17,0.6284615384615385,17,817,1300,0.002554278416347382,16,2,783,0.001597444089456869,16,2,1252,0.00980392156862745,16,1,102,0.5871559633027523,17,64,109,2020-10-22
WA,6,94,11262,90,8586,97,367,94,851,93,95,93,86,95,365,94,300,96,1,93,1,72,1102,82,0.6148996625821346,90,6925,11262,0.043176470588235295,94,367,8500,0.02464693712332464,87,274,11117,0.06412639405204461,80,69,1076,0.6107078039927405,82,673,1102,2020-10-22
WI,8,140,13302,143,8289,141,1423,138,1007,137,332,136,349,139,1418,138,1397,141,5,136,5,115,1626,141,0.6235143673837822,141,8289,13294,0.17778610694652675,138,1423,8004,0.11007967819292953,138,1423,12927,0.21460892049127342,135,332,1547,0.621221468229488,137,1007,1621,2020-10-22
WV,7,54,6229,58,4163,58,335,54,487,58,86,54,74,58,334,54,257,58,0,54,0,3,652,58,0.6683255739283994,58,4163,6229,0.08224895654308863,54,335,4073,0.05555555555555555,54,335,6030,0.14309484193011648,54,86,601,0.7469325153374233,58,487,652,2020-10-22
AK,0,23,1500,23,907,23,50,23,86,21,8,22,8,22,49,23,49,23,1,23,1,22,137,21,0.6046666666666667,23,907,1500,0.05512679162072767,23,50,907,0.03333333333333333,23,50,1500,0.058394160583941604,20,8,137,0.6277372262773723,21,86,137,2020-10-22
AL,6,103,14854,105,10294,105,1091,103,1250,105,306,103,289,105,1072,103,932,105,19,102,13,103,1554,105,0.6930119833041605,105,10294,14854,0.1071217784772772,100,1089,10166,0.07434462042599672,100,1089,14648,0.20184696569920843,100,306,1516,0.8043758043758044,105,1250,1554,2020-10-22
AR,16,84,8485,86,4938,87,606,85,694,85,196,84,206,86,591,85,587,87,12,84,1,72,1029,85,0.5804360636417207,86,4925,8485,0.12603993344425957,85,606,4808,0.07316189786309309,84,606,8283,0.19959266802443992,82,196,982,0.6724975704567542,83,692,1029,2020-10-22
AZ,8,86,14010,95,9421,97,794,94,1031,95,193,92,185,95,784,94,579,97,10,92,1,64,1967,95,0.6710206995003569,95,9401,14010,0.08604247941048981,94,794,9228,0.056938983544488134,92,782,13734,0.10152551288795371,91,193,1901,0.5241484494153533,95,1031,1967,2020-10-22
CA,12,373,74344,394,43643,394,2343,382,4907,390,615,380,627,388,2321,382,2295,390,19,377,19,335,7379,390,0.5870413214247283,394,43643,74344,0.05456323793111478,382,2343,42941,0.03199683172643596,382,2343,73226,0.0866929799830843,380,615,7094,0.6649952568098658,390,4907,7379,2020-10-22
CO,2,95,10853,97,6807,97,526,95,816,91,174,92,178,94,514,95,501,97,12,93,12,76,1250,93,0.6271998525753248,97,6807,10853,0.07837878110564744,95,526,6711,0.049035144961312574,95,526,10727,0.14238952536824878,90,174,1222,0.6528,91,816,1250,2020-10-22
CT,8,29,8190,30,6134,30,376,30,535,30,63,29,50,30,365,29,240,30,9,29,0,5,1068,30,0.748962148962149,30,6134,8190,0.061923583662714096,29,376,6072,0.046408294248333745,29,376,8102,0.06022944550669216,29,63,1046,0.5009363295880149,30,535,1068,2020-10-22
DC,5,12,3579,14,2802,14,116,13,264,14,26,12,26,13,112,13,113,14,4,13,4,13,395,14,0.7829002514668902,14,2802,3579,0.0427255985267035,13,116,2715,0.0336231884057971,13,116,3450,0.06933333333333333,12,26,375,0.6683544303797468,14,264,395,2020-10-22
DE,1,11,2823,12,2008,12,130,11,137,11,26,10,26,11,130,11,128,12,0,11,0,10,178,11,0.7113000354233086,12,2008,2823,0.06526104417670683,11,130,1992,0.04657828735220351,11,130,2791,0.1511627906976744,10,26,172,0.7696629213483146,11,137,178,2020-10-22
FL,58,251,79402,257,42097,257,2419,251,4495,257,583,251,537,257,2385,251,2354,257,34,251,31,250,6225,257,0.5301755623284048,257,42097,79402,0.05842430683025795,251,2419,41404,0.03086088997754644,251,2419,78384,0.09713428857047651,251,583,6002,0.7220883534136546,257,4495,6225,2020-10-22
GA,8,151,19545,155,15232,155,1668,151,2085,154,473,150,423,153,1606,150,1358,153,62,150,9,143,2510,154,0.7793297518546943,155,15232,19545,0.11127418278852569,150,1668,14990,0.08683429642355146,150,1668,19209,0.19353518821603927,149,473,2444,0.8306772908366534,154,2085,2510,2020-10-22
HI,0,22,2199,20,1547,22,76,23,134,21,14,22,12,22,75,23,64,23,1,23,1,19,210,21,0.6975898135516144,20,1534,2199,0.04524886877828054,22,70,1547,0.031832651205093224,20,70,2199,0.06666666666666667,21,14,210,0.638095238095238,21,134,210,2020-10-22
IA,3,120,8134,122,4793,122,587,120,481,122,137,120,127,122,584,120,555,122,3,120,2,120,706,122,0.5892549791000737,122,4793,8134,0.12452269834535426,120,587,4714,0.07303720293641906,120,587,8037,0.19941775836972345,120,137,687,0.6813031161473088,122,481,706,2020-10-22
ID,3,48,4059,49,2013,48,266,48,219,47,65,48,66,49,259,48,255,49,4,48,3,40,304,47,0.5011202389843167,48,2013,4017,0.1371841155234657,47,266,1939,0.06685096757979392,48,266,3979,0.2226027397260274,46,65,292,0.7203947368421053,47,219,304,2020-10-22
IL,13,183,30350,188,19632,192,2136,185,2088,181,523,179,504,184,2114,185,2059,190,18,183,14,162,3716,179,0.6338714991762767,188,19238,30350,0.11071373036852744,185,2136,19293,0.07008672939758229,181,2093,29863,0.13933753079660552,173,509,3653,0.5567567567567567,177,2060,3700,2020-10-22
