state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AL,3025,30,1338,26,389,31,132,25,103,28,167,25,0.7178111587982833,26,1338,1864,0.19805680119581465,26,265,1338,0.12859504132231406,30,389,3025,0.39520958083832336,23,66,167,0.7904191616766467,25,132,167,2020-08-02
AR,357,11,197,12,20,12,3,8,0,8,25,6,0.5434173669467787,11,194,357,0.10152284263959391,12,20,197,0.056022408963585436,11,20,357,0.0,6,0,25,0.04,6,1,25,2020-08-02
AZ,2511,18,690,8,278,18,42,4,107,11,10,3,0.7395498392282959,8,690,933,0.11159420289855072,8,77,690,0.11071286340103545,18,278,2511,0.0,3,0,10,0.0,3,0,10,2020-08-02
CA,4260,32,2840,31,608,45,356,30,113,29,500,30,0.6851628468033776,31,2840,4145,0.1482394366197183,31,421,2840,0.09929577464788733,32,423,4260,0.226,29,113,500,0.712,30,356,500,2020-08-02
CO,1298,15,834,12,140,15,54,11,15,10,96,9,0.6886870355078447,12,834,1211,0.16546762589928057,12,138,834,0.10785824345146379,15,140,1298,0.16279069767441862,8,14,86,0.5104166666666666,9,49,96,2020-08-02
DC,160,1,112,1,0,1,16,1,0,1,28,1,0.7,1,112,160,0.0,1,0,112,0.0,1,0,160,0.0,1,0,28,0.5714285714285714,1,16,28,2020-08-02
FL,53069,168,28275,159,6385,168,3092,158,1481,167,3691,158,0.5600229753015509,159,28275,50489,0.2020866489832007,159,5714,28275,0.12031506152367673,168,6385,53069,0.3627743159035492,158,1339,3691,0.8377133568138716,158,3092,3691,2020-08-02
HI,180,5,675,14,12,7,10,4,1,4,38,4,0.5333333333333333,5,96,180,0.07792207792207792,6,12,154,0.027777777777777776,5,5,180,0.02631578947368421,4,1,38,0.2631578947368421,4,10,38,2020-08-02
IA,8113,110,4889,110,268,110,476,110,75,110,617,108,0.6026130901023049,110,4889,8113,0.054816935978727756,110,268,4889,0.03303340318008135,110,268,8113,0.11507293354943274,108,71,617,0.7439222042139384,108,459,617,2020-08-02
ID,233,4,131,4,2,4,1,3,0,3,8,1,0.5622317596566524,4,131,233,0.015267175572519083,4,2,131,0.008583690987124463,4,2,233,0.0,1,0,8,0.125,1,1,8,2020-08-02
IL,3002,26,1606,20,199,27,134,17,35,18,212,13,0.6606769745089845,19,1581,2393,0.09339975093399751,20,150,1606,0.06628914057295136,26,199,3002,0.1650943396226415,12,35,212,0.6443298969072165,12,125,194,2020-08-02
IN,511,5,258,2,20,5,36,2,1,2,68,2,0.5431578947368421,2,258,475,0.07751937984496124,2,20,258,0.03913894324853229,5,20,511,0.014705882352941176,2,1,68,0.5294117647058824,2,36,68,2020-08-02
KS,796,17,430,11,26,19,27,10,3,7,42,7,0.7325383304940375,11,430,587,0.04883720930232558,11,21,430,0.028894472361809045,17,23,796,0.07894736842105263,6,3,38,0.6190476190476191,7,26,42,2020-08-02
KY,7426,59,4913,59,519,59,677,58,486,58,953,58,0.6615943980608672,59,4913,7426,0.10563810299206187,59,519,4913,0.06988957716132507,59,519,7426,0.5099685204616999,58,486,953,0.7103882476390346,58,677,953,2020-08-02
LA,8617,143,5786,138,384,7,759,58,238,51,1078,66,0.6776762707894121,138,5786,8538,0.07407407407407407,6,10,135,2.3132530120481927,7,384,166,0.2478813559322034,50,234,944,0.7485207100591716,58,759,1014,2020-08-02
MA,14864,64,10501,64,322,64,896,63,71,63,1755,63,0.7064720129171151,64,10501,14864,0.03066374630987525,64,322,10501,0.02166307857911733,64,322,14864,0.040455840455840456,63,71,1755,0.5105413105413106,63,896,1755,2020-08-02
MD,417,2,338,2,31,2,33,2,5,2,52,2,0.8105515587529976,2,338,417,0.09171597633136094,2,31,338,0.07434052757793765,2,31,417,0.09615384615384616,2,5,52,0.6346153846153846,2,33,52,2020-08-02
ME,284,3,126,3,6,3,18,3,3,2,45,3,0.44366197183098594,3,126,284,0.047619047619047616,3,6,126,0.02112676056338028,3,6,284,0.06666666666666667,2,3,45,0.4,3,18,45,2020-08-02
MI,1347,10,260,5,52,12,5,4,9,11,11,4,0.8172043010752689,3,76,93,0.007692307692307693,5,2,260,0.038604305864884926,10,52,1347,0.0,4,0,11,0.45454545454545453,3,5,11,2020-08-02
MN,48,4,27,4,76,4,1,4,1,4,5,4,0.5625,4,27,48,2.814814814814815,4,76,27,1.5833333333333333,4,76,48,0.2,4,1,5,0.2,4,1,5,2020-08-02
MO,390,6,522,6,31,8,20,5,8,6,24,4,0.9047619047619048,5,342,378,0.05747126436781609,6,30,522,0.07435897435897436,6,29,390,0.3333333333333333,4,8,24,0.8333333333333334,4,20,24,2020-08-02
MS,221,5,47,3,396,6,25,3,17,3,35,3,0.5662650602409639,3,47,83,0.5106382978723404,3,24,47,1.7918552036199096,5,396,221,0.4857142857142857,3,17,35,0.7142857142857143,3,25,35,2020-08-02
MT,1787,42,927,30,28,15,25,9,13,33,98,31,0.7427884615384616,30,927,1248,0.06388206388206388,13,26,407,0.053231939163498096,15,28,526,0.1326530612244898,29,13,98,0.7142857142857143,7,25,35,2020-08-02
NC,8303,46,6692,45,551,49,639,44,156,46,893,43,0.8130239339083951,45,6692,8231,0.07142857142857142,45,478,6692,0.05756955317355173,46,478,8303,0.1522956326987682,43,136,893,0.7155655095184771,43,639,893,2020-08-02
ND,417,19,434,17,13,20,17,13,5,14,25,14,1.2579710144927536,17,434,345,0.02534562211981567,17,11,434,0.02877697841726619,19,12,417,0.17391304347826086,13,4,23,0.7391304347826086,13,17,23,2020-08-02
NE,955,22,81,17,29,25,63,15,3,5,137,16,0.3092369477911647,16,77,249,0.11428571428571428,16,8,70,0.023504273504273504,21,22,936,0.02459016393442623,5,3,122,0.45985401459854014,15,63,137,2020-08-02
NJ,6563,29,4956,27,278,36,543,28,41,28,852,29,0.7389050858438614,26,4562,6174,0.04297820823244552,27,213,4956,0.026817004418710957,29,176,6563,0.04892601431980907,27,41,838,0.6373239436619719,28,543,852,2020-08-02
NV,5299,43,3707,42,755,43,431,42,157,41,521,42,0.6995659558407247,42,3707,5299,0.19179929862422443,42,711,3707,0.14247971315342517,43,755,5299,0.30134357005758156,41,157,521,0.8272552783109405,42,431,521,2020-08-02
NY,4984,12,3991,12,292,14,293,12,19,13,706,11,0.825938566552901,11,3872,4688,0.06965672763718367,12,278,3991,0.05517656500802568,12,275,4984,0.020289855072463767,10,14,690,0.40368271954674223,11,285,706,2020-08-02
OK,1768,22,1043,18,303,75,93,13,33,13,314,58,0.7590975254730713,17,1043,1374,0.10354745925215723,18,108,1043,0.04411764705882353,22,78,1768,0.1935483870967742,12,24,124,0.75,12,93,124,2020-08-02
