state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
HI,1,25,0,1,25,0,1,26,2641,26,1787,26,40,26,1,26,8,26,0,26,1,26,144,26,7,26,7,26,39,26,27,26,1,26,0,26,231,26,0.6766376372586141,26,1787,2641,0.02238388360380526,26,40,1787,0.015145778114350625,26,40,2641,0.030303030303030304,26,7,231,0.6233766233766234,26,144,231,2021-02-28
IA,2,49,75,3,49,74,2,124,8088,126,4983,126,186,124,33,126,6,124,1,124,0,124,438,126,43,124,39,126,181,124,170,126,5,124,5,124,678,126,0.6160979228486647,126,4983,8088,0.03780487804878049,124,186,4920,0.023273273273273273,124,186,7992,0.06525037936267071,124,43,659,0.6460176991150443,126,438,678,2021-02-28
PR,0,0,68,0,0,68,1,67,9363,68,5687,68,180,67,17,68,31,67,0,67,14,67,488,68,23,67,24,68,145,67,92,68,35,67,3,67,686,68,0.6073907935490761,68,5687,9363,0.032333393209987425,67,180,5567,0.019612115929396382,67,180,9178,0.035114503816793895,67,23,655,0.7113702623906706,68,488,686,2021-02-28
RI,3,10,2,3,10,2,4,14,2511,15,2370,15,193,14,7,15,0,14,1,14,0,14,137,15,21,14,21,15,192,14,152,15,1,14,1,14,184,15,0.9438470728793309,15,2370,2511,0.08293940696175334,14,193,2327,0.07926078028747434,14,193,2435,0.12574850299401197,14,21,167,0.7445652173913043,15,137,184,2021-02-28
SC,23,62,2,24,61,2,5,85,11545,87,9013,87,723,85,96,87,67,85,2,85,1,85,990,87,174,85,169,87,718,85,646,87,5,85,3,85,1347,87,0.7806842789086185,87,9013,11545,0.08119946091644205,85,723,8904,0.06359398363972205,85,723,11369,0.1331293037490436,85,174,1307,0.734966592427617,87,990,1347,2021-02-28
SD,1,61,3,2,60,3,7,62,2833,65,1692,65,74,62,8,65,14,62,0,62,4,62,123,65,16,62,13,65,72,62,56,65,2,62,1,62,239,65,0.5972467349099894,65,1692,2833,0.04468599033816425,62,74,1656,0.026792179580014484,62,74,2762,0.07017543859649122,62,16,228,0.5146443514644351,65,123,239,2021-02-28
TN,15,75,53,25,65,53,23,90,20428,143,13094,128,764,90,70,90,68,90,2,90,0,90,1648,140,216,90,206,90,748,90,667,90,16,90,14,90,2396,143,0.6832246282285416,128,13094,19165,0.06837912825561622,90,764,11173,0.048541838744519984,90,764,15739,0.10521188504627374,90,216,2053,0.7045746045318512,140,1648,2339,2021-02-28
TX,109,481,5,143,447,5,94,590,70058,595,51755,595,5803,590,500,595,477,590,15,590,42,590,6359,595,1607,590,1538,595,5695,590,5105,595,108,590,81,590,7873,595,0.7387450398241457,595,51755,70058,0.11348169586983729,590,5803,51136,0.08377001140415458,590,5803,69273,0.20883690708252112,590,1607,7695,0.807697192937889,595,6359,7873,2021-02-28
UT,0,58,1,0,58,1,1,58,6194,59,3779,59,222,58,27,59,14,58,1,58,0,58,375,59,84,58,81,59,219,58,191,59,3,58,1,58,625,59,0.6101065547303842,59,3779,6194,0.05929487179487179,58,222,3744,0.036256736893679566,58,222,6123,0.13838550247116968,58,84,607,0.6,59,375,625,2021-02-28
VA,16,80,9,20,76,9,41,102,18272,105,13299,105,1258,102,132,105,204,102,3,102,4,102,1353,105,237,102,230,105,1236,102,1042,105,22,102,16,102,1990,105,0.727834938704028,105,13299,18272,0.09582571602681292,102,1258,13128,0.06985008328706274,102,1258,18010,0.12350182386659718,102,237,1919,0.6798994974874372,105,1353,1990,2021-02-28
