state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,5,192,29291,190,25375,212,997,216,2879,180,207,185,143,177,940,196,493,187,46,196,26,187,3341,167,0.7697927691099655,190,22548,29291,0.03929064039408867,212,997,25375,0.027107302584411595,190,794,29291,0.05716851242143071,159,191,3341,0.8141275067345106,162,2720,3341,2020-09-22
PR,3,69,9664,69,5569,69,393,69,486,69,66,68,47,68,364,68,226,68,29,68,5,68,701,69,0.5762624172185431,69,5569,9664,0.07056922248159454,69,393,5569,0.040666390728476824,69,393,9664,0.09415121255349501,68,66,701,0.6932952924393724,69,486,701,2020-09-22
RI,3,14,2218,14,1969,14,94,14,138,14,7,14,6,14,94,14,92,14,0,14,0,14,160,14,0.887736699729486,14,1969,2218,0.047739969527679026,14,94,1969,0.04238052299368801,14,94,2218,0.04375,14,7,160,0.8625,14,138,160,2020-09-22
SC,7,76,10234,82,8270,82,733,82,944,78,188,78,163,78,732,80,579,80,1,80,1,80,1322,77,0.8080906781317178,82,8270,10234,0.08863361547762999,82,733,8270,0.07162399843658393,82,733,10234,0.1422087745839637,76,188,1322,0.7125567322239031,77,942,1322,2020-09-22
SD,1,57,2101,55,1581,59,203,59,83,48,30,47,29,46,170,55,155,55,31,55,31,55,89,42,0.6306520704426464,55,1325,2101,0.1283997469955724,59,203,1581,0.07996192289386006,55,168,2101,0.1797752808988764,37,16,89,0.5949367088607594,40,47,79,2020-09-22
TN,7,110,17871,116,12730,115,1003,113,1572,114,269,108,246,108,938,111,805,111,65,111,62,111,2156,117,0.7369156430110031,112,12658,17177,0.07616807268007787,103,939,12328,0.056769351812624824,101,938,16523,0.12851600387972842,102,265,2062,0.7540983606557377,112,1564,2074,2020-09-22
TX,109,548,66822,569,47765,569,3890,572,5003,522,1113,528,1003,528,3832,555,3156,549,41,555,31,549,6307,497,0.7171562443683547,568,47754,66588,0.08109128273953069,568,3867,47687,0.05802768788205681,568,3873,66744,0.15526063319475536,488,971,6254,0.7687879756955548,495,4808,6254,2020-09-22
UT,5,54,5369,53,3312,54,225,54,369,44,75,43,71,43,206,51,184,50,6,51,6,50,558,41,0.6064444030545726,53,3256,5369,0.06793478260869565,54,225,3312,0.041907245297075804,53,225,5369,0.12544802867383512,40,70,558,0.6362007168458781,40,355,558,2020-09-22
VA,21,98,17548,92,11987,94,1043,98,1334,96,229,94,158,94,1030,95,606,95,11,95,7,95,1830,94,0.6772851607020743,92,11885,17548,0.08674840443399395,93,1033,11908,0.05682991168712008,91,991,17438,0.12363238512035012,92,226,1828,0.7256830601092896,94,1328,1830,2020-09-22
VI,0,2,188,2,99,2,4,2,9,2,1,2,1,2,4,2,4,2,0,2,0,2,20,2,0.526595744680851,2,99,188,0.04040404040404041,2,4,99,0.02127659574468085,2,4,188,0.05,2,1,20,0.45,2,9,20,2020-09-22
