state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-02-06,"504,911","504,682","505,140",71.64,71.61,71.67,"704,379","704,052","704,706"
CW,2021-02-07,"490,730","490,226","491,233",70.03,69.84,70.22,"700,324","699,759","700,889"
CW,2021-02-08,"493,215","492,982","493,448",70.27,70.24,70.31,"701,398","701,072","701,724"
CW,2021-02-09,"515,558","515,351","515,765",73.00,72.97,73.04,"705,778","705,477","706,079"
CW,2021-02-10,"523,846","523,625","524,068",74.00,73.95,74.05,"707,460","707,138","707,781"
CW,2021-02-11,"521,378","521,115","521,640",73.72,73.65,73.78,"706,861","706,547","707,175"
CW,2021-02-12,"513,991","513,775","514,207",72.89,72.84,72.94,"704,776","704,461","705,092"
CW,2021-02-13,"495,381","494,863","495,900",70.62,70.40,70.83,"701,083","700,456","701,709"
CW,2021-02-14,"480,583","479,214","481,953",68.80,68.16,69.45,"698,036","696,145","699,928"
CW,2021-02-15,"481,308","481,064","481,553",68.98,68.90,69.06,"697,312","696,974","697,650"
CW,2021-02-16,"500,331","500,109","500,553",71.40,71.35,71.46,"700,282","699,982","700,581"
CW,2021-02-17,"510,868","510,651","511,085",72.62,72.55,72.69,"703,433","703,136","703,731"
CW,2021-02-18,"510,625","510,404","510,847",72.52,72.44,72.60,"704,093","703,787","704,398"
CW,2021-02-19,"509,568","509,344","509,792",72.39,72.32,72.46,"703,913","703,633","704,193"
CW,2021-02-20,"492,209","491,872","492,545",70.22,70.08,70.36,"700,920","700,473","701,368"
CW,2021-02-21,"479,873","479,645","480,102",68.72,68.64,68.80,"698,298","697,987","698,609"
CW,2021-02-22,"487,532","487,360","487,704",69.46,69.38,69.54,"701,926","701,700","702,153"
CW,2021-02-23,"512,962","512,781","513,143",72.62,72.53,72.70,"706,402","706,170","706,633"
CW,2021-02-24,"521,357","520,504","522,209",73.73,73.35,74.11,"707,088","706,050","708,126"
CW,2021-02-25,"521,079","520,416","521,743",73.77,73.48,74.06,"706,317","705,531","707,102"
CW,2021-02-26,"515,114","514,318","515,910",73.01,72.65,73.37,"705,525","704,505","706,546"
CW,2021-02-27,"496,622","495,762","497,481",70.65,70.26,71.03,"702,958","701,883","704,033"
CW,2021-02-28,"481,554","480,645","482,463",68.84,68.43,69.25,"699,484","698,373","700,596"
CW,2021-03-01,"485,956","485,095","486,818",69.44,69.06,69.83,"699,765","698,721","700,809"
CW,2021-03-02,"507,360","506,565","508,155",72.18,71.83,72.53,"702,905","701,967","703,843"
CW,2021-03-03,"513,754","513,148","514,360",72.85,72.59,73.12,"705,172","704,451","705,892"
CW,2021-03-04,"510,375","510,057","510,692",72.64,72.49,72.78,"702,640","702,242","703,038"
CW,2021-03-05,"505,212","504,257","506,168",72.05,71.63,72.48,"701,183","700,031","702,336"
CW,2021-03-06,"486,199","484,886","487,512",69.70,69.11,70.29,"697,566","695,978","699,155"
CW,2021-03-07,"472,039","470,672","473,406",67.96,67.34,68.57,"694,592","692,947","696,238"
CW,2021-03-08,"475,204","472,669","477,739",68.64,67.47,69.80,"692,336","689,188","695,484"
AL,2021-02-06,"10,144","10,144","10,144",73.35,73.35,73.35,"13,830","13,830","13,830"
CT,2021-02-06,"6,168","6,168","6,168",79.10,79.10,79.10,"7,798","7,798","7,798"
DC,2021-02-06,"2,385","2,385","2,385",79.71,79.71,79.71,"2,992","2,992","2,992"
ID,2021-02-06,"1,659","1,654","1,664",51.68,51.68,51.68,"3,210","3,210","3,210"
AL,2021-02-07,"9,923","9,923","9,923",71.85,71.85,71.85,"13,810","13,810","13,810"
CT,2021-02-07,"5,938","5,938","5,938",76.29,76.29,76.29,"7,783","7,783","7,783"
DC,2021-02-07,"2,334","2,334","2,334",79.12,79.12,79.12,"2,950","2,950","2,950"
ID,2021-02-07,"1,611","1,606","1,616",50.41,50.41,50.41,"3,196","3,196","3,196"
AL,2021-02-08,"10,095","10,095","10,095",72.90,72.90,72.90,"13,848","13,848","13,848"
CT,2021-02-08,"6,010","6,010","6,010",77.25,77.25,77.25,"7,780","7,780","7,780"
DC,2021-02-08,"2,319","2,319","2,319",77.84,77.84,77.84,"2,979","2,979","2,979"
ID,2021-02-08,"1,636","1,636","1,636",51.25,51.25,51.25,"3,192","3,192","3,192"
AL,2021-02-09,"10,630","10,630","10,630",76.50,76.50,76.50,"13,895","13,895","13,895"
CT,2021-02-09,"6,234","6,234","6,234",80.07,80.07,80.07,"7,786","7,786","7,786"
DC,2021-02-09,"2,375","2,375","2,375",79.30,79.30,79.30,"2,995","2,995","2,995"
ID,2021-02-09,"1,800","1,794","1,807",55.78,55.78,55.78,"3,228","3,228","3,228"
AL,2021-02-10,"10,792","10,792","10,792",77.61,77.61,77.61,"13,905","13,905","13,905"
CT,2021-02-10,"6,365","6,365","6,365",81.74,81.74,81.74,"7,787","7,787","7,787"
DC,2021-02-10,"2,434","2,434","2,434",81.05,81.05,81.05,"3,003","3,003","3,003"
ID,2021-02-10,"1,864","1,862","1,866",57.71,57.12,58.30,"3,230","3,218","3,242"
AL,2021-02-11,"10,889","10,886","10,892",78.20,78.20,78.20,"13,925","13,925","13,925"
