state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,27837,180,22055,196,1053,206,2538,161,242,177,3319,157,0.7510507597801487,180,20907,27837,0.04293810927227386,196,947,22055,0.03304953838416496,180,920,27837,0.06549954723815272,150,217,3313,0.7858539765319427,146,2411,3068,2020-08-24
PR,8514,65,5324,68,603,68,488,66,72,64,637,62,0.5845665961945031,65,4977,8514,0.11326070623591285,68,603,5324,0.06859290580220813,65,584,8514,0.1060126582278481,61,67,632,0.7142857142857143,61,455,637,2020-08-24
RI,1788,13,1984,13,86,13,133,13,9,13,153,13,1.109619686800895,13,1984,1788,0.04334677419354839,13,86,1984,0.04809843400447427,13,86,1788,0.058823529411764705,13,9,153,0.869281045751634,13,133,153,2020-08-24
SC,10256,81,8481,81,993,81,981,76,241,77,1335,75,0.8269305772230889,81,8481,10256,0.11708524938096923,81,993,8481,0.0968213728549142,81,993,10256,0.17752808988764046,75,237,1335,0.7318352059925094,75,977,1335,2020-08-24
SD,2225,50,1398,52,87,52,75,37,17,32,94,28,0.6215730337078652,50,1383,2225,0.06223175965665236,52,87,1398,0.03910112359550562,50,87,2225,0.09195402298850575,23,8,87,0.5357142857142857,27,45,84,2020-08-24
TN,17981,113,11546,109,1092,116,1494,109,327,110,1999,113,0.6952071290944123,107,11546,16608,0.07745371987425777,104,887,11452,0.05855960843724508,105,1005,17162,0.1631279129984464,105,315,1931,0.8007621121393577,107,1471,1837,2020-08-24
TX,63632,540,45570,550,5783,554,5236,489,1862,498,6353,459,0.7010309278350515,540,44608,63632,0.12642089093701997,550,5761,45570,0.08924754840331908,540,5679,63632,0.2550825921219822,449,1606,6296,0.7862427199748151,459,4995,6353,2020-08-24
UT,5328,52,3129,53,176,53,326,44,44,43,540,41,0.5722597597597597,52,3049,5328,0.05624800255672739,53,176,3129,0.03228228228228228,52,172,5328,0.08148148148148149,40,44,540,0.5981481481481481,40,323,540,2020-08-24
VA,15046,80,9753,80,1016,87,804,76,212,77,1243,73,0.6482121494084807,80,9753,15046,0.10017430534194607,80,977,9753,0.0649342017812043,80,977,15046,0.16246953696181965,72,200,1231,0.6387771520514883,73,794,1243,2020-08-24
VI,188,2,104,2,10,2,13,2,4,2,20,2,0.5531914893617021,2,104,188,0.09615384615384616,2,10,104,0.05319148936170213,2,10,188,0.2,2,4,20,0.65,2,13,20,2020-08-24
VT,591,11,391,11,14,14,36,8,10,10,48,7,0.6615905245346869,11,391,591,0.020460358056265986,11,8,391,0.01353637901861252,11,8,591,0.14583333333333334,7,7,48,0.75,7,36,48,2020-08-24
WA,9947,82,9143,96,467,96,916,79,114,81,926,66,0.6360711772393687,82,6327,9947,0.051494100782886756,95,467,9069,0.03474121341031095,81,343,9873,0.08315334773218143,61,77,926,0.6997816593886463,61,641,916,2020-08-24
WI,12239,129,7571,128,494,135,842,122,123,130,1480,128,0.6196088059579343,128,7571,12219,0.06168273675868445,128,467,7571,0.03815671214968543,129,467,12239,0.0831081081081081,128,123,1480,0.5712347354138398,122,842,1474,2020-08-24
IA,8278,119,5176,119,354,119,482,119,97,118,807,118,0.6252718047837642,119,5176,8278,0.06839258114374035,119,354,5176,0.04276395264556656,119,354,8278,0.12019826517967781,117,97,807,0.59727385377943,118,482,807,2020-08-24
