state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
PA,25,192,6,34,183,6,20,217,29597,223,24829,223,2147,217,222,223,345,217,6,216,19,216,2846,223,499,217,474,223,2088,217,1846,223,59,217,29,217,3658,223,0.838902591478866,223,24829,29597,0.087283518985283,217,2147,24598,0.073469527427027,217,2147,29223,0.140444694624261,217,499,3553,0.778020776380536,223,2846,3658,2021/08/29,,1,220,13,220,26,220,22,220,31,221,33,220,59,220,33,219,7,214,7,213,29,213,28,213,24,213,46,213,66,212,72,212,66,213,7,208,34,217
PR,0,8,57,0,8,57,10,64,9327,65,5844,65,471,64,25,65,11,64,1,64,10,64,479,65,108,64,72,65,451,64,421,65,20,64,6,64,651,65,0.626568028304921,65,5844,9327,0.082515767344078,64,471,5708,0.051509186351706,64,471,9144,0.173633440514469,64,108,622,0.7357910906298,65,479,651,2021/08/29,,0,65,0,65,2,65,5,65,3,65,6,65,5,65,4,65,0,65,0,64,0,64,2,64,2,64,2,64,0,64,2,64,3,64,0,64,13,64
RI,6,7,2,6,7,2,2,14,2432,15,2085,15,140,14,12,15,4,14,0,14,0,14,136,15,17,14,16,15,135,14,136,15,5,14,2,14,165,15,0.857319078947368,15,2085,2432,0.068627450980392,14,140,2040,0.058873002523129,14,140,2378,0.114864864864865,14,17,148,0.824242424242424,15,136,165,2021/08/29,,0,15,2,15,2,15,0,15,1,15,3,15,1,15,3,15,0,15,0,14,0,14,0,14,1,14,0,14,1,14,2,14,0,14,0,14,0,14
SC,25,58,5,26,57,5,9,86,11788,88,9824,88,2432,86,325,88,57,86,6,86,5,86,1144,88,547,86,550,88,2379,86,2344,88,53,86,41,86,1355,88,0.833389888021717,88,9824,11788,0.250850954100052,86,2432,9695,0.209600965267603,86,2432,11603,0.417557251908397,86,547,1310,0.844280442804428,88,1144,1355,2021/08/29,,0,88,18,88,32,88,50,88,72,88,61,88,59,88,31,88,2,83,0,86,2,86,6,86,2,86,11,86,8,86,14,86,12,86,2,81,49,86
SD,1,61,3,1,61,3,27,62,2853,65,1792,65,230,62,41,65,12,62,1,62,1,62,154,65,66,62,65,65,226,62,217,65,4,62,2,62,244,65,0.628110760602874,65,1792,2853,0.130830489192264,62,230,1758,0.082555635319454,62,230,2786,0.283261802575107,62,66,233,0.631147540983607,65,154,244,2021/08/29,,0,65,3,64,3,64,4,63,8,64,6,64,10,64,7,64,0,65,1,62,2,61,2,61,2,61,2,61,1,61,1,61,1,61,0,62,3,62
TN,22,77,44,38,61,44,29,100,20190,143,13640,131,3494,100,416,100,76,100,18,100,2,100,1838,141,920,100,898,100,3411,100,3263,100,83,100,81,100,2414,143,0.710379667725639,131,13640,19201,0.283419857235561,100,3494,12328,0.204279700654818,100,3494,17104,0.411081322609473,100,920,2238,0.771296684851028,141,1838,2383,2021/08/29,,6,100,15,100,42,100,47,100,88,100,83,100,68,100,40,100,27,100,1,100,4,100,5,100,7,100,13,100,16,100,18,100,1,100,11,100,77,100
TX,24,115,457,28,111,457,80,591,69218,596,55122,596,14486,591,1735,596,682,591,74,591,169,591,7460,596,3827,591,3828,596,14124,591,13687,596,362,591,284,591,7930,596,0.796353549654714,596,55122,69218,0.265929910230756,591,14486,54473,0.211718624398942,591,14486,68421,0.495212215320911,591,3827,7728,0.940731399747793,596,7460,7930,2021/08/29,,13,596,114,596,233,596,258,596,292,596,312,596,259,596,150,596,104,596,5,591,67,591,65,591,63,591,105,591,119,591,99,591,81,591,78,591,243,591
UT,0,50,9,1,49,9,0,58,5972,59,3868,59,466,58,37,59,8,58,0,58,1,58,461,59,172,58,177,59,459,58,439,59,7,58,0,58,627,59,0.647689216342934,59,3868,5972,0.122213480199318,58,466,3813,0.078902810700982,58,466,5906,0.278768233387358,58,172,617,0.73524720893142,59,461,627,2021/08/29,,0,59,3,59,3,59,9,59,9,59,6,59,4,59,3,59,0,59,0,58,0,58,0,58,2,58,1,58,2,58,1,58,2,58,0,58,0,58
VA,19,65,20,20,64,20,41,101,18037,104,13822,104,1833,101,209,104,237,101,3,101,22,101,1465,104,417,101,411,104,1790,101,1550,104,43,101,28,101,1957,104,0.766313688529134,104,13822,18037,0.134226713532513,101,1833,13656,0.103116561656166,101,1833,17776,0.220518244315177,101,417,1891,0.748594787940726,104,1465,1957,2021/08/29,,4,104,14,104,19,104,28,104,42,104,39,104,35,104,24,104,4,104,1,101,20,101,17,101,20,101,36,101,45,101,56,101,39,101,3,101,17,101
VI,2,0,0,2,0,0,0,2,168,2,88,2,14,2,0,2,0,2,0,2,0,2,12,2,5,2,5,2,14,2,14,2,0,2,0,2,20,2,0.523809523809524,2,88,168,0.159090909090909,2,14,88,0.083333333333333,2,14,168,0.25,2,5,20,0.6,2,12,20,2021/08/29,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,2
VT,2,14,1,2,14,1,1,16,1268,17,933,17,29,16,8,17,9,16,0,16,0,16,76,17,9,16,8,17,29,16,28,17,0,16,0,16,103,17,0.735804416403786,17,933,1268,0.032008830022075,16,29,906,0.023538961038961,16,29,1232,0.092783505154639,16,9,97,0.737864077669903,17,76,103,2021/08/29,,0,17,3,17,1,17,2,17,1,17,0,17,0,17,1,17,0,17,0,16,2,16,1,16,1,16,0,16,1,16,2,16,2,16,0,16,1,16
WA,17,84,2,18,83,2,19,101,13184,103,9961,103,1844,101,179,103,155,101,4,101,7,101,1027,103,463,101,449,103,1809,101,1623,103,35,101,26,101,1278,103,0.755537014563107,103,9961,13184,0.186999290132847,101,1844,9861,0.141324340895156,101,1844,13048,0.367752184273233,101,463,1259,0.803599374021909,103,1027,1278,2021/08/29,,0,103,9,103,26,103,20,102,28,102,44,102,23,102,23,102,6,103,3,101,15,101,17,101,15,100,18,100,22,100,34,100,18,100,13,101,16,101
WI,33,92,22,39,86,22,7,144,13352,147,9572,147,1023,144,196,147,57,144,4,144,9,144,1026,147,279,144,282,147,1005,144,984,147,18,144,8,144,1551,147,0.716896345116836,147,9572,13352,0.109213195259955,144,1023,9367,0.078133353700451,144,1023,13093,0.186124082721815,144,279,1499,0.661508704061896,147,1026,1551,2021/08/29,,0,147,8,147,10,147,18,147,31,147,21,147,23,147,26,147,59,147,0,144,3,144,4,144,3,144,7,144,9,144,12,144,16,144,3,144,11,144
