state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/06/24,16332,16309,16355,2.37,2.33,2.4,693178,692341,694015,
CW,2021/06/25,16423,16385,16460,2.39,2.31,2.46,691385,690320,692449,
CW,2021/06/26,16272,16227,16317,2.38,2.29,2.47,686910,685692,688129,
CW,2021/06/27,15985,15921,16048,2.35,2.22,2.47,684436,683215,685658,
CW,2021/06/28,16371,16316,16426,2.4,2.29,2.51,684789,683898,685680,
CW,2021/06/29,16794,16772,16816,2.44,2.39,2.49,690722,689797,691646,
CW,2021/06/30,16825,16801,16848,2.44,2.39,2.48,693021,692312,693730,
CW,2021/07/01,16867,16838,16897,2.45,2.39,2.5,692737,691993,693482,
CW,2021/07/02,16725,16693,16757,2.43,2.37,2.49,690908,690111,691705,
CW,2021/07/03,16613,16590,16637,2.43,2.38,2.48,686205,685416,686994,
CW,2021/07/04,16780,16764,16796,2.47,2.43,2.5,683628,682839,684416,
CW,2021/07/05,17339,17317,17362,2.55,2.5,2.6,682292,681437,683148,
CW,2021/07/06,18096,18059,18133,2.65,2.58,2.73,684762,683855,685670,
CW,2021/07/07,18840,18822,18858,2.74,2.7,2.77,691099,690356,691843,
CW,2021/07/08,19142,19124,19160,2.77,2.73,2.82,693204,692478,693931,
CW,2021/07/09,19385,19366,19403,2.81,2.77,2.85,692528,691856,693199,
CW,2021/07/10,19760,19745,19776,2.88,2.84,2.92,688594,687864,689325,
CW,2021/07/11,20269,20250,20287,2.97,2.92,3.01,685719,684985,686453,
CW,2021/07/12,21432,21417,21447,3.13,3.08,3.18,688000,687149,688851,
CW,2021/07/13,22333,22316,22350,3.23,3.18,3.28,694362,693500,695224,
CW,2021/07/14,23146,23137,23156,3.35,3.31,3.38,694514,693899,695128,
CW,2021/07/15,23856,23845,23866,3.45,3.42,3.47,695105,694754,695457,
CW,2021/07/16,24656,24645,24666,3.56,3.54,3.59,694471,694186,694756,
CW,2021/07/17,25335,25302,25369,3.68,3.62,3.74,691406,690755,692057,
CW,2021/07/18,26331,26305,26358,3.84,3.78,3.89,688847,688159,689536,
CW,2021/07/19,28179,28151,28206,4.11,4.05,4.16,688863,688235,689491,
CW,2021/07/20,29971,29941,30001,4.35,4.29,4.41,692158,691430,692887,
CW,2021/07/21,31148,31118,31179,4.49,4.42,4.55,696599,695782,697416,
CW,2021/07/22,32542,32507,32577,4.7,4.61,4.79,695002,693785,696218,
CW,2021/07/23,33658,33502,33814,4.85,4.57,5.13,697092,694044,700140,
CW,2021/07/24,34355,34053,34657,4.99,4.43,5.54,692017,685843,698191,
AL,2021/06/24,239,236,242,1.73,1.73,1.73,13810,13810,13810,POINT (-86.844516 32.756889)
AR,2021/06/24,282,282,282,3.61,3.61,3.61,7805,7805,7805,POINT (-92.439162 34.899825)
CT,2021/06/24,61,61,61,0.78,0.78,0.78,7777,7777,7777,POINT (-72.738288 41.575155)
DC,2021/06/24,54,54,54,1.97,1.97,1.97,2748,2748,2748,POINT (-77.016275 38.904785)
ID,2021/06/24,96,96,96,2.92,2.92,2.92,3289,3289,3289,POINT (-114.659366 44.389073)
IN,2021/06/24,370,370,370,2.19,2.19,2.19,16888,16888,16888,POINT (-86.2818 39.919991)
KS,2021/06/24,148,142,154,1.85,1.85,1.85,7998,7998,7998,POINT (-98.38018 38.484729)
LA,2021/06/24,250,239,261,2.06,2.06,2.06,12505,12505,12505,POINT (-91.840238 30.921314)
MD,2021/06/24,311,311,311,3.22,3.22,3.22,9656,9656,9656,POINT (-76.687282 38.946466)
MI,2021/06/24,362,359,365,1.73,1.73,1.73,20867,20867,20867,POINT (-85.730977 44.874798)
AL,2021/06/25,225,225,225,1.63,1.63,1.63,13783,13783,13783,POINT (-86.844516 32.756889)
AR,2021/06/25,300,298,302,3.87,3.87,3.87,7751,7751,7751,POINT (-92.439162 34.899825)
CT,2021/06/25,75,73,77,0.96,0.96,0.96,7789,7789,7789,POINT (-72.738288 41.575155)
DC,2021/06/25,50,50,50,1.82,1.82,1.82,2747,2747,2747,POINT (-77.016275 38.904785)
ID,2021/06/25,95,95,95,2.89,2.89,2.89,3290,3290,3290,POINT (-114.659366 44.389073)
IN,2021/06/25,379,379,379,2.25,2.25,2.25,16857,16857,16857,POINT (-86.2818 39.919991)
KS,2021/06/25,148,142,153,1.85,0.8,2.89,7978,7975,7981,POINT (-98.38018 38.484729)
LA,2021/06/25,237,229,245,1.95,1.95,1.95,12507,12507,12507,POINT (-91.840238 30.921314)
MD,2021/06/25,347,347,347,3.58,3.58,3.58,9706,9706,9706,POINT (-76.687282 38.946466)
MI,2021/06/25,352,350,354,1.69,1.69,1.69,20814,20814,20814,POINT (-85.730977 44.874798)
AL,2021/06/26,270,270,270,1.96,1.96,1.96,13765,13765,13765,POINT (-86.844516 32.756889)
AR,2021/06/26,332,331,333,4.33,4.33,4.33,7663,7663,7663,POINT (-92.439162 34.899825)
CT,2021/06/26,76,74,77,0.97,0.97,0.97,7783,7783,7783,POINT (-72.738288 41.575155)
DC,2021/06/26,50,50,50,1.82,1.82,1.82,2742,2742,2742,POINT (-77.016275 38.904785)
ID,2021/06/26,83,83,83,2.54,2.54,2.54,3271,3271,3271,POINT (-114.659366 44.389073)
IN,2021/06/26,390,390,391,2.32,2.32,2.32,16838,16838,16838,POINT (-86.2818 39.919991)
KS,2021/06/26,143,137,149,1.79,1.79,1.79,8001,8001,8001,POINT (-98.38018 38.484729)
LA,2021/06/26,236,227,244,1.95,1.95,1.95,12448,12448,12448,POINT (-91.840238 30.921314)
MD,2021/06/26,314,313,316,3.26,3.26,3.26,9634,9634,9634,POINT (-76.687282 38.946466)
MI,2021/06/26,325,325,325,1.58,1.58,1.58,20533,20533,20533,POINT (-85.730977 44.874798)
AL,2021/06/27,264,262,267,1.92,1.92,1.92,13794,13794,13794,POINT (-86.844516 32.756889)
AR,2021/06/27,330,330,330,4.34,4.34,4.34,7608,7608,7608,POINT (-92.439162 34.899825)
CT,2021/06/27,76,75,76,0.97,0.97,0.97,7774,7774,7774,POINT (-72.738288 41.575155)
DC,2021/06/27,58,58,58,2.14,2.14,2.14,2713,2713,2713,POINT (-77.016275 38.904785)
ID,2021/06/27,98,98,98,3,3,3,3264,3264,3264,POINT (-114.659366 44.389073)
IN,2021/06/27,393,389,397,2.34,1.63,3.06,16775,16430,17120,POINT (-86.2818 39.919991)
KS,2021/06/27,148,143,153,1.86,1.86,1.86,7961,7961,7961,POINT (-98.38018 38.484729)
LA,2021/06/27,237,228,247,1.94,1.94,1.94,12408,12408,12408,POINT (-91.840238 30.921314)
MD,2021/06/27,319,319,319,3.31,3.31,3.31,9634,9634,9634,POINT (-76.687282 38.946466)
MI,2021/06/27,320,318,321,1.57,1.57,1.57,20403,20403,20403,POINT (-85.730977 44.874798)
AL,2021/06/28,257,251,263,1.86,1.86,1.86,13792,13792,13792,POINT (-86.844516 32.756889)
AR,2021/06/28,328,325,331,4.26,4.26,4.26,7691,7691,7691,POINT (-92.439162 34.899825)
CT,2021/06/28,70,70,70,0.9,0.9,0.9,7775,7775,7775,POINT (-72.738288 41.575155)
DC,2021/06/28,53,53,53,1.94,1.94,1.94,2737,2737,2737,POINT (-77.016275 38.904785)
ID,2021/06/28,94,94,94,2.89,2.89,2.89,3256,3256,3256,POINT (-114.659366 44.389073)
IN,2021/06/28,402,397,406,2.39,2.39,2.39,16781,16781,16781,POINT (-86.2818 39.919991)
KS,2021/06/28,153,148,158,1.92,1.92,1.92,7981,7981,7981,POINT (-98.38018 38.484729)
LA,2021/06/28,250,240,259,2.03,2.03,2.03,12468,12468,12468,POINT (-91.840238 30.921314)
MD,2021/06/28,304,304,304,3.23,3.23,3.23,9422,9422,9422,POINT (-76.687282 38.946466)
MI,2021/06/28,328,324,331,1.6,1.28,1.92,20476,20319,20634,POINT (-85.730977 44.874798)
AL,2021/06/29,250,245,256,1.81,1.81,1.81,13865,13865,13865,POINT (-86.844516 32.756889)
AR,2021/06/29,327,327,327,4.22,4.22,4.22,7741,7741,7741,POINT (-92.439162 34.899825)
CT,2021/06/29,64,62,66,0.82,0.82,0.82,7780,7780,7780,POINT (-72.738288 41.575155)
DC,2021/06/29,51,51,51,1.86,1.86,1.86,2747,2747,2747,POINT (-77.016275 38.904785)
ID,2021/06/29,100,98,101,3.05,3.05,3.05,3267,3267,3267,POINT (-114.659366 44.389073)
IN,2021/06/29,404,403,406,2.4,2.4,2.4,16858,16858,16858,POINT (-86.2818 39.919991)
KS,2021/06/29,160,155,165,2,2,2,7994,7994,7994,POINT (-98.38018 38.484729)
LA,2021/06/29,247,238,256,2,2,2,12506,12506,12506,POINT (-91.840238 30.921314)
MD,2021/06/29,323,323,323,3.32,3.32,3.32,9730,9730,9730,POINT (-76.687282 38.946466)
MI,2021/06/29,350,350,350,1.7,1.7,1.7,20640,20640,20640,POINT (-85.730977 44.874798)
AL,2021/06/30,268,262,273,1.94,1.94,1.94,13812,13812,13812,POINT (-86.844516 32.756889)
AR,2021/06/30,337,337,337,4.36,4.36,4.36,7738,7738,7738,POINT (-92.439162 34.899825)
