state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PA,45,220,37153,226,28415,226,2251,220,3112,226,487,220,467,226,2213,220,1869,226,36,220,16,219,3858,225,0.7648103787042769,226,28415,37153,0.07984251409924449,220,2251,28193,0.06117512773127514,220,2251,36796,0.12979744136460555,219,487,3752,0.8066355624675998,225,3112,3858,2020-11-01
PR,1,67,9333,70,5230,70,500,67,434,70,60,67,63,65,458,67,371,65,42,67,7,64,686,70,0.5603771563270117,70,5230,9333,0.09966115208291808,67,500,5017,0.05546311702717693,67,500,9015,0.09538950715421304,67,60,629,0.6326530612244898,70,434,686,2020-11-01
RI,7,14,2243,15,1982,14,212,14,146,15,22,14,20,15,211,14,201,15,1,14,1,14,175,15,0.8836379848417298,14,1982,2243,0.10939112487100103,13,212,1938,0.09720311783585511,14,212,2181,0.13664596273291926,14,22,161,0.8342857142857143,15,146,175,2020-11-01
SC,8,85,10914,88,8732,88,805,86,1014,88,215,86,200,88,802,86,704,88,3,86,2,86,1315,88,0.8000733003481767,88,8732,10914,0.09330088085303663,86,805,8628,0.07486979166666667,86,805,10752,0.169424743892829,86,215,1269,0.7711026615969582,88,1014,1315,2020-11-01
SD,86,61,2848,64,1893,64,491,61,174,64,95,61,100,64,490,61,487,64,4,61,3,61,210,64,0.6646769662921348,64,1893,2848,0.26742919389978215,61,491,1836,0.17848055252635406,61,491,2751,0.4896907216494845,61,95,194,0.8285714285714286,64,174,210,2020-11-01
TN,29,126,20235,140,14474,137,1649,126,1743,136,442,125,415,125,1642,126,1446,126,7,126,7,126,2152,139,0.7353927446397723,137,14474,19682,0.11763446996718505,126,1649,14018,0.08761955366631244,126,1649,18820,0.21741269060501722,125,442,2033,0.831980906921241,136,1743,2095,2020-11-01
TX,144,587,67644,590,50516,592,6833,587,6084,592,1866,587,1769,592,6704,587,5906,592,129,587,56,587,7678,590,0.7467920288569571,590,50516,67644,0.13704097390746275,587,6833,49861,0.10233331336488348,585,6833,66772,0.24959871589085073,585,1866,7476,0.7923938525657723,590,6084,7678,2020-11-01
UT,26,57,6173,58,3701,58,434,57,418,58,161,57,154,58,428,57,402,58,6,57,0,57,640,58,0.5995464117932934,58,3701,6173,0.11848211848211848,57,434,3663,0.07135810588622164,57,434,6082,0.25555555555555554,57,161,630,0.653125,58,418,640,2020-11-01
VA,53,107,19084,110,12684,110,1053,107,1326,110,226,107,190,110,1038,107,756,110,15,107,10,107,2053,110,0.6646405365751414,110,12684,19084,0.08404501556389177,107,1053,12529,0.05595408895265423,107,1053,18819,0.11373930548565676,107,226,1987,0.645884072089625,110,1326,2053,2020-11-01
VI,0,2,168,2,97,2,0,2,9,2,0,2,0,2,0,2,0,2,0,2,0,2,20,2,0.5773809523809523,2,97,168,0.0,2,0,97,0.0,2,0,168,0.0,2,0,20,0.45,2,9,20,2020-11-01
VT,0,15,764,16,413,16,5,15,32,16,4,15,3,16,5,15,3,16,0,15,0,15,67,16,0.5405759162303665,16,413,764,0.012987012987012988,15,5,385,0.0068775790921595595,15,5,727,0.06666666666666667,15,4,60,0.47761194029850745,16,32,67,2020-11-01
WA,7,96,11745,97,9765,105,481,103,960,104,132,103,122,105,477,103,387,105,4,103,1,103,1172,98,0.648786717752235,97,7620,11745,0.0497260415589786,103,481,9673,0.029776247848537007,95,346,11620,0.08608695652173913,96,99,1150,0.6612627986348123,98,775,1172,2020-11-01
