state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
AK,1,22,0,1,22,0,0,23,1653,23,1023,23,48,23,7,23,0,23,0,23,0,23,91,23,14,23,14,23,43,23,41,23,5,23,0,23,134,23,0.618874773139746,23,1023,1653,0.04692082111437,23,48,1023,0.029038112522686,23,48,1653,0.104477611940298,23,14,134,0.67910447761194,23,91,134,2021/04/12,POINT (-151.631889 63.631126)
AL,28,74,15,29,72,16,5,111,15558,117,11613,117,420,111,47,113,68,111,4,111,7,111,1314,117,110,111,101,113,404,111,335,113,16,111,5,111,1627,117,0.746432703432318,117,11613,15558,0.037383177570093,111,420,11235,0.027905122583217,111,420,15051,0.069138906348209,111,110,1591,0.807621389059619,117,1314,1627,2021/04/12,POINT (-86.844516 32.756889)
AR,16,91,2,21,86,2,2,107,9422,109,6690,109,190,107,24,109,44,107,1,107,12,107,675,109,49,107,39,109,178,107,133,109,12,107,1,107,1005,109,0.710040331139885,109,6690,9422,0.028460155781905,107,190,6676,0.020253704295917,107,190,9381,0.049595141700405,107,49,988,0.671641791044776,109,675,1005,2021/04/12,POINT (-92.439162 34.899825)
AZ,23,96,3,24,95,3,10,119,17139,122,12001,122,586,119,46,122,119,119,2,119,10,119,1138,122,123,119,93,122,576,119,371,122,10,119,6,119,2213,122,0.700215881906762,122,12001,17139,0.049644188410708,119,586,11804,0.034835334680775,119,586,16822,0.057584269662921,119,123,2136,0.514234071396295,122,1138,2213,2021/04/12,POINT (-111.664616 34.293239)
CA,69,311,35,82,299,34,34,407,63620,415,48017,415,2173,407,251,415,503,407,5,407,15,407,4890,415,445,407,411,415,2129,407,1825,415,44,407,35,407,7014,415,0.754746934926124,415,48017,63620,0.045802331218515,407,2173,47443,0.034615690959777,407,2173,62775,0.0650870264736,407,445,6837,0.697177074422583,415,4890,7014,2021/04/12,POINT (-119.662127 37.211164)
CO,5,87,13,6,86,13,4,103,11928,105,8324,105,604,103,74,105,46,103,2,103,10,103,876,105,177,103,177,105,586,103,529,105,18,103,7,103,1290,105,0.697853789403085,105,8324,11928,0.073354384260384,103,604,8234,0.051095507994248,103,604,11821,0.140811455847255,103,177,1257,0.67906976744186,105,876,1290,2021/04/12,POINT (-105.547832 38.998552)
CT,4,35,1,4,35,1,19,39,8457,40,6828,40,564,39,93,40,33,39,2,39,0,39,607,40,118,39,114,40,554,39,496,40,10,39,8,39,1057,40,0.807378503015254,40,6828,8457,0.083333333333333,39,564,6768,0.067383512544803,39,564,8370,0.113899613899614,39,118,1036,0.574266792809839,40,607,1057,2021/04/12,POINT (-72.738288 41.575155)
DC,0,12,2,0,12,2,2,12,3469,14,2692,14,190,13,19,14,76,13,1,13,14,13,282,14,44,12,39,13,165,13,132,14,25,13,8,13,345,14,0.776016142980686,14,2692,3469,0.072713356295446,13,190,2613,0.056716417910448,13,190,3350,0.135384615384615,12,44,325,0.817391304347826,14,282,345,2021/04/12,POINT (-77.016275 38.904785)
DE,1,13,2,1,13,2,2,15,3308,16,2458,16,201,15,13,16,51,15,1,15,3,15,154,16,20,15,19,16,198,15,144,16,3,15,3,15,194,16,0.743047158403869,16,2458,3308,0.082648026315789,15,201,2432,0.061355311355311,15,201,3276,0.10752688172043,15,20,186,0.793814432989691,16,154,194,2021/04/12,POINT (-75.452394 38.994926)
FL,8,241,15,23,226,15,74,258,58918,264,46729,264,3871,258,546,264,269,258,6,258,10,258,5207,264,789,258,754,264,3816,258,3409,264,55,258,42,258,6492,264,0.793119250483723,264,46729,58918,0.084183285127112,258,3871,45983,0.066807034499422,258,3871,57943,0.125737051792829,258,789,6275,0.802064078866297,264,5207,6492,2021/04/12,POINT (-82.420978 28.260731)
