state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-08-19,"52,771","52,384","53,158",7.15,6.74,7.56,"703,883","700,936","706,830"
CW,2020-08-20,"51,495","51,159","51,831",6.95,6.59,7.30,"707,658","704,859","710,457"
CW,2020-08-21,"50,247","49,900","50,593",6.77,6.37,7.18,"708,813","705,239","712,387"
CW,2020-08-22,"48,318","48,047","48,589",6.53,6.22,6.83,"706,271","703,172","709,370"
CW,2020-08-23,"47,921","47,551","48,290",6.49,6.07,6.91,"704,298","701,188","707,407"
CW,2020-08-24,"48,415","48,076","48,754",6.51,6.11,6.90,"710,147","707,384","712,910"
CW,2020-08-25,"48,615","48,350","48,881",6.51,6.20,6.83,"712,724","710,196","715,252"
CW,2020-08-26,"47,632","47,261","48,004",6.36,5.93,6.80,"718,421","715,843","721,000"
CW,2020-08-27,"46,525","46,133","46,916",6.24,5.78,6.71,"720,930","718,326","723,534"
CW,2020-08-28,"45,008","44,590","45,426",6.07,5.57,6.56,"718,015","715,640","720,390"
CW,2020-08-29,"43,806","43,356","44,256",5.93,5.39,6.46,"714,275","711,652","716,897"
CW,2020-08-30,"43,207","42,741","43,674",5.86,5.40,6.33,"712,134","708,985","715,283"
CW,2020-08-31,"43,351","42,937","43,765",5.89,5.54,6.24,"712,153","709,967","714,339"
CW,2020-09-01,"44,301","43,905","44,698",5.98,5.66,6.30,"716,191","714,048","718,335"
CW,2020-09-02,"43,377","43,061","43,693",5.83,5.68,5.98,"719,648","717,963","721,332"
CW,2020-09-03,"42,571","42,198","42,944",5.75,5.32,6.18,"716,554","714,901","718,207"
CW,2020-09-04,"41,517","41,117","41,917",5.61,5.14,6.08,"715,520","713,808","717,232"
CW,2020-09-05,"40,598","40,167","41,029",5.51,5.00,6.01,"713,691","711,754","715,628"
CW,2020-09-06,"39,878","39,435","40,322",5.45,4.91,5.98,"709,070","706,679","711,461"
CW,2020-09-07,"40,154","39,715","40,594",5.48,4.96,6.00,"710,055","708,074","712,037"
CW,2020-09-08,"40,807","40,392","41,223",5.56,5.08,6.05,"711,227","709,511","712,943"
CW,2020-09-09,"41,249","40,852","41,646",5.61,5.15,6.07,"715,608","713,821","717,395"
CW,2020-09-10,"39,451","39,091","39,811",5.35,5.23,5.46,"716,613","714,933","718,293"
CW,2020-09-11,"38,257","37,840","38,675",5.19,4.92,5.45,"717,870","716,165","719,576"
CW,2020-09-12,"37,474","36,999","37,949",5.09,4.72,5.46,"714,886","712,973","716,800"
CW,2020-09-13,"37,070","36,598","37,543",5.08,4.73,5.44,"708,738","706,644","710,833"
CW,2020-09-14,"37,567","37,088","38,046",5.13,4.80,5.45,"712,288","710,460","714,117"
CW,2020-09-15,"37,957","37,496","38,417",5.19,4.92,5.46,"711,085","709,385","712,786"
CW,2020-09-16,"37,129","36,709","37,550",5.07,4.92,5.22,"711,534","709,719","713,349"
CW,2020-09-17,"35,767","35,297","36,237",4.86,4.56,5.16,"712,352","710,614","714,090"
CW,2020-09-18,"35,458","34,963","35,953",4.81,4.48,5.14,"712,145","710,389","713,901"
CW,2020-09-19,"34,907","34,319","35,495",4.75,4.20,5.30,"711,111","707,197","715,025"
DC,2020-08-19,130,130,130,4.81,4.81,4.81,"2,701","2,701","2,701"
DC,2020-08-20,134,134,134,4.87,4.87,4.87,"2,749","2,749","2,749"
DC,2020-08-21,125,122,128,4.63,2.58,6.68,"2,699","2,583","2,815"
DC,2020-08-22,131,128,134,5.34,2.97,7.70,"2,454","2,338","2,570"
DC,2020-08-23,144,144,144,5.83,5.83,5.83,"2,472","2,472","2,472"
DC,2020-08-24,137,137,137,5.03,5.03,5.03,"2,725","2,725","2,725"
DC,2020-08-25,123,123,123,4.47,4.47,4.47,"2,752","2,752","2,752"
DC,2020-08-26,124,124,124,4.52,4.52,4.52,"2,742","2,742","2,742"
DC,2020-08-27,125,125,125,4.61,4.61,4.61,"2,710","2,710","2,710"
DC,2020-08-28,130,130,130,4.76,4.76,4.76,"2,729","2,729","2,729"
DC,2020-08-29,116,116,116,4.08,4.08,4.08,"2,840","2,840","2,840"
DC,2020-08-30,119,119,119,4.42,4.42,4.42,"2,693","2,576","2,810"
DC,2020-08-31,108,108,108,3.93,3.93,3.93,"2,746","2,746","2,746"
DC,2020-09-01,121,121,121,4.36,4.36,4.36,"2,774","2,774","2,774"
DC,2020-09-02,122,122,122,4.38,4.38,4.38,"2,784","2,784","2,784"
DC,2020-09-03,126,126,126,4.50,4.50,4.50,"2,800","2,800","2,800"
DC,2020-09-04,130,130,130,4.66,4.66,4.66,"2,792","2,792","2,792"
DC,2020-09-05,128,128,128,5.02,5.02,5.02,"2,550","2,550","2,550"
DC,2020-09-06,115,115,115,4.57,4.57,4.57,"2,516","2,516","2,516"
DC,2020-09-07,122,122,122,4.81,4.81,4.81,"2,536","2,536","2,536"
DC,2020-09-08,142,142,142,5.07,5.07,5.07,"2,802","2,802","2,802"
DC,2020-09-09,145,145,145,5.09,5.09,5.09,"2,848","2,848","2,848"
DC,2020-09-10,140,140,140,4.94,4.94,4.94,"2,834","2,834","2,834"
DC,2020-09-11,145,145,145,5.08,5.08,5.08,"2,854","2,629","3,079"
