state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,3,68,9205,70,5299,70,534,68,442,70,65,68,65,66,498,68,364,67,36,68,9,65,695,70,0.5756653992395437,70,5299,9205,0.10466483731869855,68,534,5102,0.059778349938430536,68,534,8933,0.10140405616224649,68,65,641,0.6359712230215827,70,442,695,2020-11-04
RI,4,13,2235,14,1880,14,238,13,147,14,27,13,32,14,237,13,235,14,1,13,1,13,169,14,0.8411633109619687,14,1880,2235,0.12906724511930587,13,238,1844,0.10967741935483871,13,238,2170,0.17419354838709677,13,27,155,0.8698224852071006,14,147,169,2020-11-04
SC,7,85,11236,88,8444,88,757,86,951,88,194,86,180,88,752,86,644,88,5,86,3,86,1294,88,0.7515129939480242,88,8444,11236,0.09074562455046752,86,757,8342,0.06835831677803865,86,757,11074,0.15544871794871795,86,194,1248,0.7349304482225657,88,951,1294,2020-11-04
SD,100,61,2849,64,1802,64,569,61,191,64,106,61,107,64,563,61,547,64,6,61,2,61,220,64,0.6325026325026325,64,1802,2849,0.32532875929102345,61,569,1749,0.20675872093023256,61,569,2752,0.5196078431372549,61,106,204,0.8681818181818182,64,191,220,2020-11-04
TN,11,112,20534,141,13848,138,1298,112,1676,137,362,111,342,111,1281,112,1139,112,17,112,7,112,2343,140,0.6930584054852109,138,13848,19981,0.11515259048970901,112,1298,11272,0.08027210884353742,112,1298,16170,0.1893305439330544,111,362,1912,0.7331583552055994,137,1676,2286,2020-11-04
TX,134,587,68321,590,50484,592,6889,587,6131,592,1884,587,1797,592,6748,587,5986,592,141,587,65,587,7817,590,0.7389236106028892,590,50484,68321,0.13808932007697242,587,6889,49888,0.10214097203688877,585,6889,67446,0.2474064346684176,585,1884,7615,0.7843162338493028,590,6131,7817,2020-11-04
UT,26,58,6230,59,3521,59,473,58,428,59,178,58,171,59,462,58,436,59,11,58,0,58,640,59,0.5651685393258427,59,3521,6230,0.13584147041929925,58,473,3482,0.07704837921485584,58,473,6139,0.28253968253968254,58,178,630,0.66875,59,428,640,2020-11-04
VA,46,107,19116,110,12595,110,1111,107,1312,110,229,107,179,110,1088,107,784,110,23,107,9,107,2065,110,0.6588721489851433,110,12595,19116,0.0891653290529695,107,1111,12460,0.05894524617996604,107,1111,18848,0.11455727863931967,107,229,1999,0.6353510895883777,110,1312,2065,2020-11-04
VI,0,2,168,2,88,2,1,2,10,2,1,2,1,2,1,2,1,2,0,2,0,2,20,2,0.5238095238095238,2,88,168,0.011363636363636364,2,1,88,0.005952380952380952,2,1,168,0.05,2,1,20,0.5,2,10,20,2020-11-04
VT,0,15,776,16,423,16,6,15,35,16,0,15,0,16,6,15,3,16,0,15,0,15,67,16,0.5451030927835051,16,423,776,0.015113350125944584,15,6,397,0.008119079837618403,15,6,739,0.0,15,0,60,0.5223880597014925,16,35,67,2020-11-04
