state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,0,68,0,0,68,1,67,9465,68,5705,68,175,67,8,68,26,67,0,67,8,67,460,68,27,67,30,68,152,67,113,68,23,67,2,67,686,68,0.6027469624933968,68,5705,9465,0.0313507703332139,67,175,5582,0.01886182366889416,67,175,9278,0.04122137404580153,67,27,655,0.6705539358600583,68,460,686,2021-02-22
RI,4,10,1,4,10,1,6,14,2649,15,2413,15,207,14,14,15,0,14,0,14,0,14,142,15,27,14,26,15,206,14,168,15,1,14,1,14,179,15,0.9109097772744432,15,2413,2649,0.08730493462673977,14,207,2371,0.08051341890315053,14,207,2571,0.16666666666666666,14,27,162,0.7932960893854749,15,142,179,2021-02-22
SC,22,63,2,23,62,2,7,85,11510,87,8979,87,870,85,97,87,85,85,2,85,3,85,997,87,223,85,216,87,859,85,767,87,11,85,6,85,1353,87,0.7801042571676803,87,8979,11510,0.09814981949458483,85,870,8864,0.07676696373422748,85,870,11333,0.16984006092916984,85,223,1313,0.7368810051736882,87,997,1353,2021-02-22
SD,0,62,3,0,62,3,21,62,2845,65,1621,65,91,62,10,65,10,62,0,62,0,62,124,65,22,62,18,65,90,62,75,65,1,62,1,62,239,65,0.5697715289982426,65,1621,2845,0.05726872246696035,62,91,1589,0.03280461427541456,62,91,2774,0.09649122807017543,62,22,228,0.5188284518828452,65,124,239,2021-02-22
TN,15,86,42,36,65,42,21,101,20486,143,13062,128,925,101,129,101,63,101,4,101,0,101,1726,140,236,101,233,101,906,101,842,101,19,101,16,101,2406,143,0.6794985174010301,128,13062,19223,0.07654116673562267,101,925,12085,0.0528269560251285,101,925,17510,0.10419426048565121,101,236,2265,0.7347807577692635,140,1726,2349,2021-02-22
TX,107,483,5,143,447,5,94,590,68957,595,53188,595,6671,590,607,595,636,590,16,590,77,590,6603,595,1873,590,1801,595,6542,590,5954,595,129,590,105,590,8038,595,0.7713212581753847,595,53188,68957,0.1269940986103179,590,6671,52530,0.09785111844517785,590,6671,68175,0.23850757672227174,590,1873,7853,0.8214730032346355,595,6603,8038,2021-02-22
UT,0,57,1,0,57,1,0,57,6129,58,3481,58,243,57,28,58,7,57,1,57,1,57,371,58,94,57,93,58,237,57,216,58,6,57,0,57,625,58,0.5679556208190569,58,3481,6129,0.07084548104956269,57,243,3430,0.04024511427625042,57,243,6038,0.15485996705107083,57,94,607,0.5936,58,371,625,2021-02-22
VA,17,80,9,21,76,9,53,103,18343,106,13311,106,1485,103,353,106,242,103,42,103,10,103,1388,106,284,103,262,106,1463,103,1216,106,22,103,13,103,2010,106,0.7256719184430028,106,13311,18343,0.11293634496919917,103,1485,13149,0.08213495575221239,103,1485,18080,0.14646725116039194,103,284,1939,0.690547263681592,106,1388,2010,2021-02-22
VI,2,0,0,2,0,0,0,2,162,2,106,2,4,2,1,2,0,2,0,2,0,2,7,2,2,2,2,2,4,2,4,2,0,2,0,2,20,2,0.654320987654321,2,106,162,0.03773584905660377,2,4,106,0.024691358024691357,2,4,162,0.1,2,2,20,0.35,2,7,20,2021-02-22
VT,3,13,1,2,14,1,0,16,1302,17,865,17,26,16,6,17,12,16,0,16,0,16,75,17,10,16,10,17,25,16,26,17,1,16,0,16,106,17,0.6643625192012289,17,865,1302,0.030878859857482184,16,26,842,0.020553359683794466,16,26,1265,0.10101010101010101,16,10,99,0.7075471698113207,17,75,106,2021-02-22
