state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/06/13,477474,477147,477801,69.21,69.09,69.33,689859,689552,690166,
CW,2021/06/14,485121,484614,485629,70.35,70.16,70.55,689542,689099,689985,
CW,2021/06/15,509526,509125,509927,73.46,73.29,73.62,693641,693252,694030,
CW,2021/06/16,516701,516403,517000,74.29,74.16,74.42,695550,695199,695900,
CW,2021/06/17,514318,513884,514752,74.1,73.91,74.3,694063,693515,694612,
CW,2021/06/18,509387,509016,509758,73.7,73.5,73.9,691136,690494,691778,
CW,2021/06/19,489384,488732,490037,71.11,70.83,71.39,688194,687521,688868,
CW,2021/06/20,474611,474277,474945,69.36,69.22,69.51,684239,683899,684578,
CW,2021/06/21,480076,479723,480429,70.11,69.89,70.33,684749,683997,685501,
CW,2021/06/22,507656,507384,507928,73.63,73.5,73.75,689522,689188,689856,
CW,2021/06/23,516733,516419,517047,74.6,74.46,74.74,692683,692292,693074,
CW,2021/06/24,515052,514847,515256,74.31,74.22,74.4,693124,692869,693379,
CW,2021/06/25,507654,507036,508271,73.43,73.16,73.71,691327,690604,692049,
CW,2021/06/26,487263,486458,488068,70.94,70.58,71.3,686837,685897,687777,
CW,2021/06/27,475032,474135,475929,69.41,69.01,69.81,684365,683360,685370,
CW,2021/06/28,481824,481029,482618,70.37,70.06,70.67,684715,684191,685239,
CW,2021/06/29,506858,506525,507192,73.39,73.19,73.58,690656,690016,691297,
CW,2021/06/30,515853,515588,516118,74.44,74.34,74.54,692952,692745,693160,
CW,2021/07/01,512869,512611,513127,74.04,73.93,74.16,692674,692373,692975,
CW,2021/07/02,504697,504344,505050,73.05,72.9,73.21,690845,690421,691270,
CW,2021/07/03,481683,481213,482152,70.2,70.01,70.4,686132,685676,686587,
CW,2021/07/04,465844,465394,466295,68.15,67.95,68.35,683544,683056,684031,
CW,2021/07/05,463708,463243,464174,67.97,67.76,68.19,682192,681632,682752,
CW,2021/07/06,480560,479957,481163,70.19,69.92,70.46,684660,683985,685334,
CW,2021/07/07,508026,507656,508396,73.52,73.36,73.68,691000,690581,691420,
CW,2021/07/08,515908,515539,516278,74.54,74.41,74.66,692153,691724,692582,
CW,2021/07/09,514648,514138,515158,74.43,74.24,74.62,691459,690889,692029,
CW,2021/07/10,496877,496387,497366,72.27,72.08,72.46,687509,686908,688109,
CW,2021/07/11,484887,484071,485703,70.82,70.5,71.15,684628,683798,685458,
CW,2021/07/12,490963,489725,492201,71.54,70.96,72.11,686306,684656,687955,
CW,2021/07/13,510159,507218,513100,73.75,72.4,75.1,691755,688036,695474,
AL,2021/06/13,9488,9488,9488,68.58,68.58,68.58,13834,13834,13834,POINT (-86.844516 32.756889)
AR,2021/06/13,5189,5061,5317,67.71,62.18,73.24,7664,7489,7839,POINT (-92.439162 34.899825)
CA,2021/06/13,42259,42246,42272,71.96,71.96,71.96,58728,58728,58728,POINT (-119.662127 37.211164)
CT,2021/06/13,5905,5905,5905,75.87,75.87,75.87,7783,7783,7783,POINT (-72.738288 41.575155)
DC,2021/06/13,2122,2122,2122,78.53,78.53,78.53,2702,2702,2702,POINT (-77.016275 38.904785)
FL,2021/06/13,38885,38885,38885,74.62,74.62,74.62,52108,52108,52108,POINT (-82.420978 28.260731)
HI,2021/06/13,1727,1727,1727,69.67,69.67,69.67,2479,2479,2479,POINT (-157.854309 21.361013)
