state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-02-07,"82,809","82,780","82,838",11.91,11.90,11.92,"698,557","698,251","698,863"
CW,2021-02-08,"82,220","82,191","82,248",11.78,11.77,11.79,"701,398","701,090","701,706"
CW,2021-02-09,"81,038","81,009","81,067",11.54,11.53,11.54,"705,778","705,478","706,078"
CW,2021-02-10,"78,169","78,129","78,209",11.10,11.07,11.13,"707,460","707,138","707,781"
CW,2021-02-11,"74,972","74,942","75,002",10.66,10.64,10.67,"706,861","706,551","707,171"
CW,2021-02-12,"72,144","72,112","72,175",10.28,10.26,10.30,"704,776","704,461","705,092"
CW,2021-02-13,"69,773","69,707","69,839",10.00,9.92,10.08,"701,083","700,422","701,743"
CW,2021-02-14,"68,061","67,822","68,299",9.80,9.51,10.08,"698,036","696,034","700,039"
CW,2021-02-15,"67,520","67,476","67,563",9.73,9.69,9.77,"697,312","696,972","697,653"
CW,2021-02-16,"67,052","67,017","67,087",9.62,9.59,9.65,"700,282","699,993","700,570"
CW,2021-02-17,"65,853","65,825","65,882",9.40,9.38,9.43,"703,433","703,144","703,722"
CW,2021-02-18,"63,504","63,476","63,531",9.06,9.03,9.08,"704,093","703,786","704,399"
CW,2021-02-19,"61,761","61,725","61,797",8.81,8.78,8.85,"703,913","703,630","704,196"
CW,2021-02-20,"59,334","59,302","59,366",8.50,8.46,8.55,"700,920","700,456","701,384"
CW,2021-02-21,"58,567","58,535","58,599",8.42,8.39,8.46,"698,298","697,985","698,612"
CW,2021-02-22,"58,857","58,835","58,879",8.42,8.39,8.45,"701,933","701,718","702,149"
CW,2021-02-23,"58,266","58,237","58,294",8.28,8.25,8.32,"706,408","706,177","706,640"
CW,2021-02-24,"56,365","56,336","56,394",8.01,7.91,8.10,"707,095","705,994","708,196"
CW,2021-02-25,"54,559","54,437","54,680",7.76,7.62,7.90,"706,324","705,492","707,155"
CW,2021-02-26,"52,488","52,344","52,631",7.47,7.30,7.64,"705,532","704,546","706,518"
CW,2021-02-27,"50,531","50,364","50,699",7.22,7.02,7.42,"702,965","701,891","704,039"
CW,2021-02-28,"49,655","49,490","49,820",7.13,6.93,7.33,"699,492","698,397","700,586"
CW,2021-03-01,"49,767","49,607","49,927",7.14,6.95,7.33,"699,772","698,724","700,820"
CW,2021-03-02,"49,168","49,027","49,310",7.03,6.86,7.19,"702,913","702,012","703,814"
CW,2021-03-03,"47,677","47,554","47,800",6.79,6.64,6.94,"705,180","704,416","705,943"
CW,2021-03-04,"46,215","45,977","46,453",6.58,6.32,6.85,"705,329","705,201","705,457"
CW,2021-03-05,"44,596","44,561","44,631",6.36,6.32,6.40,"703,984","703,656","704,312"
CW,2021-03-06,"43,303","43,208","43,398",6.21,6.09,6.33,"700,417","699,835","700,999"
CW,2021-03-07,"42,562","42,504","42,620",6.13,6.05,6.21,"697,466","696,971","697,961"
CW,2021-03-08,"43,026","42,954","43,098",6.19,6.10,6.29,"697,932","697,249","698,614"
CW,2021-03-09,"42,825","42,471","43,179",6.16,5.67,6.66,"698,134","694,247","702,021"
AK,2021-02-07,41,41,41,2.85,2.85,2.85,"1,441","1,441","1,441"
AL,2021-02-07,"1,653","1,653","1,653",11.97,11.97,11.97,"13,810","13,810","13,810"
AR,2021-02-07,787,787,787,10.53,10.53,10.53,"7,472","7,472","7,472"
AZ,2021-02-07,"2,735","2,735","2,735",19.24,19.24,19.24,"14,241","14,241","14,241"
CA,2021-02-07,"11,943","11,943","11,943",19.62,19.62,19.62,"60,871","60,871","60,871"
CO,2021-02-07,555,555,555,5.50,5.50,5.50,"10,097","10,097","10,097"
CT,2021-02-07,925,925,925,11.88,11.88,11.88,"7,783","7,783","7,783"
DC,2021-02-07,306,306,306,10.37,10.37,10.37,"2,950","2,950","2,950"
DE,2021-02-07,254,254,254,9.81,9.81,9.81,"2,588","2,588","2,588"
FL,2021-02-07,"5,814","5,814","5,814",11.44,11.44,11.44,"51,803","51,803","51,803"
GA,2021-02-07,"3,755","3,755","3,755",19.27,19.27,19.27,"19,485","19,485","19,485"
HI,2021-02-07,85,85,85,3.43,3.43,3.43,"2,481","2,481","2,481"
IA,2021-02-07,315,315,315,4.16,4.16,4.16,"7,671","7,671","7,671"
ID,2021-02-07,174,174,174,5.44,5.44,5.44,"3,196","3,196","3,196"
IL,2021-02-07,"2,336","2,336","2,336",8.08,8.08,8.08,"28,927","28,927","28,927"
IN,2021-02-07,"1,268","1,268","1,268",7.64,7.64,7.64,"16,601","16,601","16,601"
