state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,6,61,1,8,59,1,6,67,9066,68,5480,68,349,67,237,68,826,67,0,67,7,67,462,68,56,67,44,68,313,67,266,68,36,67,18,67,694,68,0.604456210015442,68,5480,9066,0.065221453933844,67,349,5351,0.039284106258442,67,349,8884,0.08446455505279,67,56,663,0.665706051873199,68,462,694,2021/04/04,POINT (-66.414655 18.215692)
RI,4,9,1,4,9,1,4,13,2556,14,2312,14,181,13,11,14,0,13,0,13,0,13,137,14,30,13,33,14,180,13,146,14,1,13,1,13,176,14,0.904538341158059,14,2312,2556,0.07956043956044,13,181,2275,0.073131313131313,13,181,2475,0.191082802547771,13,30,157,0.778409090909091,14,137,176,2021/04/04,POINT (-71.534637 41.572574)
SC,21,64,2,21,64,2,2,85,11542,87,8743,87,505,85,66,87,44,85,0,85,3,85,938,87,127,85,122,87,499,85,455,87,6,85,3,85,1345,87,0.757494368393693,87,8743,11542,0.058462607084973,85,505,8638,0.044391701828411,85,505,11376,0.09739263803681,85,127,1304,0.697397769516729,87,938,1345,2021/04/04,POINT (-80.864614 33.878572)
SD,0,62,3,1,61,3,25,62,2816,65,1671,65,97,62,6,65,13,62,0,62,1,62,116,65,17,62,15,65,94,62,68,65,3,62,0,62,237,65,0.593394886363636,65,1671,2816,0.059146341463415,62,97,1640,0.035285558384867,62,97,2749,0.075221238938053,62,17,226,0.489451476793249,65,116,237,2021/04/04,POINT (-100.230491 44.43614)
TN,12,88,43,29,71,43,16,100,20393,143,13142,129,778,100,92,100,61,100,2,100,4,100,1717,140,205,100,193,100,762,100,665,100,16,100,13,100,2381,143,0.68522863548673,129,13142,19179,0.071837488457987,100,778,10830,0.048206208563108,100,778,16139,0.102653980971457,100,205,1997,0.73881239242685,140,1717,2324,2021/04/04,POINT (-86.343226 35.842998)
TX,102,487,5,113,476,5,77,589,69539,594,49773,594,3360,589,395,594,560,589,16,589,49,589,6114,594,985,589,912,594,3259,589,2771,594,101,589,49,589,7640,594,0.71575662577834,594,49773,69539,0.068270481144343,589,3360,49216,0.048856382592006,589,3360,68773,0.132019836483045,589,985,7461,0.800261780104712,594,6114,7640,2021/04/04,POINT (-99.317341 31.447238)
UT,0,57,1,0,57,1,0,57,6116,58,3670,58,139,57,25,58,5,57,2,57,0,57,367,58,52,57,52,58,134,57,122,58,5,57,0,57,626,58,0.600065402223676,58,3670,6116,0.038334252619967,57,139,3626,0.022998014559894,57,139,6044,0.085526315789474,57,52,608,0.586261980830671,58,367,626,2021/04/04,POINT (-111.678222 39.323779)
VA,15,80,9,20,75,9,27,101,17860,104,13308,104,1090,101,113,104,180,101,4,101,11,101,1382,104,224,101,217,104,1071,101,905,104,19,101,10,101,1957,104,0.745128779395297,104,13308,17860,0.083053946967388,101,1090,13124,0.061974073231749,101,1090,17588,0.118706942236354,101,224,1887,0.706182933060807,104,1382,1957,2021/04/04,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,89,2,6,2,2,2,0,2,0,2,0,2,11,2,4,2,4,2,6,2,6,2,0,2,0,2,20,2,0.529761904761905,2,89,168,0.067415730337079,2,6,89,0.035714285714286,2,6,168,0.2,2,4,20,0.55,2,11,20,2021/04/04,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1302,17,877,17,30,16,6,17,6,16,0,16,0,16,69,17,7,16,7,17,30,16,28,17,0,16,0,16,104,17,0.67357910906298,17,877,1302,0.035294117647059,16,30,850,0.023715415019763,16,30,1265,0.072164948453608,16,7,97,0.663461538461538,17,69,104,2021/04/04,POINT (-72.662695 44.075252)
WA,10,93,2,9,94,2,10,103,14647,105,9862,105,461,103,48,105,77,103,0,103,0,103,945,105,116,103,110,105,451,103,386,105,10,103,4,103,1413,105,0.673311941011811,105,9862,14647,0.047165950480868,103,461,9774,0.03176024801929,103,461,14515,0.083875632682574,103,116,1383,0.668789808917197,105,945,1413,2021/04/04,POINT (-120.592492 47.411715)
WI,9,118,21,12,115,21,0,145,13211,148,8748,148,355,145,79,148,61,145,1,145,9,145,938,148,92,145,93,148,349,145,320,148,6,145,1,145,1614,148,0.662175459844069,148,8748,13211,0.041404245393049,145,355,8574,0.027408894379246,145,355,12952,0.058898847631242,145,92,1562,0.581164807930607,148,938,1614,2021/04/04,POINT (-89.732969 44.639954)
WV,12,47,4,15,44,4,1,59,6187,63,4798,63,308,59,34,63,47,59,2,59,0,59,519,63,90,59,89,63,305,59,288,63,3,59,3,59,663,63,0.775497009859382,63,4798,6187,0.065462274176408,59,308,4705,0.051359012839753,59,308,5997,0.14446227929374,59,90,623,0.782805429864253,63,519,663,2021/04/04,POINT (-80.613729 38.642579)
ID,3,48,1,3,48,1,1,51,3704,52,2239,52,155,51,25,52,0,51,0,51,0,51,220,52,44,51,44,52,154,51,145,52,1,51,1,51,309,52,0.604481641468683,52,2239,3704,0.07026291931097,51,155,2206,0.042315042315042,51,155,3663,0.145695364238411,51,44,302,0.711974110032362,52,220,309,2021/04/04,POINT (-114.659366 44.389073)
IL,11,165,23,12,164,23,8,194,31115,199,21948,199,1816,194,233,199,355,194,4,194,35,194,2211,199,367,194,337,199,1782,194,1481,199,34,194,15,194,3449,199,0.70538325566447,199,21948,31115,0.083713640344812,194,1816,21693,0.059043469779237,194,1816,30757,0.10838747784997,194,367,3386,0.641055378370542,199,2211,3449,2021/04/04,POINT (-89.148632 40.124144)
IN,11,152,2,12,151,2,2,163,19140,165,12464,165,794,163,84,165,106,163,8,163,9,163,1528,165,178,163,158,165,774,163,575,165,20,163,5,163,2234,165,0.651201671891327,165,12464,19140,0.064260278407252,163,794,12356,0.041796073064168,163,794,18997,0.081464530892449,163,178,2185,0.683974932855864,165,1528,2234,2021/04/04,POINT (-86.2818 39.919991)
KS,14,128,4,15,127,4,0,143,8707,146,5144,146,180,143,24,146,33,143,1,143,4,143,602,146,41,143,36,146,177,143,148,146,3,143,0,143,837,146,0.590789020328471,146,5144,8707,0.035301039419494,143,180,5099,0.020876826722338,143,180,8622,0.050183598531212,143,41,817,0.719235364396655,146,602,837,2021/04/04,POINT (-98.38018 38.484729)
KY,0,25,93,4,112,2,2,116,14451,118,8727,118,409,116,149,118,64,116,0,116,3,116,1101,118,103,116,96,118,395,116,332,118,14,116,5,116,1833,118,0.603902844093834,118,8727,14451,0.047552610161609,116,409,8601,0.028661527680448,116,409,14270,0.057606263982103,116,103,1788,0.600654664484452,118,1101,1833,2021/04/04,POINT (-85.290484 37.526683)
LA,41,175,6,46,170,6,0,216,14159,222,9251,222,267,222,37,217,10,217,1,217,0,217,1164,222,93,222,89,222,266,222,334,222,1,222,1,222,1824,222,0.653365350660357,222,9251,14159,0.028861744676251,222,267,9251,0.018857263931069,222,267,14159,0.050986842105263,222,93,1824,0.638157894736842,222,1164,1824,2021/04/04,POINT (-91.840238 30.921314)
MA,11,89,1,10,90,1,13,100,19185,101,16073,101,665,100,97,101,84,100,8,100,4,100,1057,101,182,100,170,101,641,100,545,101,24,100,16,100,1419,101,0.837789940057336,101,16073,19185,0.041664056136834,100,665,15961,0.034906304131017,100,665,19051,0.130841121495327,100,182,1391,0.744890768146582,101,1057,1419,2021/04/04,POINT (-71.481104 42.151077)
MD,3,53,5,2,54,5,14,60,11773,61,9879,61,1477,60,162,61,309,60,4,60,7,60,1042,61,305,60,282,61,1456,60,1213,61,21,60,14,60,1328,61,0.839123417990317,61,9879,11773,0.150468622656887,60,1477,9816,0.126574685062987,60,1477,11669,0.236434108527132,60,305,1290,0.784638554216868,61,1042,1328,2021/04/04,POINT (-76.687282 38.946466)
ME,3,27,9,2,28,9,0,38,3321,39,2322,39,89,38,4,39,18,38,0,38,0,38,236,39,37,38,35,39,86,38,75,39,3,38,2,38,328,39,0.699186991869919,39,2322,3321,0.038932633420822,38,89,2286,0.027109351203168,38,89,3283,0.116352201257862,38,37,318,0.719512195121951,39,236,328,2021/04/04,POINT (-69.06137 45.117911)
