state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/04/12,44458,44435,44481,6.45,6.42,6.48,692213,691486,692940,
CW,2021/04/13,44949,44927,44971,6.48,6.46,6.51,696393,695671,697115,
CW,2021/04/14,44782,44761,44802,6.42,6.39,6.44,701043,700322,701764,
CW,2021/04/15,44189,44174,44205,6.34,6.32,6.37,699828,699079,700576,
CW,2021/04/16,44369,44351,44387,6.36,6.34,6.39,700302,699556,701047,
CW,2021/04/17,43809,43774,43845,6.32,6.28,6.37,696063,695317,696809,
CW,2021/04/18,44224,44202,44247,6.42,6.39,6.45,692236,691496,692975,
CW,2021/04/19,45467,45447,45487,6.59,6.56,6.61,693398,692692,694105,
CW,2021/04/20,45564,45545,45582,6.56,6.54,6.59,697272,696566,697978,
CW,2021/04/21,44845,44830,44860,6.44,6.42,6.46,699683,698972,700394,
CW,2021/04/22,43805,43787,43822,6.29,6.27,6.32,699218,698489,699948,
CW,2021/04/23,43126,43109,43142,6.2,6.18,6.22,698558,697873,699243,
CW,2021/04/24,41793,41776,41809,6.02,5.97,6.07,697525,696604,698447,
CW,2021/04/25,41473,41418,41529,6,5.94,6.07,693819,693119,694520,
CW,2021/04/26,42557,42540,42573,6.17,6.14,6.2,692543,691800,693286,
CW,2021/04/27,42378,42371,42385,6.11,6.06,6.16,696754,696030,697479,
CW,2021/04/28,41572,41564,41579,5.96,5.92,6.01,699992,699373,700612,
CW,2021/04/29,40472,40459,40484,5.81,5.76,5.85,699870,699260,700480,
CW,2021/04/30,39674,39644,39705,5.7,5.64,5.76,698995,698326,699664,
CW,2021/05/01,38352,38315,38389,5.54,5.47,5.6,695448,694761,696135,
CW,2021/05/02,38282,38237,38328,5.56,5.49,5.63,691509,690980,692037,
CW,2021/05/03,38919,38872,38966,5.65,5.58,5.71,692168,691677,692660,
CW,2021/05/04,39091,39029,39152,5.63,5.53,5.74,696802,695807,697798,
CW,2021/05/05,38240,38162,38319,5.48,5.37,5.58,701426,700789,702062,
CW,2021/05/06,37213,37115,37312,5.32,5.19,5.45,702348,701509,703186,
CW,2021/05/07,36397,36296,36497,5.24,5.11,5.37,697662,696773,698551,
CW,2021/05/08,35006,34903,35108,5.05,4.91,5.19,695657,694627,696687,
CW,2021/05/09,34461,34360,34562,5,4.85,5.14,692626,691448,693805,
CW,2021/05/10,34743,34655,34832,5.04,4.91,5.18,691694,690442,692946,
CW,2021/05/11,34634,34561,34707,5.01,4.91,5.1,694630,693419,695841,
CW,2021/05/12,33941,33721,34161,4.92,4.58,5.25,693362,690508,696216,
AK,2021/04/12,52,52,52,3.5,3.5,3.5,1484,1484,1484,POINT (-151.631889 63.631126)
AL,2021/04/12,419,419,419,3.01,3.01,3.01,13927,13927,13927,POINT (-86.844516 32.756889)
AR,2021/04/12,180,180,180,2.36,2.36,2.36,7636,7636,7636,POINT (-92.439162 34.899825)
AZ,2021/04/12,535,534,536,3.88,3.82,3.95,13789,13771,13807,POINT (-111.664616 34.293239)
CA,2021/04/12,2144,2122,2166,3.7,3.31,4.09,57921,57822,58020,POINT (-119.662127 37.211164)
CO,2021/04/12,520,517,523,5.12,5.12,5.12,10166,10166,10166,POINT (-105.547832 38.998552)
CT,2021/04/12,619,619,619,7.93,7.93,7.93,7805,7805,7805,POINT (-72.738288 41.575155)
DC,2021/04/12,196,196,196,7.2,7.2,7.2,2722,2722,2722,POINT (-77.016275 38.904785)
DE,2021/04/12,206,206,206,7.98,7.98,7.98,2582,2582,2582,POINT (-75.452394 38.994926)
FL,2021/04/12,3609,3609,3609,7.03,7,7.06,52293,52263,52323,POINT (-82.420978 28.260731)
GA,2021/04/12,1461,1461,1461,7.55,7.48,7.61,19362,19340,19384,POINT (-83.426574 32.638481)
HI,2021/04/12,51,51,51,2.05,2.05,2.05,2485,2485,2485,POINT (-157.854309 21.361013)
IA,2021/04/12,217,217,217,2.86,2.86,2.86,7677,7677,7677,POINT (-93.500061 42.074659)
ID,2021/04/12,136,136,136,4.21,4.21,4.21,3229,3229,3229,POINT (-114.659366 44.389073)
IL,2021/04/12,2002,2002,2002,6.99,6.99,6.99,28634,28634,28634,POINT (-89.148632 40.124144)
IN,2021/04/12,873,873,873,5.19,5.19,5.19,16832,16832,16832,POINT (-86.2818 39.919991)
KS,2021/04/12,178,178,178,2.29,2.29,2.29,7775,7775,7775,POINT (-98.38018 38.484729)
KY,2021/04/12,413,413,413,3.36,3.36,3.36,12309,12309,12309,POINT (-85.290484 37.526683)
LA,2021/04/12,286,286,286,2.32,2.32,2.32,12551,12551,12551,POINT (-91.840238 30.921314)
MA,2021/04/12,638,638,638,3.86,3.86,3.86,16543,16543,16543,POINT (-71.481104 42.151077)
MD,2021/04/12,1503,1503,1503,15.67,15.67,15.67,9594,9594,9594,POINT (-76.687282 38.946466)
ME,2021/04/12,125,125,125,4.37,4.37,4.37,2859,2859,2859,POINT (-69.06137 45.117911)
MI,2021/04/12,4160,4160,4160,19.79,19.79,19.79,21026,21026,21026,POINT (-85.730977 44.874798)
MN,2021/04/12,787,787,787,8.32,8.32,8.32,9461,9461,9461,POINT (-94.198308 46.349153)
MS,2021/04/12,239,239,239,3.06,3.06,3.06,7811,7811,7811,POINT (-89.65344 32.713378)
MT,2021/04/12,52,52,52,1.82,1.82,1.82,2856,2856,2856,POINT (-109.645127 47.033521)
ND,2021/04/12,98,98,98,4.84,4.43,5.25,2025,2006,2044,POINT (-100.46931 47.446305)
NJ,2021/04/12,2304,2304,2304,11.33,11.33,11.33,20337,20337,20337,POINT (-74.655514 40.110253)
NV,2021/04/12,314,314,314,4.24,4.24,4.24,7577,7577,7577,POINT (-114.916992 39.283294)
NY,2021/04/12,4939,4939,4939,10.32,10.32,10.32,47869,47869,47869,POINT (-75.59655 42.921241)
UT,2021/04/12,132,132,132,2.49,2.49,2.49,5302,5302,5302,POINT (-111.678222 39.323779)
AK,2021/04/13,47,47,47,3.16,3.16,3.16,1486,1486,1486,POINT (-151.631889 63.631126)
AL,2021/04/13,402,402,402,2.88,2.88,2.88,13938,13938,13938,POINT (-86.844516 32.756889)
AR,2021/04/13,200,199,200,2.58,2.58,2.58,7732,7732,7732,POINT (-92.439162 34.899825)
AZ,2021/04/13,509,507,511,3.64,3.48,3.8,14008,13998,14018,POINT (-111.664616 34.293239)
CA,2021/04/13,2224,2206,2242,3.79,3.47,4.11,58660,58552,58767,POINT (-119.662127 37.211164)
CO,2021/04/13,536,534,537,5.26,5.26,5.26,10173,10173,10173,POINT (-105.547832 38.998552)
CT,2021/04/13,596,596,596,7.62,7.62,7.62,7817,7817,7817,POINT (-72.738288 41.575155)
DC,2021/04/13,184,184,184,6.74,6.74,6.74,2728,2728,2728,POINT (-77.016275 38.904785)
DE,2021/04/13,206,206,206,7.86,7.86,7.86,2622,2622,2622,POINT (-75.452394 38.994926)
FL,2021/04/13,3715,3715,3715,7.2,7.2,7.2,52548,52537,52559,POINT (-82.420978 28.260731)
GA,2021/04/13,1447,1446,1448,7.52,7.52,7.52,19233,19233,19233,POINT (-83.426574 32.638481)
HI,2021/04/13,56,56,56,2.24,2.24,2.24,2498,2498,2498,POINT (-157.854309 21.361013)
IA,2021/04/13,232,231,233,3.06,2.93,3.19,7673,7658,7688,POINT (-93.500061 42.074659)
ID,2021/04/13,153,153,153,4.72,4.72,4.72,3239,3239,3239,POINT (-114.659366 44.389073)
IL,2021/04/13,2112,2110,2115,7.36,7.36,7.36,28689,28689,28689,POINT (-89.148632 40.124144)
IN,2021/04/13,866,862,869,5.13,5.13,5.13,16884,16884,16884,POINT (-86.2818 39.919991)
KS,2021/04/13,171,171,171,2.19,2.19,2.19,7814,7810,7818,POINT (-98.38018 38.484729)
KY,2021/04/13,427,427,427,3.47,3.47,3.47,12304,12304,12304,POINT (-85.290484 37.526683)
LA,2021/04/13,288,286,290,2.32,2.32,2.32,12612,12612,12612,POINT (-91.840238 30.921314)
MA,2021/04/13,658,658,658,3.93,3.93,3.93,16747,16747,16747,POINT (-71.481104 42.151077)
MD,2021/04/13,1482,1480,1483,15.47,15.47,15.47,9579,9579,9579,POINT (-76.687282 38.946466)
ME,2021/04/13,124,124,124,4.32,4.32,4.32,2870,2870,2870,POINT (-69.06137 45.117911)
MI,2021/04/13,4213,4213,4213,20.05,20.05,20.05,21010,21010,21010,POINT (-85.730977 44.874798)
MN,2021/04/13,775,774,776,8.01,8.01,8.01,9672,9672,9672,POINT (-94.198308 46.349153)
MS,2021/04/13,236,233,238,2.99,2.99,2.99,7871,7871,7871,POINT (-89.65344 32.713378)
MT,2021/04/13,52,52,52,1.82,1.82,1.82,2856,2856,2856,POINT (-109.645127 47.033521)
ND,2021/04/13,99,99,99,4.91,4.5,5.31,2018,2000,2036,POINT (-100.46931 47.446305)
NJ,2021/04/13,2278,2278,2278,11.2,11.2,11.2,20342,20342,20342,POINT (-74.655514 40.110253)
NV,2021/04/13,316,316,316,4.26,4.26,4.26,7577,7577,7577,POINT (-114.916992 39.283294)
NY,2021/04/13,4843,4843,4843,10.11,10.11,10.11,47913,47913,47913,POINT (-75.59655 42.921241)
UT,2021/04/13,148,148,148,2.79,2.79,2.79,5303,5303,5303,POINT (-111.678222 39.323779)
AK,2021/04/14,40,40,40,2.7,2.7,2.7,1480,1480,1480,POINT (-151.631889 63.631126)
AL,2021/04/14,409,409,409,2.93,2.93,2.93,13946,13946,13946,POINT (-86.844516 32.756889)
AR,2021/04/14,196,196,196,2.53,2.53,2.53,7749,7749,7749,POINT (-92.439162 34.899825)
AZ,2021/04/14,533,533,533,3.79,3.79,3.79,14075,14075,14075,POINT (-111.664616 34.293239)
CA,2021/04/14,2186,2182,2189,3.64,3.56,3.71,60089,59980,60198,POINT (-119.662127 37.211164)
CO,2021/04/14,542,542,542,5.33,5.33,5.33,10172,10172,10172,POINT (-105.547832 38.998552)
CT,2021/04/14,565,564,566,7.23,7.23,7.23,7819,7819,7819,POINT (-72.738288 41.575155)
DC,2021/04/14,175,175,175,6.42,6.42,6.42,2724,2724,2724,POINT (-77.016275 38.904785)
DE,2021/04/14,208,208,208,7.94,7.94,7.94,2618,2618,2618,POINT (-75.452394 38.994926)
