state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,12,56,0,12,56,4,67,9197,68,5392,68,244,67,12,68,25,67,1,67,4,67,498,68,44,67,36,68,221,67,175,68,23,67,4,67,711,68,0.5862781341741873,68,5392,9197,0.04607250755287009,67,244,5296,0.027081021087680356,67,244,9010,0.06470588235294118,67,44,680,0.70042194092827,68,498,711,2021-02-10
RI,4,10,1,4,10,1,14,14,2265,15,1933,15,253,14,9,15,1,14,0,14,0,14,138,15,37,14,37,15,253,14,214,15,0,14,0,14,173,15,0.8534216335540838,15,1933,2265,0.13372093023255813,14,253,1892,0.11520947176684881,14,253,2196,0.23870967741935484,14,37,155,0.7976878612716763,15,138,173,2021-02-10
SC,23,62,2,24,61,2,16,85,11446,87,8714,87,1238,85,96,87,95,85,2,85,5,85,1024,87,309,85,292,87,1225,85,1113,87,13,85,10,85,1339,87,0.7613139961558623,87,8714,11446,0.1437195263524495,85,1238,8614,0.10985890496051114,85,1238,11269,0.23787528868360278,85,309,1299,0.7647498132935027,87,1024,1339,2021-02-10
SD,0,62,3,0,62,3,16,62,2841,65,1463,65,87,62,6,65,7,62,1,62,0,62,94,65,12,62,8,65,85,62,70,65,2,62,2,62,238,65,0.5149595212953185,65,1463,2841,0.06024930747922438,62,87,1444,0.031385281385281384,62,87,2772,0.05286343612334802,62,12,227,0.3949579831932773,65,94,238,2021-02-10
TN,17,69,56,35,51,56,3,86,20161,142,11981,124,874,86,80,86,53,86,1,86,2,86,1597,138,255,86,242,86,860,86,786,86,14,86,11,86,2364,142,0.6416559554413025,124,11981,18672,0.09401061410159212,85,868,9233,0.06189801699716714,86,874,14120,0.13442277279915657,86,255,1897,0.6940460669274229,138,1597,2301,2021-02-10
TX,117,473,5,156,434,5,101,590,69118,595,50497,595,8868,590,930,595,671,590,21,590,98,590,6483,595,2534,590,2463,595,8714,590,8141,595,154,590,125,590,8057,595,0.7305911629387425,595,50497,69118,0.1774558261461189,590,8868,49973,0.12981803809049788,590,8868,68311,0.32222787385554424,590,2534,7864,0.8046419262752885,595,6483,8057,2021-02-10
UT,0,57,1,0,57,1,2,57,5867,58,3212,58,300,57,37,58,5,57,2,57,0,57,394,58,115,57,110,58,287,57,263,58,13,57,0,57,626,58,0.5474688938128516,58,3212,5867,0.09466708740927737,57,300,3169,0.05194805194805195,57,300,5775,0.18914473684210525,57,115,608,0.6293929712460063,58,394,626,2021-02-10
VA,21,75,9,23,73,9,64,102,18200,105,12675,105,1830,102,163,105,208,102,2,102,8,102,1379,105,353,102,345,105,1808,102,1584,105,22,102,11,102,1994,105,0.6964285714285714,105,12675,18200,0.14618948713852054,102,1830,12518,0.10202943800178411,102,1830,17936,0.18356734269370775,102,353,1923,0.6915747241725175,105,1379,1994,2021-02-10
VI,2,0,0,2,0,0,0,2,168,2,103,2,5,2,0,2,0,2,0,2,0,2,8,2,0,2,0,2,5,2,5,2,0,2,0,2,20,2,0.6130952380952381,2,103,168,0.04854368932038835,2,5,103,0.02976190476190476,2,5,168,0.0,2,0,20,0.4,2,8,20,2021-02-10
VT,2,14,1,2,14,1,4,16,1313,17,775,17,51,16,2,17,10,16,0,16,1,16,66,17,11,16,11,17,50,16,45,17,1,16,0,16,105,17,0.5902513328255903,17,775,1313,0.06737120211360634,16,51,757,0.039937353171495694,16,51,1277,0.1111111111111111,16,11,99,0.6285714285714286,17,66,105,2021-02-10
