state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/04/30,39621,39594,39648,5.69,5.63,5.75,698990,698241,699739,
CW,2021/05/01,38326,38299,38352,5.53,5.48,5.59,695489,694780,696198,
CW,2021/05/02,38256,38228,38285,5.56,5.5,5.61,691560,691012,692107,
CW,2021/05/03,38894,38874,38914,5.64,5.6,5.68,692244,691817,692670,
CW,2021/05/04,39059,39015,39104,5.63,5.54,5.71,696880,695907,697852,
CW,2021/05/05,38194,38169,38219,5.47,5.42,5.52,701455,700863,702047,
CW,2021/05/06,37164,37134,37195,5.31,5.25,5.38,702380,701592,703169,
CW,2021/05/07,36385,36363,36407,5.24,5.18,5.3,697706,696876,698536,
CW,2021/05/08,34991,34967,35015,5.05,4.98,5.12,695689,694787,696591,
CW,2021/05/09,34447,34409,34485,5,4.91,5.08,692549,691507,693591,
CW,2021/05/10,34732,34707,34757,5.04,4.97,5.11,691841,690877,692804,
CW,2021/05/11,34660,34616,34705,5,4.92,5.08,696364,695420,697309,
CW,2021/05/12,33755,33727,33783,4.86,4.79,4.93,697812,696852,698772,
CW,2021/05/13,32874,32841,32908,4.73,4.67,4.79,697739,696797,698681,
CW,2021/05/14,31774,31742,31806,4.58,4.52,4.64,696503,695489,697518,
CW,2021/05/15,30650,30622,30678,4.44,4.38,4.49,693443,692490,694396,
CW,2021/05/16,30212,30187,30236,4.4,4.36,4.45,689491,688612,690370,
CW,2021/05/17,30419,30396,30443,4.43,4.4,4.47,688954,688193,689716,
CW,2021/05/18,30106,30088,30123,4.36,4.33,4.38,694032,693264,694799,
CW,2021/05/19,29823,29807,29839,4.3,4.27,4.33,696842,696004,697681,
CW,2021/05/20,28622,28574,28670,4.12,4.05,4.19,697512,696654,698370,
CW,2021/05/21,27996,27948,28045,4.03,3.96,4.11,697277,696272,698283,
CW,2021/05/22,27016,26989,27043,3.91,3.87,3.95,694243,693329,695157,
CW,2021/05/23,26673,26640,26706,3.88,3.83,3.93,690409,689468,691350,
CW,2021/05/24,26998,26946,27050,3.93,3.84,4.03,689563,688252,690875,
CW,2021/05/25,27091,27051,27131,3.92,3.85,3.99,694227,693139,695316,
CW,2021/05/26,26312,26267,26357,3.8,3.72,3.88,695924,694759,697088,
CW,2021/05/27,25659,25596,25723,3.7,3.59,3.82,696276,694816,697736,
CW,2021/05/28,25016,24911,25121,3.61,3.43,3.79,695966,694083,697850,
CW,2021/05/29,24076,23807,24345,3.49,3.01,3.97,692513,688056,696970,
CW,2021/05/30,23428,23074,23782,3.41,2.77,4.05,690869,684882,696856,
AL,2021/04/30,410,410,410,2.93,2.93,2.93,13971,13971,13971,POINT (-86.844516 32.756889)
AR,2021/04/30,204,204,204,2.67,2.67,2.67,7627,7627,7627,POINT (-92.439162 34.899825)
CT,2021/04/30,429,429,429,5.51,5.51,5.51,7786,7786,7786,POINT (-72.738288 41.575155)
DC,2021/04/30,168,168,168,6.11,6.11,6.11,2750,2750,2750,POINT (-77.016275 38.904785)
GA,2021/04/30,1426,1426,1426,7.36,7.31,7.41,19373,19354,19392,POINT (-83.426574 32.638481)
ID,2021/04/30,124,124,124,3.81,3.81,3.81,3252,3252,3252,POINT (-114.659366 44.389073)
