state,collection_date,Staffed Adult ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total Staffed Adult ICU Beds,Total LL,Total UL
CW,2021-01-16,"69,065","69,045","69,085",78.32,78.25,78.40,"88,178","88,153","88,203"
CW,2021-01-17,"67,910","67,889","67,931",77.12,77.05,77.19,"88,058","88,035","88,080"
CW,2021-01-18,"67,880","67,868","67,892",77.07,77.03,77.12,"88,070","88,057","88,084"
CW,2021-01-19,"69,114","69,098","69,130",78.45,78.40,78.49,"88,103","88,092","88,114"
CW,2021-01-20,"69,827","69,779","69,875",79.13,78.99,79.28,"88,240","88,203","88,277"
CW,2021-01-21,"69,444","69,411","69,477",78.81,78.71,78.91,"88,114","88,089","88,138"
CW,2021-01-22,"69,369","69,355","69,383",78.79,78.75,78.84,"88,040","88,024","88,055"
CW,2021-01-23,"68,277","68,258","68,296",77.83,77.76,77.89,"87,729","87,709","87,748"
CW,2021-01-24,"66,610","66,595","66,625",76.28,76.24,76.33,"87,317","87,309","87,326"
CW,2021-01-25,"66,689","66,661","66,717",76.19,76.12,76.26,"87,527","87,524","87,531"
CW,2021-01-26,"68,484","68,478","68,490",77.89,77.87,77.91,"87,924","87,918","87,930"
CW,2021-01-27,"68,581","68,553","68,609",78.13,78.01,78.25,"87,778","87,730","87,826"
CW,2021-01-28,"68,144","68,135","68,154",77.63,77.59,77.66,"87,786","87,776","87,796"
CW,2021-01-29,"67,842","67,823","67,860",77.29,77.24,77.35,"87,772","87,758","87,786"
CW,2021-01-30,"66,190","66,156","66,225",75.97,75.85,76.08,"87,128","87,093","87,164"
CW,2021-01-31,"65,025","64,988","65,062",74.99,74.86,75.13,"86,707","86,662","86,752"
CW,2021-02-01,"64,718","64,652","64,784",74.59,74.41,74.77,"86,768","86,747","86,789"
CW,2021-02-02,"66,185","66,126","66,244",76.07,75.92,76.23,"87,001","86,997","87,005"
CW,2021-02-03,"66,260","66,203","66,318",76.30,76.11,76.49,"86,841","86,783","86,899"
CW,2021-02-04,"66,006","65,979","66,032",75.99,75.90,76.07,"86,864","86,842","86,886"
CW,2021-02-05,"65,804","65,793","65,816",75.85,75.81,75.88,"86,762","86,750","86,773"
CW,2021-02-06,"64,651","64,641","64,661",74.94,74.91,74.97,"86,270","86,261","86,279"
CW,2021-02-07,"63,082","63,076","63,089",73.36,73.33,73.38,"85,994","85,983","86,004"
CW,2021-02-08,"62,852","62,834","62,870",73.09,73.03,73.15,"85,994","85,977","86,011"
CW,2021-02-09,"64,722","64,711","64,734",74.84,74.77,74.91,"86,482","86,448","86,516"
CW,2021-02-10,"65,204","65,176","65,232",75.46,75.37,75.55,"86,407","86,380","86,434"
CW,2021-02-11,"64,640","64,616","64,664",74.98,74.91,75.06,"86,204","86,180","86,228"
CW,2021-02-12,"64,212","64,189","64,235",74.54,74.46,74.63,"86,142","86,111","86,173"
CW,2021-02-13,"62,993","62,828","63,158",73.48,72.89,74.06,"85,732","85,544","85,919"
CW,2021-02-14,"61,250","60,973","61,526",71.49,70.51,72.46,"85,678","85,371","85,985"
CW,2021-02-15,"60,848","60,547","61,149",71.56,70.47,72.65,"85,030","84,678","85,382"
AL,2021-01-16,"1,559","1,559","1,559",94.95,94.95,94.95,"1,642","1,642","1,642"
AZ,2021-01-16,"1,747","1,747","1,747",74.59,74.59,74.59,"2,342","2,342","2,342"
CT,2021-01-16,642,642,642,60.74,60.74,60.74,"1,057","1,057","1,057"
DC,2021-01-16,277,277,277,82.93,82.93,82.93,334,334,334
ID,2021-01-16,202,202,202,71.63,71.63,71.63,282,282,282
IN,2021-01-16,"1,533","1,533","1,533",72.14,72.14,72.14,"2,125","2,125","2,125"
KS,2021-01-16,592,592,592,74.75,74.75,74.75,792,792,792
LA,2021-01-16,"1,446","1,446","1,446",79.63,79.63,79.63,"1,816","1,816","1,816"
MD,2021-01-16,"1,062","1,062","1,062",80.27,80.27,80.27,"1,323","1,323","1,323"
MI,2021-01-16,"1,959","1,945","1,973",74.77,72.95,76.59,"2,620","2,600","2,640"
AL,2021-01-17,"1,547","1,547","1,547",94.33,94.33,94.33,"1,640","1,640","1,640"
AZ,2021-01-17,"1,729","1,729","1,729",73.92,73.92,73.92,"2,339","2,339","2,339"
CT,2021-01-17,635,635,635,60.08,60.08,60.08,"1,057","1,057","1,057"
DC,2021-01-17,257,257,257,80.82,80.82,80.82,318,318,318
ID,2021-01-17,201,201,201,67.91,67.91,67.91,296,296,296
IN,2021-01-17,"1,496","1,495","1,498",69.86,69.86,69.86,"2,142","2,142","2,142"
KS,2021-01-17,584,584,584,73.92,73.92,73.92,790,790,790
LA,2021-01-17,"1,442","1,442","1,442",79.62,79.62,79.62,"1,811","1,811","1,811"
MD,2021-01-17,"1,033","1,033","1,033",78.56,78.56,78.56,"1,315","1,315","1,315"
MI,2021-01-17,"1,894","1,894","1,894",73.27,73.27,73.27,"2,585","2,585","2,585"
AL,2021-01-18,"1,570","1,562","1,577",96.35,95.21,97.48,"1,629","1,624","1,634"
AZ,2021-01-18,"1,701","1,701","1,701",73.45,73.45,73.45,"2,316","2,316","2,316"
CT,2021-01-18,633,633,633,59.89,59.89,59.89,"1,057","1,057","1,057"
DC,2021-01-18,260,260,260,84.42,84.42,84.42,308,308,308
ID,2021-01-18,195,195,195,65.88,65.88,65.88,296,296,296
IN,2021-01-18,"1,501","1,501","1,501",70.04,70.04,70.04,"2,143","2,143","2,143"
KS,2021-01-18,597,597,597,75.28,75.28,75.28,793,793,793
LA,2021-01-18,"1,434","1,433","1,434",78.50,78.50,78.50,"1,826","1,826","1,826"
MD,2021-01-18,"1,024","1,024","1,024",77.11,77.11,77.11,"1,328","1,328","1,328"
MI,2021-01-18,"1,882","1,881","1,882",72.62,72.62,72.62,"2,591","2,591","2,591"
AL,2021-01-19,"1,540","1,540","1,540",94.77,94.77,94.77,"1,625","1,625","1,625"
AZ,2021-01-19,"1,681","1,681","1,681",73.25,73.25,73.25,"2,295","2,295","2,295"
CT,2021-01-19,641,641,641,60.82,60.82,60.82,"1,054","1,054","1,054"
DC,2021-01-19,269,269,269,82.26,82.26,82.26,327,327,327
ID,2021-01-19,208,208,208,70.51,70.51,70.51,295,295,295
IN,2021-01-19,"1,561","1,561","1,561",72.81,72.81,72.81,"2,144","2,144","2,144"
KS,2021-01-19,620,620,620,77.69,77.69,77.69,798,798,798
LA,2021-01-19,"1,407","1,407","1,407",77.27,77.27,77.27,"1,821","1,821","1,821"
MD,2021-01-19,"1,033","1,033","1,033",78.85,78.85,78.85,"1,310","1,310","1,310"
MI,2021-01-19,"1,987","1,987","1,987",76.22,76.22,76.22,"2,607","2,607","2,607"
