state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage
AK,1,22,1,1,22,1,0,24,1625,24,1026,24,32,24,8,24,0,24,0,24,0,24,79,24,7,24,7,24,32,24,31,24,0,24,0,24,125,24,0.631384615384615,24,1026,1625,0.031189083820663,24,32,1026,0.019692307692308,24,32,1625,0.056,24,7,125,0.632,24,79,125,2021/07/06,,0,24,1,24,0,24,2,24,2,24,3,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24
AL,30,74,13,31,73,13,3,113,15465,117,11607,117,346,113,44,115,85,113,1,113,16,113,1327,117,100,113,91,115,335,113,255,115,11,113,5,113,1631,117,0.750533462657614,117,11607,15465,0.030197242101588,113,346,11458,0.02268554943614,113,346,15252,0.062774639045825,113,100,1593,0.81361128142244,117,1327,1631,2021/07/06,,0,115,4,115,4,115,10,115,8,115,8,115,8,115,2,115,0,115,1,113,7,113,8,113,11,113,12,113,18,113,15,113,13,113,0,113,4,113
AR,17,92,2,18,91,2,4,109,9471,111,7095,111,531,109,103,111,80,109,0,109,17,109,748,111,170,109,173,111,522,109,483,111,9,109,5,109,1008,111,0.749128919860627,111,7095,9471,0.075053003533569,109,531,7075,0.056285774856901,109,531,9434,0.170682730923695,109,170,996,0.742063492063492,111,748,1008,2021/07/06,,1,111,5,111,12,111,14,111,22,111,18,111,9,111,9,111,13,111,2,109,3,109,6,109,7,109,11,109,19,109,17,109,15,109,0,109,9,109
AZ,26,95,3,29,92,3,2,121,17185,124,12090,124,551,121,51,124,96,121,1,121,0,121,1131,124,165,121,113,124,543,121,379,124,8,121,6,121,2216,124,0.703520512074484,124,12090,17185,0.046392186579102,121,551,11877,0.032618991238456,121,551,16892,0.076744186046512,121,165,2150,0.510379061371841,124,1131,2216,2021/07/06,,0,124,3,124,5,124,11,124,6,124,9,124,8,124,8,124,1,124,2,121,8,121,5,121,11,121,18,121,14,121,19,121,19,121,0,121,8,121
CA,66,310,40,81,294,41,43,408,63537,416,48101,416,1683,406,237,416,335,408,6,406,6,406,4729,414,353,406,330,414,1647,406,1396,414,36,406,26,406,6847,414,0.757054944363127,416,48101,63537,0.035453970929008,406,1683,47470,0.02683654106804,406,1683,62713,0.052883895131086,406,353,6675,0.690667445596612,414,4729,6847,2021/07/06,,2,414,25,414,31,414,48,414,34,413,40,414,28,414,28,414,1,414,2,406,22,406,39,406,23,406,48,406,76,406,74,406,49,406,2,406,18,406
CO,7,78,20,6,79,20,4,103,11634,105,8076,105,340,103,58,105,47,103,4,103,6,103,906,105,105,103,103,105,332,103,276,105,8,103,3,103,1278,105,0.694172253739041,105,8076,11634,0.042547866349643,103,340,7991,0.029485734108057,103,340,11531,0.084067253803042,103,105,1249,0.708920187793427,105,906,1278,2021/07/06,,0,105,3,105,7,104,13,104,15,104,10,105,7,104,3,104,0,105,1,103,5,102,9,102,9,102,4,102,8,103,5,102,4,102,2,103,3,103
CT,0,35,4,0,35,4,6,38,8178,39,6417,39,59,38,9,39,22,38,0,38,0,38,543,39,11,38,10,39,57,38,31,39,2,38,0,38,1052,39,0.784666177549523,39,6417,8178,0.009281107440617,38,59,6357,0.007292954264524,38,59,8090,0.010679611650485,38,11,1030,0.51615969581749,39,543,1052,2021/07/06,,0,39,2,39,0,39,0,39,3,39,0,39,2,39,2,39,0,39,0,38,1,38,3,38,3,38,0,38,7,38,1,38,7,38,0,38,0,38
DC,0,12,2,0,12,2,0,12,3457,14,2666,14,36,13,0,14,50,13,1,13,1,13,257,14,2,12,2,13,30,13,16,14,6,13,4,13,337,14,0.77118889210298,14,2666,3457,0.013937282229965,13,36,2583,0.010788133053641,13,36,3337,0.006191950464396,12,2,323,0.762611275964392,14,257,337,2021/07/06,,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,13,4,13,23,13,3,13,6,13,2,13,6,13,6,13,0,13,0,12
DE,1,12,2,1,12,2,0,14,3290,15,2538,15,39,14,0,15,36,14,2,14,1,14,145,15,7,14,6,15,35,14,18,15,4,14,3,14,190,15,0.771428571428572,15,2538,3290,0.015439429928741,14,39,2526,0.011970534069982,14,39,3258,0.038461538461538,14,7,182,0.763157894736842,15,145,190,2021/07/06,,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,14,1,14,4,14,1,14,8,14,3,14,11,14,7,14,1,14,0,14
FL,7,203,58,7,203,58,73,262,58854,268,45637,268,2900,262,479,268,169,262,13,262,11,262,5038,268,633,262,619,268,2855,262,2562,268,45,262,39,262,6468,268,0.775427328643762,268,45637,58854,0.064483134325039,262,2900,44973,0.050106259826874,262,2900,57877,0.100876494023904,262,633,6275,0.77891156462585,268,5038,6468,2021/07/06,,2,268,34,267,46,268,82,267,93,268,72,267,65,268,66,268,19,268,2,262,9,262,15,262,22,262,19,262,35,262,38,262,29,262,0,262,25,262
