state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2020-09-23,"505,400","503,950","506,850",68.85,68.44,69.27,"715,659","709,872","721,446"
CW,2020-09-24,"505,715","504,284","507,146",68.87,68.47,69.26,"716,510","710,966","722,054"
CW,2020-09-25,"503,399","501,955","504,842",68.48,68.06,68.91,"717,036","711,485","722,586"
CW,2020-09-26,"485,642","484,077","487,207",66.37,65.87,66.86,"713,448","707,878","719,019"
CW,2020-09-27,"471,420","469,899","472,941",64.61,64.10,65.11,"711,734","706,170","717,298"
CW,2020-09-28,"475,288","473,862","476,713",65.24,64.81,65.66,"711,140","705,799","716,480"
CW,2020-09-29,"500,210","498,829","501,591",68.45,68.02,68.89,"714,573","709,324","719,822"
CW,2020-09-30,"509,547","508,285","510,810",69.56,69.21,69.91,"716,361","711,213","721,509"
CW,2020-10-01,"509,216","507,894","510,539",69.83,68.68,70.99,"719,130","713,893","724,368"
CW,2020-10-02,"504,089","501,355","506,822",69.12,67.74,70.51,"718,815","713,756","723,873"
CW,2020-10-03,"485,680","484,191","487,169",66.71,65.56,67.86,"717,409","712,336","722,482"
CW,2020-10-04,"468,775","467,160","470,389",64.71,63.56,65.86,"714,369","709,363","719,376"
CW,2020-10-05,"474,072","472,726","475,417",65.51,64.48,66.53,"715,987","711,434","720,540"
CW,2020-10-06,"501,972","500,700","503,245",68.86,67.90,69.81,"720,225","715,997","724,453"
CW,2020-10-07,"513,901","512,637","515,165",70.38,69.54,71.22,"724,110","720,326","727,894"
CW,2020-10-08,"515,983","513,259","518,706",70.56,69.62,71.49,"725,255","722,862","727,648"
CW,2020-10-09,"512,625","511,620","513,630",69.71,69.36,70.07,"729,217","727,252","731,181"
CW,2020-10-10,"495,260","493,771","496,749",67.51,66.85,68.18,"729,154","726,729","731,580"
CW,2020-10-11,"480,341","478,351","482,332",65.68,64.77,66.58,"726,859","723,816","729,902"
CW,2020-10-12,"483,940","482,129","485,750",66.04,65.21,66.86,"729,152","726,539","731,764"
CW,2020-10-13,"509,284","507,395","511,173",69.14,68.28,70.00,"733,543","730,875","736,211"
CW,2020-10-14,"519,003","516,984","521,021",70.28,69.38,71.19,"735,408","732,639","738,177"
CW,2020-10-15,"517,991","515,948","520,033",70.20,69.29,71.11,"734,667","731,906","737,427"
CW,2020-10-16,"513,891","512,003","515,778",69.69,68.86,70.53,"734,159","731,643","736,675"
CW,2020-10-17,"495,611","493,598","497,623",67.50,66.61,68.39,"730,994","728,317","733,671"
CW,2020-10-18,"479,877","477,869","481,884",65.51,64.63,66.39,"729,189","726,593","731,785"
CW,2020-10-19,"484,913","483,021","486,804",65.99,65.16,66.82,"731,498","729,047","733,949"
CW,2020-10-20,"509,565","508,297","510,832",68.96,68.40,69.52,"735,711","733,947","737,475"
CW,2020-10-21,"519,920","518,542","521,298",70.13,69.52,70.74,"738,113","736,197","740,028"
CW,2020-10-22,"520,506","518,935","522,076",70.09,69.40,70.79,"739,342","737,169","741,516"
CW,2020-10-23,"518,612","516,373","520,851",70.32,69.32,71.32,"734,282","731,201","737,363"
AL,2020-09-23,"10,122","10,101","10,143",72.49,72.06,72.92,"13,964","13,930","13,998"
AR,2020-09-23,"5,383","5,368","5,398",68.98,68.36,69.60,"7,769","7,725","7,813"
CA,2020-09-23,"43,440","43,198","43,682",71.38,69.94,72.82,"60,857","60,466","61,248"
CT,2020-09-23,"6,062","6,062","6,062",74.78,74.78,74.78,"8,106","8,106","8,106"
DC,2020-09-23,"2,345","2,345","2,345",80.70,80.70,80.70,"2,906","2,906","2,906"
GA,2020-09-23,"14,333","13,792","14,874",78.02,69.03,87.01,"18,371","17,743","18,999"
ID,2020-09-23,"1,765","1,765","1,765",49.52,49.52,49.52,"3,564","3,564","3,564"
IN,2020-09-23,"10,325","10,308","10,342",63.85,63.44,64.26,"16,171","16,140","16,202"
KS,2020-09-23,"4,370","4,111","4,629",59.71,56.58,62.84,"7,126","6,722","7,530"
LA,2020-09-23,"9,018","9,018","9,018",68.27,68.27,68.27,"12,708","12,445","12,971"
MD,2020-09-23,"8,183","8,183","8,183",79.90,79.90,79.90,"10,241","10,241","10,241"
MI,2020-09-23,"16,759","16,759","16,759",75.87,75.87,75.87,"22,088","22,088","22,088"
AL,2020-09-24,"9,960","9,945","9,976",71.26,71.05,71.47,"13,978","13,956","14,000"
AR,2020-09-24,"5,441","5,427","5,455",68.86,68.41,69.32,"7,862","7,821","7,904"
CA,2020-09-24,"43,221","43,100","43,342",71.25,70.62,71.88,"60,663","60,512","60,814"
CT,2020-09-24,"6,163","6,153","6,174",75.62,74.99,76.24,"8,151","8,125","8,177"
DC,2020-09-24,"2,379","2,301","2,457",82.38,82.38,82.38,"2,888","2,888","2,888"
GA,2020-09-24,"14,421","13,902","14,941",78.53,69.93,87.14,"18,363","17,763","18,964"
ID,2020-09-24,"1,791","1,791","1,791",49.92,49.92,49.92,"3,588","3,588","3,588"
IN,2020-09-24,"10,273","10,140","10,406",63.60,60.96,66.24,"16,152","15,986","16,318"
KS,2020-09-24,"4,307","4,064","4,550",58.74,56.71,60.76,"7,154","6,773","7,535"
LA,2020-09-24,"8,972","8,958","8,985",68.08,67.58,68.57,"12,685","12,419","12,950"
MD,2020-09-24,"8,224","8,224","8,224",79.84,79.84,79.84,"10,301","10,301","10,301"
MI,2020-09-24,"16,618","16,614","16,621",75.31,75.22,75.41,"22,065","22,054","22,076"
AL,2020-09-25,"9,925","9,909","9,942",71.27,70.90,71.63,"13,927","13,896","13,958"
AR,2020-09-25,"5,366","5,242","5,491",68.05,62.46,73.65,"7,846","7,649","8,043"
CA,2020-09-25,"43,061","42,880","43,242",70.61,69.48,71.74,"60,982","60,662","61,302"
CT,2020-09-25,"6,119","6,107","6,131",75.32,74.58,76.06,"8,124","8,093","8,155"
DC,2020-09-25,"2,371","2,371","2,371",82.33,82.33,82.33,"2,880","2,880","2,880"
GA,2020-09-25,"14,352","13,870","14,834",78.31,70.30,86.33,"18,326","17,766","18,886"
ID,2020-09-25,"1,775","1,774","1,776",49.51,49.51,49.51,"3,585","3,585","3,585"
IN,2020-09-25,"10,188","10,180","10,197",63.06,62.83,63.29,"16,157","16,138","16,176"
