state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,2,68,9326,70,5145,70,518,68,436,70,68,68,41,61,487,68,317,61,31,68,6,60,685,70,0.5516834655800986,70,5145,9326,0.10473109583501819,68,518,4946,0.057250221043324494,68,518,9048,0.10742496050552923,68,68,633,0.6364963503649635,70,436,685,2020-10-30
RI,7,14,2258,15,1865,14,194,14,116,15,24,14,23,15,192,14,189,15,2,14,2,14,164,15,0.8259521700620017,14,1865,2258,0.1061269146608315,13,194,1828,0.0892774965485504,14,194,2173,0.1610738255033557,14,24,149,0.7073170731707317,15,116,164,2020-10-30
SC,5,73,9800,75,7600,75,735,73,939,75,199,73,193,75,733,73,661,75,2,73,1,73,1290,75,0.7755102040816326,75,7600,9800,0.09784345047923322,73,735,7512,0.07626854830341392,73,735,9637,0.159967845659164,73,199,1244,0.727906976744186,75,939,1290,2020-10-30
SD,86,58,3090,61,1866,61,458,58,151,61,81,58,82,61,476,58,453,61,3,58,3,58,215,61,0.6038834951456311,61,1866,3090,0.25206384149697303,58,458,1817,0.15276851234156105,58,458,2998,0.40703517587939697,58,81,199,0.7023255813953488,61,151,215,2020-10-30
TN,27,106,18757,123,12971,120,1546,106,1659,119,452,105,425,105,1534,106,1411,106,12,106,10,106,2029,122,0.7125357064381455,120,12971,18204,0.12470759054609987,106,1546,12397,0.08986282259939549,106,1546,17204,0.24017003188097769,105,452,1882,0.8412778904665315,119,1659,1972,2020-10-30
TX,104,586,65249,586,46109,586,6372,586,5645,586,1772,586,1642,586,6293,586,5640,586,79,586,44,586,7312,586,0.7066621710677559,586,46109,65249,0.13819427877420895,586,6372,46109,0.09765666906772517,586,6372,65249,0.24234135667396062,586,1772,7312,0.7720185995623632,586,5645,7312,2020-10-30
UT,0,52,5596,53,3024,53,381,52,406,53,145,52,137,53,377,52,356,53,4,52,0,52,634,53,0.540385989992852,53,3024,5596,0.12776659959758552,52,381,2982,0.06920980926430517,52,381,5505,0.23237179487179488,52,145,624,0.6403785488958991,53,406,634,2020-10-30
VA,21,97,18233,100,11029,100,990,97,1269,100,217,97,179,100,970,97,686,100,20,97,13,97,2049,99,0.6048922283771184,100,11029,18233,0.09084235639566893,97,990,10898,0.055094885636373755,97,990,17969,0.10943015632879476,96,217,1983,0.6193265007320644,99,1269,2049,2020-10-30
VI,0,2,168,2,92,2,3,2,12,2,1,2,1,2,3,2,3,2,0,2,0,2,20,2,0.5476190476190477,2,92,168,0.03260869565217391,2,3,92,0.017857142857142856,2,3,168,0.05,2,1,20,0.6,2,12,20,2020-10-30
VT,0,15,763,16,403,16,6,15,34,16,3,15,3,16,6,15,3,16,0,15,0,15,67,16,0.528178243774574,16,403,763,0.015873015873015872,15,6,378,0.008264462809917356,15,6,726,0.05,15,3,60,0.5074626865671642,16,34,67,2020-10-30
WA,7,88,8447,82,8392,97,561,95,890,97,128,95,110,97,475,95,380,97,86,95,2,95,1075,88,0.6496981176749141,82,5488,8447,0.0675578034682081,95,561,8304,0.04208248166406156,80,350,8317,0.09021842355175688,86,95,1053,0.6641860465116279,88,714,1075,2020-10-30
WI,25,144,13253,147,8555,146,1944,144,1070,146,389,144,398,147,1923,144,1800,147,18,144,3,144,1636,147,0.6455142231947484,146,8555,13253,0.2327241921820162,143,1923,8263,0.15084969348956312,144,1944,12887,0.24903969270166454,144,389,1562,0.6540342298288508,146,1070,1636,2020-10-30
WV,12,55,6101,59,4299,59,366,55,493,59,97,55,83,59,365,55,326,59,1,55,1,55,658,59,0.7046385838387149,59,4299,6101,0.08699786070834324,55,366,4207,0.062012876990850556,55,366,5902,0.15980230642504117,55,97,607,0.7492401215805471,59,493,658,2020-10-30
AK,1,22,1425,22,843,22,97,22,84,22,22,21,19,21,96,22,79,22,1,22,1,22,126,22,0.5915789473684211,22,843,1425,0.11506524317912219,22,97,843,0.06807017543859649,22,97,1425,0.1746031746031746,21,22,126,0.6666666666666666,22,84,126,2020-10-30
AL,4,104,14910,106,10573,106,1170,104,1277,106,328,104,316,106,1160,104,1048,106,10,103,7,104,1553,106,0.709121395036888,106,10573,14910,0.11183330147199388,103,1170,10462,0.07939200651421592,103,1170,14737,0.2165016501650165,103,328,1515,0.8222794591113973,106,1277,1553,2020-10-30
AR,12,88,8727,89,5211,90,712,88,762,90,232,88,213,90,704,88,602,90,8,88,2,88,1053,90,0.5971124097628051,89,5211,8727,0.13990960896050306,88,712,5089,0.08352885969028626,87,712,8524,0.2308457711442786,88,232,1005,0.7236467236467237,90,762,1053,2020-10-30
AZ,9,95,14134,98,9314,98,952,95,1043,98,240,95,188,98,935,95,692,98,17,95,7,95,1918,98,0.6589783500778266,98,9314,14134,0.10423738092631119,95,952,9133,0.06869678164237264,95,952,13858,0.12958963282937366,95,240,1852,0.5437956204379562,98,1043,1918,2020-10-30
