state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state
PR,1,20,47,2,19,47,3,67,9029,68,5579,68,444,67,250,68,822,67,1,67,9,67,493,68,69,67,54,68,414,67,365,68,30,67,19,67,688,68,0.617897884594086,68,5579,9029,0.08155767817781,67,444,5444,0.050175161035145,67,444,8849,0.105022831050228,67,69,657,0.71656976744186,68,493,688,2021/04/10,POINT (-66.414655 18.215692)
RI,4,8,2,4,8,2,1,13,2570,14,2343,14,185,13,14,14,0,13,0,13,0,13,143,14,35,13,34,14,183,13,145,14,2,13,2,13,177,14,0.911673151750973,14,2343,2570,0.080539834566826,13,185,2297,0.074148296593186,13,185,2495,0.221518987341772,13,35,158,0.807909604519774,14,143,177,2021/04/10,POINT (-71.534637 41.572574)
SC,19,64,2,19,64,2,1,83,11275,85,8928,85,572,83,67,85,42,83,0,83,2,83,999,85,140,83,139,85,567,83,531,85,5,83,3,83,1340,85,0.791840354767184,85,8928,11275,0.064771826520213,83,572,8831,0.051485148514851,83,572,11110,0.107775211701309,83,140,1299,0.745522388059702,85,999,1340,2021/04/10,POINT (-80.864614 33.878572)
SD,1,61,3,2,60,3,25,62,2816,65,1677,65,109,62,10,65,11,62,0,62,0,62,128,65,20,62,17,65,107,62,74,65,2,62,1,62,237,65,0.595525568181818,65,1677,2816,0.066261398176292,62,109,1645,0.039650782102583,62,109,2749,0.088495575221239,62,20,226,0.540084388185654,65,128,237,2021/04/10,POINT (-100.230491 44.43614)
TN,12,89,41,30,71,41,16,101,20372,142,13276,128,781,101,89,101,59,101,0,101,3,101,1685,139,245,101,218,101,775,101,692,101,6,101,4,101,2378,142,0.692974214427393,128,13276,19158,0.067229060859086,101,781,11617,0.047104945717732,101,781,16580,0.114593077642657,101,245,2138,0.725980180956484,139,1685,2321,2021/04/10,POINT (-86.343226 35.842998)
TX,98,491,5,108,481,5,76,589,69779,594,50283,594,3471,589,408,594,515,589,24,589,60,589,5728,594,932,589,872,594,3374,589,2836,594,97,589,63,589,7298,593,0.720603620000287,594,50283,69779,0.069914998187165,589,3471,49646,0.050291957054059,589,3471,69017,0.130880494312597,588,932,7121,0.784872567826802,593,5728,7298,2021/04/10,POINT (-99.317341 31.447238)
UT,0,56,1,0,56,1,0,56,5831,57,3534,57,156,56,21,57,4,56,1,56,0,56,393,57,57,56,59,57,154,56,151,57,2,56,0,56,625,57,0.606070999828503,57,3534,5831,0.04473759678807,56,156,3487,0.027102154273801,56,156,5756,0.093904448105437,56,57,607,0.6288,57,393,625,2021/04/10,POINT (-111.678222 39.323779)
VA,15,81,9,22,74,9,25,102,18145,105,13662,105,1049,102,121,105,219,102,2,102,8,102,1393,105,237,102,230,105,1032,102,872,105,17,102,9,102,1974,105,0.752934692752824,105,13662,18145,0.077726733847066,102,1049,13496,0.058695165622202,102,1049,17872,0.124540199684708,102,237,1903,0.705673758865248,105,1393,1974,2021/04/10,POINT (-78.666382 37.510861)
VI,2,0,0,2,0,0,0,2,168,2,83,2,4,2,0,2,0,2,0,2,0,2,7,2,4,2,4,2,4,2,4,2,0,2,0,2,20,2,0.494047619047619,2,83,168,0.048192771084337,2,4,83,0.023809523809524,2,4,168,0.2,2,4,20,0.35,2,7,20,2021/04/10,POINT (-64.840836 18.060868)
VT,1,15,1,1,15,1,0,16,1305,17,860,17,29,16,3,17,6,16,0,16,0,16,60,17,4,16,5,17,29,16,30,17,0,16,0,16,102,17,0.659003831417624,17,860,1305,0.034813925570228,16,29,833,0.022870662460568,16,29,1268,0.042105263157895,16,4,95,0.588235294117647,17,60,102,2021/04/10,POINT (-72.662695 44.075252)
