state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL,geocoded_state
CW,2021/05/29,23788,23774,23802,3.46,3.43,3.48,691399,691058,691740,
CW,2021/05/30,23148,23114,23182,3.37,3.31,3.43,688923,688442,689404,
CW,2021/05/31,23269,23239,23298,3.4,3.35,3.44,688276,688142,688411,
CW,2021/06/01,23485,23477,23494,3.42,3.41,3.44,689243,689067,689419,
CW,2021/06/02,23039,23026,23053,3.33,3.31,3.35,694488,694361,694616,
CW,2021/06/03,22567,22543,22592,3.26,3.21,3.3,695668,695267,696070,
CW,2021/06/04,21648,21629,21667,3.13,3.09,3.17,694873,694403,695342,
CW,2021/06/05,20797,20778,20816,3.02,2.97,3.06,692588,692041,693134,
CW,2021/06/06,20479,20435,20522,2.98,2.91,3.06,689358,689083,689634,
CW,2021/06/07,20524,20475,20573,2.99,2.9,3.07,689823,689562,690085,
CW,2021/06/08,20454,20431,20478,2.96,2.91,3,694299,693836,694762,
CW,2021/06/09,19987,19941,20034,2.88,2.8,2.96,696663,696420,696906,
CW,2021/06/10,19264,19256,19273,2.78,2.76,2.8,696104,695883,696326,
CW,2021/06/11,18651,18633,18669,2.69,2.66,2.73,696044,695755,696332,
CW,2021/06/12,18155,18132,18178,2.62,2.57,2.68,694685,693988,695381,
CW,2021/06/13,17937,17906,17969,2.61,2.55,2.67,690890,690435,691345,
CW,2021/06/14,18351,18327,18375,2.67,2.62,2.72,690312,689861,690762,
CW,2021/06/15,18246,18232,18259,2.64,2.61,2.67,693894,693480,694308,
CW,2021/06/16,17847,17826,17869,2.58,2.53,2.62,695804,695435,696172,
CW,2021/06/17,17330,17300,17359,2.51,2.45,2.57,694433,693876,694990,
CW,2021/06/18,17036,17012,17060,2.47,2.42,2.53,691497,690835,692160,
CW,2021/06/19,16684,16651,16718,2.43,2.36,2.5,688484,687780,689189,
CW,2021/06/20,16482,16444,16520,2.42,2.34,2.49,684531,684062,685000,
CW,2021/06/21,16707,16683,16730,2.45,2.39,2.51,685004,684050,685957,
CW,2021/06/22,16786,16753,16819,2.44,2.38,2.51,689763,689381,690145,
CW,2021/06/23,16660,16622,16699,2.41,2.34,2.49,692847,692232,693463,
CW,2021/06/24,16416,16369,16464,2.38,2.28,2.47,693375,692538,694212,
CW,2021/06/25,16310,16248,16373,2.36,2.24,2.49,692623,691411,693836,
CW,2021/06/26,16053,15953,16153,2.34,2.13,2.54,689481,687700,691262,
CW,2021/06/27,15890,15799,15981,2.32,2.13,2.52,687224,685283,689164,
CW,2021/06/28,16191,16026,16356,2.36,2,2.72,688686,684694,692678,
AK,2021/05/29,15,15,15,1.02,1.02,1.02,1468,1468,1468,POINT (-151.631889 63.631126)
AL,2021/05/29,343,343,343,2.48,2.48,2.48,13854,13854,13854,POINT (-86.844516 32.756889)
AR,2021/05/29,206,206,206,2.68,2.68,2.68,7684,7684,7684,POINT (-92.439162 34.899825)
CA,2021/05/29,1375,1368,1382,2.34,2.14,2.54,58766,58511,59021,POINT (-119.662127 37.211164)
CO,2021/05/29,508,508,508,5.1,5.1,5.1,9965,9965,9965,POINT (-105.547832 38.998552)
CT,2021/05/29,129,129,129,1.66,1.66,1.66,7780,7780,7780,POINT (-72.738288 41.575155)
DC,2021/05/29,126,126,126,4.6,4.6,4.6,2739,2739,2739,POINT (-77.016275 38.904785)
DE,2021/05/29,67,67,67,2.46,2.46,2.46,2729,2729,2729,POINT (-75.452394 38.994926)
FL,2021/05/29,2379,2379,2379,4.63,4.63,4.63,52307,52307,52307,POINT (-82.420978 28.260731)
GA,2021/05/29,890,890,890,4.64,4.64,4.64,19172,19172,19172,POINT (-83.426574 32.638481)
HI,2021/05/29,63,63,63,2.55,2.55,2.55,2469,2469,2469,POINT (-157.854309 21.361013)
IA,2021/05/29,199,199,199,2.63,2.63,2.63,7670,7670,7670,POINT (-93.500061 42.074659)
ID,2021/05/29,111,111,111,3.4,3.4,3.4,3264,3264,3264,POINT (-114.659366 44.389073)
IL,2021/05/29,1133,1132,1134,3.97,3.97,3.97,28541,28499,28583,POINT (-89.148632 40.124144)
IN,2021/05/29,664,664,664,3.93,3.93,3.93,16879,16879,16879,POINT (-86.2818 39.919991)
