state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage
PA,27,176,6,31,172,6,15,203,27748,209,20823,209,1328,203,79,209,279,203,2,197,28,197,2407,209,286,203,255,209,1281,203,891,209,47,202,29,202,3373,209,0.75043246360098,209,20823,27748,0.064375393863008,203,1328,20629,0.048522050495086,203,1328,27369,0.087435035157444,203,286,3271,0.713608064037948,209,2407,3373,2021/05/27,,0,206,2,204,7,205,11,205,13,204,13,204,14,206,10,205,9,188,1,199,20,199,21,199,24,199,39,198,57,198,60,198,53,198,4,182
PR,0,11,55,0,11,55,15,65,8973,66,5245,66,173,65,1,66,15,65,0,65,8,65,448,66,30,65,26,66,148,65,115,66,25,65,1,65,683,66,0.584531371893458,66,5245,8973,0.033598757040202,65,173,5149,0.019674741271466,65,173,8793,0.04601226993865,65,30,652,0.65592972181552,66,448,683,2021/05/27,,0,66,0,66,1,66,0,66,0,66,0,66,0,66,0,66,0,66,1,65,3,65,6,65,1,65,1,65,1,65,0,65,1,65,1,65
RI,4,9,1,4,9,1,5,13,2501,14,2193,14,101,13,1,14,0,13,0,13,0,13,126,14,12,13,11,14,100,13,62,14,1,13,1,13,169,14,0.876849260295882,14,2193,2501,0.047130191320579,13,101,2143,0.041580897488678,13,101,2429,0.08,13,12,150,0.745562130177515,14,126,169,2021/05/27,,0,14,0,14,0,14,0,14,0,14,0,14,1,14,0,14,0,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
SC,18,47,2,18,47,2,0,65,9055,67,6528,67,198,65,16,67,14,65,0,65,0,65,727,67,55,65,45,67,194,65,175,67,4,65,1,65,1162,67,0.720927664273882,67,6528,9055,0.030745341614907,65,198,6440,0.022267206477733,65,198,8892,0.049063336306869,65,55,1121,0.625645438898451,67,727,1162,2021/05/27,,1,67,0,67,3,67,4,67,1,67,3,67,3,67,1,67,0,62,0,65,0,65,2,65,1,65,2,65,3,65,2,65,2,65,2,60
SD,1,59,3,1,59,3,3,60,2586,63,1306,63,39,60,3,63,2,60,0,60,1,60,119,63,14,60,10,63,36,60,30,63,3,60,1,60,239,63,0.505027068832173,63,1306,2586,0.030350194552529,60,39,1285,0.015482334259627,60,39,2519,0.06140350877193,60,14,228,0.497907949790795,63,119,239,2021/05/27,,0,63,1,63,0,63,0,63,0,63,2,63,0,63,0,63,0,63,0,60,0,60,0,60,0,60,0,60,1,60,1,60,0,60,0,60
TN,7,56,78,8,55,78,2,63,20069,141,12436,125,310,63,19,63,32,63,0,63,0,63,1654,138,115,63,111,63,308,63,257,63,2,63,2,63,2434,141,0.659804753820034,125,12436,18848,0.045574830932079,63,310,6802,0.029072493669699,63,310,10663,0.073623559539052,63,115,1562,0.689453939141309,138,1654,2399,2021/05/27,,0,63,1,63,4,63,4,63,3,63,3,63,2,63,2,63,0,63,0,63,3,63,2,63,6,63,5,63,7,63,3,63,6,63,0,63
TX,91,486,13,120,457,13,62,585,66350,590,45280,590,2006,585,178,590,324,585,10,585,38,585,4952,590,616,585,564,590,1941,585,1660,590,65,585,45,585,6789,590,0.682441597588546,590,45280,66350,0.044820806148896,585,2006,44756,0.030587194852325,585,2006,65583,0.09310761789601,585,616,6616,0.729415230519959,590,4952,6789,2021/05/27,,3,590,15,590,22,590,32,590,30,590,31,590,16,590,18,590,11,590,1,584,32,584,29,584,40,584,33,585,58,584,55,584,22,585,54,585
UT,1,51,1,4,48,1,0,52,5489,53,3173,53,143,52,19,53,2,52,4,52,0,52,363,53,44,52,44,53,138,52,132,53,5,52,0,52,631,53,0.578065221351794,53,3173,5489,0.04576,52,143,3125,0.026422764227642,52,143,5412,0.071778140293638,52,44,613,0.575277337559429,53,363,631,2021/05/27,,0,53,2,53,3,53,2,53,3,53,4,53,3,53,2,53,0,53,0,52,0,52,0,52,1,52,1,52,0,52,0,52,0,52,0,52
VA,14,71,9,21,64,9,18,91,17156,94,11299,94,477,91,47,94,162,91,3,91,16,91,1237,94,123,91,109,94,462,91,365,94,15,91,8,91,1930,94,0.65860340405689,94,11299,17156,0.042688383747986,91,477,11174,0.028228192685525,91,477,16898,0.0656,91,123,1875,0.640932642487047,94,1237,1930,2021/05/27,,2,94,6,94,2,94,3,94,8,94,10,94,10,94,5,94,1,94,1,91,9,91,15,91,17,91,25,91,39,91,29,91,27,91,0,91
VI,2,0,0,2,0,0,0,2,168,2,78,2,5,2,0,2,0,2,0,2,0,2,8,2,1,2,1,2,5,2,5,2,0,2,0,2,20,2,0.464285714285714,2,78,168,0.064102564102564,2,5,78,0.029761904761905,2,5,168,0.05,2,1,20,0.4,2,8,20,2021/05/27,,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2
