state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start,geocoded_state,previous_day_admission_adult_covid_confirmed_18-19,previous_day_admission_adult_covid_confirmed_18-19_coverage,previous_day_admission_adult_covid_confirmed_20-29,previous_day_admission_adult_covid_confirmed_20-29_coverage,previous_day_admission_adult_covid_confirmed_30-39,previous_day_admission_adult_covid_confirmed_30-39_coverage,previous_day_admission_adult_covid_confirmed_40-49,previous_day_admission_adult_covid_confirmed_40-49_coverage,previous_day_admission_adult_covid_confirmed_50-59,previous_day_admission_adult_covid_confirmed_50-59_coverage,previous_day_admission_adult_covid_confirmed_60-69,previous_day_admission_adult_covid_confirmed_60-69_coverage,previous_day_admission_adult_covid_confirmed_70-79,previous_day_admission_adult_covid_confirmed_70-79_coverage,previous_day_admission_adult_covid_confirmed_80+,previous_day_admission_adult_covid_confirmed_80+_coverage,previous_day_admission_adult_covid_confirmed_unknown,previous_day_admission_adult_covid_confirmed_unknown_coverage,previous_day_admission_adult_covid_suspected_18-19,previous_day_admission_adult_covid_suspected_18-19_coverage,previous_day_admission_adult_covid_suspected_20-29,previous_day_admission_adult_covid_suspected_20-29_coverage,previous_day_admission_adult_covid_suspected_30-39,previous_day_admission_adult_covid_suspected_30-39_coverage,previous_day_admission_adult_covid_suspected_40-49,previous_day_admission_adult_covid_suspected_40-49_coverage,previous_day_admission_adult_covid_suspected_50-59,previous_day_admission_adult_covid_suspected_50-59_coverage,previous_day_admission_adult_covid_suspected_60_69,previous_day_admission_adult_covid_suspected_60-69_coverage,previous_day_admission_adult_covid_suspected_70-79,previous_day_admission_adult_covid_suspected_70-79_coverage,previous_day_admission_adult_covid_suspected_80,previous_day_admission_adult_covid_suspected_80+_coverage,previous_day_admission_adult_covid_suspected_unknown,previous_day_admission_adult_covid_suspected_unknown_coverage,deaths_covid,deaths_covid_coverage,on_hand_supply_therapeutic_a_casirivimab_imdevimab_courses,on_hand_supply_therapeutic_b_bamlanivimab_courses,on_hand_supply_therapeutic_c_bamlanivimab_etesevimab_courses,previous_week_therapeutic_a_casirivimab_imdevimab_courses_used,previous_week_therapeutic_b_bamlanivimab_courses_used,previous_week_therapeutic_c_bamlanivimab_etesevimab_courses_used
AK,8,13,1,6,15,1,3,22,1396,22,1030,22,206,22,22,22,0,22,1,22,0,22,107,22,54,22,53,22,205,22,201,22,1,22,1,22,130,22,0.7378223495702,22,1030,1396,0.2,22,206,1030,0.14756446991404,22,206,1396,0.415384615384615,22,54,130,0.823076923076923,22,107,130,2021/09/10,POINT (-151.631889 63.631126),0,22,2,22,1,22,4,22,5,22,4,22,4,22,2,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,7,22,496,279,184,174,0,0
AL,40,63,12,40,59,16,13,111,14969,114,11820,114,2761,111,277,113,96,111,6,111,25,111,1586,114,781,111,783,113,2687,111,2524,113,74,111,44,111,1584,114,0.78963190593894,114,11820,14969,0.236630099417209,110,2761,11668,0.187046948038751,110,2761,14761,0.505174644243208,110,781,1546,1.001262626262626,114,1586,1584,2021/09/10,POINT (-86.844516 32.756889),2,113,13,113,35,113,28,113,62,113,56,113,46,113,35,113,0,113,0,111,11,111,6,111,5,111,17,111,27,111,17,111,13,111,0,111,50,111,7602,1660,767,3939,0,28
AR,19,74,2,22,71,2,10,93,8158,95,5965,95,1088,93,103,95,67,93,1,93,5,93,887,95,388,93,386,95,1072,93,1008,95,16,93,10,93,949,95,0.731184113753371,95,5965,8158,0.182980154725866,93,1088,5946,0.134155363748459,93,1088,8110,0.418103448275862,93,388,928,0.934668071654373,95,887,949,2021/09/10,POINT (-92.439162 34.899825),3,95,6,95,7,95,9,95,24,95,20,95,21,95,12,95,1,95,1,93,3,93,8,93,8,93,14,93,13,93,16,93,4,93,0,93,20,93,4381,567,564,1739,0,82
AS,0,1,0,0,1,0,0,1,150,1,74,1,0,1,0,1,0,1,0,1,0,1,3,1,0,1,0,1,0,1,0,1,0,1,0,1,7,1,0.493333333333333,1,74,150,0,1,0,74,0,1,0,150,0,1,0,7,0.428571428571429,1,3,7,2021/09/10,,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,30,0,0,0,0,0
AZ,34,67,3,33,68,3,19,101,15567,104,10905,104,2101,101,202,104,108,101,4,101,15,101,1390,104,552,101,542,104,2039,101,1821,104,62,101,29,101,2158,104,0.700520331470418,104,10905,15567,0.196410208469664,101,2101,10697,0.13741905945451,101,2101,15289,0.263736263736264,101,552,2093,0.644114921223355,104,1390,2158,2021/09/10,POINT (-111.664616 34.293239),0,104,9,104,20,104,29,104,50,104,43,104,29,104,20,104,2,104,4,101,10,101,11,101,11,101,25,101,20,101,16,101,11,101,0,101,87,101,1854,904,726,264,5,0
CA,108,231,35,126,212,36,44,366,61847,374,47881,374,7220,366,660,374,351,366,10,366,13,366,5626,374,1870,366,1850,374,7118,366,6768,374,102,366,84,366,7163,374,0.774184681552864,374,47881,61847,0.15260076511741,366,7220,47313,0.118285030881895,366,7220,61039,0.26798509601605,366,1870,6978,0.785425101214575,374,5626,7163,2021/09/10,POINT (-119.662127 37.211164),2,374,50,374,91,374,98,373,138,373,116,373,85,373,78,373,2,374,5,366,31,366,45,365,45,365,39,364,68,365,56,365,61,365,1,366,97,366,10987,9330,3368,2112,0,176
CO,12,61,20,11,62,20,7,91,11096,93,7522,93,1024,91,103,93,81,91,4,91,23,91,1007,93,364,91,365,93,988,91,901,93,36,91,17,91,1335,93,0.67790194664744,93,7522,11096,0.137615911839806,91,1024,7441,0.093184093184093,91,1024,10989,0.279569892473118,91,364,1302,0.754307116104869,93,1007,1335,2021/09/10,POINT (-105.547832 38.998552),1,93,10,93,18,93,17,93,15,93,19,93,11,93,12,93,0,93,2,91,13,91,9,91,9,91,17,91,10,91,9,91,12,91,0,91,7,91,855,972,274,266,0,9
CT,1,27,5,0,28,5,6,32,7870,33,6149,33,379,32,31,33,9,32,2,32,0,32,597,33,93,32,91,33,373,32,334,33,6,32,5,32,1052,33,0.781321473951715,33,6149,7870,0.062253613666229,32,379,6088,0.048695875626365,32,379,7783,0.090291262135922,32,93,1030,0.567490494296578,33,597,1052,2021/09/10,POINT (-72.738288 41.575155),0,33,2,33,2,33,4,33,5,33,7,33,4,33,6,33,1,33,0,32,1,32,0,32,0,32,2,32,3,32,1,32,2,32,0,32,3,32,1144,624,638,91,0,0
DC,0,12,2,0,12,2,1,12,3483,14,2751,14,144,13,6,14,40,13,4,13,0,13,264,14,26,12,24,13,119,13,106,14,25,13,21,13,347,14,0.789836347975883,14,2751,3483,0.054114994363021,13,144,2661,0.042895442359249,13,144,3357,0.08,12,26,325,0.760806916426513,14,264,347,2021/09/10,POINT (-77.016275 38.904785),0,14,0,14,2,14,1,14,1,14,1,14,0,14,1,14,0,14,0,13,5,13,10,13,3,13,3,13,4,13,10,13,5,13,0,13,1,12,277,258,148,30,0,0
DE,2,7,2,2,7,2,2,10,2890,11,2264,11,290,10,32,11,28,10,1,10,0,10,168,11,40,10,40,11,283,10,267,11,7,10,4,10,199,11,0.783391003460208,11,2264,2890,0.129406514948684,10,290,2241,0.101363159734359,10,290,2861,0.206185567010309,10,40,194,0.844221105527638,11,168,199,2021/09/10,POINT (-75.452394 38.994926),1,11,0,11,4,11,2,11,8,11,12,11,5,11,0,11,0,11,0,10,1,10,0,10,2,10,5,10,8,10,5,10,7,10,0,10,4,10,434,51,136,58,0,0
