state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,9,67,8990,68,5418,69,252,46,458,67,58,65,50,66,293,66,173,67,30,66,13,66,669,67,0.5879866518353727,68,5286,8990,0.07304347826086957,46,252,3450,0.042007001166861145,46,252,5999,0.09206349206349207,64,58,630,0.6846038863976084,67,458,669,2020-10-16
RI,6,14,2263,15,1884,14,121,12,134,15,18,14,17,15,125,14,123,15,2,12,2,12,173,15,0.8325231992929739,14,1884,2263,0.06847764572722127,11,121,1767,0.058173076923076925,12,121,2080,0.11392405063291139,14,18,158,0.7745664739884393,15,134,173,2020-10-16
SC,2,76,8071,69,8349,83,349,33,948,82,170,79,163,81,664,79,587,81,0,61,0,61,1347,81,0.7982901746995416,69,6443,8071,0.12535919540229884,33,349,2784,0.09819921215531795,33,349,3554,0.13066871637202152,78,170,1301,0.7030438010393467,81,947,1347,2020-10-16
SD,3,60,2761,63,1676,64,119,16,162,59,64,57,68,60,319,57,318,60,4,58,2,58,210,60,0.604491126403477,63,1669,2761,0.23564356435643563,16,119,505,0.1347678369195923,16,119,883,0.32989690721649484,56,64,194,0.7788461538461539,58,162,208,2020-10-16
TN,15,118,19366,132,13510,130,1117,92,1699,124,373,116,358,116,1355,117,1222,117,15,106,5,106,2254,127,0.717642056025089,129,13501,18813,0.12427681352914997,92,1117,8988,0.08964686998394863,92,1117,12460,0.1774500475737393,115,373,2102,0.7733272644515248,124,1699,2197,2020-10-16
TX,102,575,67827,583,46935,589,3519,412,5403,568,1431,574,1350,574,5012,577,4490,577,54,511,45,511,6884,560,0.6882952216668878,583,46685,67827,0.12659184113965033,412,3519,27798,0.08795960706876296,411,3519,40007,0.20729227193492156,556,1427,6884,0.7834108076699593,559,5393,6884,2020-10-16
UT,2,54,5501,55,2896,56,197,26,379,48,94,48,95,49,290,53,293,54,12,45,12,45,554,45,0.5166333393928376,55,2842,5501,0.13089700996677742,26,197,1505,0.07111756168359942,25,196,2756,0.16791044776119404,44,90,536,0.625,44,345,552,2020-10-16
VA,21,101,17993,105,11530,105,244,28,1310,102,190,99,174,102,769,100,650,103,7,77,6,77,1920,102,0.6408047574056578,105,11530,17993,0.1133302368787738,28,244,2153,0.06578592612564034,28,244,3709,0.10248112189859762,99,190,1854,0.6822916666666666,102,1310,1920,2020-10-16
VI,0,2,188,2,81,2,3,1,12,2,1,2,1,2,3,2,3,2,0,2,0,2,20,2,0.4308510638297872,2,81,188,0.058823529411764705,1,3,51,0.022727272727272728,1,3,132,0.05,2,1,20,0.6,2,12,20,2020-10-16
VT,0,16,1301,17,840,17,3,15,67,17,0,16,0,17,3,16,0,17,0,16,0,16,110,17,0.6456571867794004,17,840,1301,0.007407407407407408,15,3,405,0.003989361702127659,15,3,752,0.0,16,0,102,0.6090909090909091,17,67,110,2020-10-16
