state,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
RI,5,14,2182,15,1983,14,277,14,15,15,0,14,0,14,0,14,140,15,21,14,23,15,272,14,272,15,5,14,4,14,165,15,0.9087992667277727,14,1983,2182,0.14352331606217616,13,277,1930,0.13103122043519394,14,277,2114,0.1390728476821192,14,21,151,0.8484848484848485,15,140,165,2020-11-11
SC,4,83,11182,85,8489,85,756,83,73,85,111,83,1,83,2,83,919,85,209,83,201,85,748,83,618,85,8,83,4,83,1308,85,0.7591665176175997,85,8489,11182,0.09026865671641791,83,756,8375,0.06861499364675985,83,756,11018,0.16561014263074486,83,209,1262,0.7025993883792049,85,919,1308,2020-11-11
SD,105,61,2822,64,1788,64,556,61,66,64,16,61,1,61,0,61,180,64,97,61,96,64,551,61,538,64,5,61,4,61,219,64,0.6335931963146705,64,1788,2822,0.3238206173558532,61,556,1717,0.20403669724770643,61,556,2725,0.47783251231527096,61,97,203,0.821917808219178,64,180,219,2020-11-11
TN,15,103,20426,152,13139,132,1769,103,225,103,83,103,0,103,8,103,1681,149,484,103,451,103,1757,103,1576,103,12,103,7,103,2293,152,0.7022823240151799,132,13139,18709,0.1561341571050309,103,1769,11330,0.11186998039587681,103,1769,15813,0.2400793650793651,103,484,2016,0.751788908765653,149,1681,2236,2020-11-11
TX,161,581,68607,584,51172,586,7906,581,1064,586,774,581,25,581,53,580,6207,586,2052,581,1968,586,7793,581,7130,586,113,581,72,581,7861,584,0.7458714125380792,584,51172,68607,0.15659166534622088,581,7906,50488,0.11675059438545712,579,7906,67717,0.2682703621388417,579,2052,7649,0.7895941992112963,584,6207,7861,2020-11-11
UT,22,58,5988,59,3389,59,505,58,69,59,2,58,1,58,0,58,426,59,172,58,162,59,495,58,475,59,10,58,0,58,592,59,0.5659652638610554,59,3389,5988,0.1512428870919437,58,505,3339,0.08565128900949796,58,505,5896,0.29553264604810997,58,172,582,0.7195945945945946,59,426,592,2020-11-11
VA,27,105,18951,108,12631,108,1266,105,98,108,218,105,2,105,7,104,1332,108,270,105,233,108,1250,105,948,108,16,105,7,105,2074,108,0.6665083636747401,108,12631,18951,0.10137732222934016,105,1266,12488,0.06775850995504175,105,1266,18684,0.13439522150323543,105,270,2009,0.6422372227579557,108,1332,2074,2020-11-11
VI,0,2,168,2,102,2,2,2,0,2,0,2,0,2,0,2,10,2,0,2,0,2,2,2,2,2,0,2,0,2,20,2,0.6071428571428571,2,102,168,0.0196078431372549,2,2,102,0.011904761904761904,2,2,168,0.0,2,0,20,0.5,2,10,20,2020-11-11
VT,0,15,788,16,399,16,15,15,0,16,0,15,0,15,0,15,33,16,1,15,2,16,15,15,16,16,0,15,0,15,69,16,0.5063451776649747,16,399,788,0.0395778364116095,15,15,379,0.02,15,15,750,0.016129032258064516,15,1,62,0.4782608695652174,16,33,69,2020-11-11
WA,7,96,14235,105,9388,105,698,103,75,105,95,103,1,103,15,103,943,105,166,103,149,105,694,103,583,105,4,103,1,103,1373,105,0.659501229364243,105,9388,14235,0.0751345532831001,103,698,9290,0.04948248972068623,103,698,14106,0.1228719467061436,103,166,1351,0.6868171886380189,105,943,1373,2020-11-11
