state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
MT,9,57,1,9,57,1,7,66,3183,67,2150,67,158,66,32,67,25,66,2,66,4,66,139,67,29,66,28,67,153,66,143,67,5,66,1,66,218,67,0.6754633993088281,67,2150,3183,0.07407407407407407,66,158,2133,0.05009511731135067,66,158,3154,0.13679245283018868,66,29,212,0.6376146788990825,67,139,218,2021-01-18
NC,7,120,9,13,114,9,55,127,23921,131,18800,131,3593,127,379,131,201,127,20,127,16,127,2171,131,777,127,778,131,3556,127,3407,131,37,127,19,127,2542,131,0.785920321056812,131,18800,23921,0.19364052815952573,127,3593,18555,0.15226511844726023,127,3593,23597,0.31343283582089554,127,777,2479,0.8540519276160503,131,2171,2542,2021-01-18
ND,17,32,1,16,33,1,33,49,2463,50,1655,50,133,49,11,50,7,49,1,49,0,49,113,50,21,49,19,50,127,49,91,50,6,49,2,49,202,50,0.6719447827852213,50,1655,2463,0.08109756097560976,49,133,1640,0.05457529749692244,49,133,2437,0.10606060606060606,49,21,198,0.5594059405940595,50,113,202,2021-01-18
NE,10,91,0,20,81,0,10,101,4382,101,3008,101,454,101,49,101,24,101,0,101,1,101,377,101,118,101,113,101,443,101,414,101,11,101,6,101,565,101,0.686444545869466,101,3008,4382,0.15093085106382978,101,454,3008,0.10360565951620265,101,454,4382,0.2088495575221239,101,118,565,0.6672566371681415,101,377,565,2021-01-18
NH,7,22,1,9,20,1,6,30,3172,30,2307,30,273,30,26,30,18,30,0,30,0,30,179,30,56,30,52,30,272,30,232,30,1,30,1,30,283,30,0.7273013871374527,30,2307,3172,0.11833550065019506,30,273,2307,0.0860655737704918,30,273,3172,0.1978798586572438,30,56,283,0.6325088339222615,30,179,283,2021-01-18
NJ,10,84,2,10,82,4,178,94,24036,95,16914,96,3411,95,375,96,215,95,3,94,5,94,1494,95,562,94,542,95,3376,95,3093,96,35,94,10,94,2829,95,0.6997836578465635,95,16820,24036,0.2021932424422051,95,3411,16870,0.1413905350137718,94,3388,23962,0.1997867045858514,94,562,2813,0.528101802757158,95,1494,2829,2021-01-18
NM,18,36,2,20,34,2,3,51,4320,55,3188,52,719,51,98,55,35,54,2,51,5,54,406,52,161,51,155,52,704,51,658,52,15,51,5,51,498,55,0.7438170788614092,52,3188,4286,0.23163659793814434,51,719,3104,0.1724220623501199,51,719,4170,0.339662447257384,51,161,474,0.8185483870967742,52,406,496,2021-01-18
NV,0,3,61,0,3,61,36,63,8863,63,6815,63,1541,63,170,63,134,63,2,63,3,63,749,63,359,63,321,63,1536,63,1432,63,5,63,5,63,898,63,0.7689269998871714,63,6815,8863,0.2261188554658841,63,1541,6815,0.17386889315130316,63,1541,8863,0.3997772828507795,63,359,898,0.8340757238307349,63,749,898,2021-01-18
NY,9,186,15,9,186,15,307,199,54058,208,41286,208,9867,199,983,208,243,199,14,199,29,199,3977,208,1648,199,1581,208,9717,199,9063,208,150,199,62,199,5620,208,0.7637352473269451,208,41286,54058,0.2411113554724727,199,9867,40923,0.18473376769265334,199,9867,53412,0.2999635966508919,199,1648,5494,0.7076512455516014,208,3977,5620,2021-01-18
OH,21,207,4,43,185,4,75,228,33022,231,24265,231,3885,228,414,231,337,228,12,228,72,228,3169,231,852,228,804,231,3771,228,3393,231,114,228,67,228,4278,231,0.7348131548664527,231,24265,33022,0.161310413552566,228,3885,24084,0.11859698394285366,228,3885,32758,0.20180009474182853,228,852,4222,0.7407667134174848,231,3169,4278,2021-01-18
