state,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
AK,1332,20,725,23,41,24,43,14,7,21,45,9,0.3261432269197584,19,378,1159,0.0496551724137931,23,36,725,0.01951951951951952,20,26,1332,0.046511627906976744,7,2,43,0.4444444444444444,9,20,45,2020-07-31
AL,11938,106,7521,91,2075,109,1058,87,488,87,1116,75,0.7466776553002987,89,7248,9707,0.221427607610309,86,1641,7411,0.15130627180665476,101,1778,11751,0.36578707916287534,65,402,1099,0.8853046594982079,75,988,1116,2020-07-31
AR,7836,84,4486,77,1587,87,631,74,336,70,901,69,0.6495503336234407,76,4478,6894,0.135309852875613,77,607,4486,0.20252679938744259,84,1587,7836,0.30700778642936594,64,276,899,0.6781354051054383,69,611,901,2020-07-31
AZ,9558,76,7207,66,2052,87,915,60,585,67,932,51,0.8378742918802266,59,6212,7414,0.23726932149299293,66,1710,7207,0.1831973216154007,76,1751,9558,0.43058568329718006,49,397,922,0.7982832618025751,51,744,932,2020-07-31
CA,60531,383,42072,374,7962,407,5200,364,2073,369,7191,360,0.6972925210896602,372,41825,59982,0.1811180832857958,374,7620,42072,0.1256381027903058,383,7605,60531,0.2854160868355135,358,2051,7186,0.721007935403035,359,5179,7183,2020-07-31
CO,9077,76,4994,70,396,93,515,63,106,74,948,56,0.5770256172481744,68,4978,8627,0.06968362034441329,70,348,4994,0.03855899526275201,76,350,9077,0.08235294117647059,51,77,935,0.5586283185840708,54,505,904,2020-07-31
CT,8096,30,5338,29,168,31,470,28,21,29,1045,28,0.6698456519011168,29,5338,7969,0.03147246159610341,29,168,5338,0.020750988142292492,30,168,8096,0.020095693779904306,28,21,1045,0.44976076555023925,28,470,1045,2020-07-31
DC,2639,10,1944,11,151,11,227,11,14,10,376,11,0.7366426676771505,10,1944,2639,0.07767489711934156,11,151,1944,0.05683971201212581,10,150,2639,0.03723404255319149,10,14,376,0.6037234042553191,11,227,376,2020-07-31
DE,2279,10,499,7,72,11,35,6,13,7,47,5,0.7449908925318761,6,409,549,0.05410821643286573,7,27,499,0.031592803861342694,10,72,2279,0.10638297872340426,5,5,47,0.7446808510638298,5,35,47,2020-07-31
FL,75210,261,39818,248,9828,264,4694,247,2178,258,5897,247,0.5656126594505526,248,39818,70398,0.22062886131900145,248,8785,39818,0.13052785533838585,261,9817,75210,0.3409439427500426,244,2001,5869,0.7959979650669832,247,4694,5897,2020-07-31
GA,13363,108,7191,86,4113,137,1092,79,716,86,1138,72,0.7661410611549115,86,7191,9386,0.2650535391461549,86,1906,7191,0.21349996258325227,108,2853,13363,0.4804964539007092,66,542,1128,0.9086115992970123,72,1034,1138,2020-07-31
HI,1681,15,1235,22,90,22,53,11,18,13,98,11,0.6821946169772257,12,659,966,0.047879616963064295,14,35,731,0.039262343842950624,15,66,1681,0.061224489795918366,11,6,98,0.5408163265306123,11,53,98,2020-07-31
IA,9421,129,1510,36,373,130,453,124,103,124,742,118,0.5529110216038081,36,1510,2731,0.09602649006622517,36,145,1510,0.03948625411315147,129,372,9421,0.1334231805929919,118,99,742,0.5876010781671159,118,436,742,2020-07-31
ID,3995,45,1714,41,242,47,178,34,42,40,285,35,0.4390368852459016,41,1714,3904,0.1411901983663944,41,242,1714,0.06057571964956195,45,242,3995,0.1368421052631579,34,39,285,0.6113074204946997,29,173,283,2020-07-31
IL,27986,176,14893,146,1610,183,1665,132,375,139,2958,116,0.6129125412541254,144,14857,24240,0.08775935003021554,146,1307,14893,0.055563496033731154,176,1555,27986,0.1068259385665529,111,313,2930,0.5171703296703297,111,1506,2912,2020-07-31
