state,collection_date,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
CW,2021-02-04,"89,931","89,898","89,964",12.75,12.75,12.75,"708,706","708,399","709,013"
CW,2021-02-05,"87,322","87,285","87,358",12.40,12.38,12.41,"707,611","707,299","707,923"
CW,2021-02-06,"84,114","84,080","84,148",12.00,11.99,12.01,"704,396","704,091","704,701"
CW,2021-02-07,"82,744","82,710","82,777",11.87,11.82,11.92,"700,337","699,768","700,905"
CW,2021-02-08,"82,220","82,187","82,252",11.78,11.77,11.79,"701,406","701,097","701,715"
CW,2021-02-09,"81,038","81,005","81,071",11.54,11.53,11.54,"705,782","705,478","706,086"
CW,2021-02-10,"78,169","78,126","78,213",11.10,11.07,11.13,"707,460","707,136","707,783"
CW,2021-02-11,"74,972","74,938","75,005",10.66,10.64,10.67,"706,861","706,552","707,170"
CW,2021-02-12,"72,144","72,108","72,179",10.28,10.26,10.30,"704,776","704,462","705,090"
CW,2021-02-13,"69,773","69,703","69,842",10.00,9.92,10.08,"701,083","700,439","701,726"
CW,2021-02-14,"68,061","67,809","68,312",9.80,9.51,10.08,"698,036","696,091","699,982"
CW,2021-02-15,"67,520","67,472","67,568",9.73,9.69,9.77,"697,312","696,974","697,651"
CW,2021-02-16,"67,052","67,014","67,090",9.62,9.59,9.65,"700,282","699,991","700,572"
CW,2021-02-17,"65,853","65,821","65,886",9.40,9.38,9.43,"703,433","703,143","703,723"
CW,2021-02-18,"63,504","63,474","63,534",9.06,9.03,9.08,"704,093","703,788","704,397"
CW,2021-02-19,"61,761","61,722","61,800",8.81,8.78,8.85,"703,913","703,635","704,191"
CW,2021-02-20,"59,334","59,299","59,369",8.50,8.46,8.55,"700,920","700,470","701,371"
CW,2021-02-21,"58,567","58,533","58,602",8.42,8.39,8.46,"698,290","697,982","698,598"
CW,2021-02-22,"58,860","58,835","58,885",8.42,8.39,8.45,"701,918","701,705","702,131"
CW,2021-02-23,"58,270","58,239","58,302",8.29,8.25,8.32,"706,394","706,166","706,621"
