state,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,critical_staffing_shortage_today_not_reported,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_coverage,inpatient_beds_used,inpatient_beds_used_coverage,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,previous_day_admission_adult_covid_confirmed,previous_day_admission_adult_covid_confirmed_coverage,previous_day_admission_adult_covid_suspected,previous_day_admission_adult_covid_suspected_coverage,previous_day_admission_pediatric_covid_confirmed,previous_day_admission_pediatric_covid_confirmed_coverage,previous_day_admission_pediatric_covid_suspected,previous_day_admission_pediatric_covid_suspected_coverage,staffed_adult_icu_bed_occupancy,staffed_adult_icu_bed_occupancy_coverage,staffed_icu_adult_patients_confirmed_and_suspected_covid,staffed_icu_adult_patients_confirmed_and_suspected_covid_coverage,staffed_icu_adult_patients_confirmed_covid,staffed_icu_adult_patients_confirmed_covid_coverage,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,total_staffed_adult_icu_beds,total_staffed_adult_icu_beds_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,adult_icu_bed_covid_utilization,adult_icu_bed_covid_utilization_coverage,adult_icu_bed_covid_utilization_numerator,adult_icu_bed_covid_utilization_denominator,adult_icu_bed_utilization,adult_icu_bed_utilization_coverage,adult_icu_bed_utilization_numerator,adult_icu_bed_utilization_denominator,reporting_cutoff_start
PR,0,0,69,0,0,69,4,68,9324,69,5526,69,245,68,10,69,28,68,2,68,3,68,500,69,45,68,36,69,222,68,174,69,23,68,4,68,698,69,0.5926640926640927,69,5526,9324,0.04514464713469689,68,245,5427,0.026814052752544597,68,245,9137,0.06746626686656672,68,45,667,0.7163323782234957,69,500,698,2021-02-08
RI,4,10,1,4,10,1,5,14,2309,15,2352,15,272,14,28,15,0,14,0,14,0,14,142,15,39,14,40,15,272,14,234,15,0,14,0,14,174,15,1.018622780424426,15,2352,2309,0.11774891774891776,14,272,2310,0.12099644128113879,14,272,2248,0.23780487804878048,14,39,164,0.8160919540229885,15,142,174,2021-02-08
SC,26,59,2,23,62,2,15,85,11553,87,9303,87,1314,85,154,87,115,85,3,85,4,85,1102,87,302,85,298,87,1301,85,1202,87,13,85,10,85,1355,87,0.8052453908075824,87,9303,11553,0.14299706170421156,85,1314,9189,0.11549617649644019,85,1314,11377,0.22948328267477203,85,302,1316,0.8132841328413284,87,1102,1355,2021-02-08
SD,2,60,3,2,60,3,14,62,2841,65,1572,65,82,62,7,65,8,62,0,62,1,62,112,65,12,62,10,65,81,62,65,65,1,62,0,62,242,65,0.5533262935586061,65,1572,2841,0.05293737895416398,62,82,1549,0.02958152958152958,62,82,2772,0.05194805194805195,62,12,231,0.4628099173553719,65,112,242,2021-02-08
TN,22,80,41,40,62,41,16,102,20527,143,12810,128,1142,102,121,102,62,102,1,102,2,102,1712,140,306,102,295,102,1127,102,1054,102,15,102,11,102,2379,143,0.6650054508643514,128,12810,19263,0.096894620736467,102,1142,11786,0.06545537914827763,102,1142,17447,0.13802435723951287,102,306,2217,0.7372954349698536,140,1712,2322,2021-02-08
TX,123,472,0,158,437,0,99,595,68904,595,51785,595,9128,595,992,595,693,595,21,595,89,595,6560,595,2632,595,2521,595,8978,595,8310,595,150,595,127,595,7942,595,0.7515528851735749,595,51785,68904,0.1762672588587429,595,9128,51785,0.13247416695692557,595,9128,68904,0.3314026693528079,595,2632,7942,0.8259884160161168,595,6560,7942,2021-02-08
UT,0,57,1,0,57,1,2,57,5871,58,3478,58,337,57,43,58,12,57,3,57,0,57,414,58,124,57,118,58,323,57,281,58,14,57,0,57,624,58,0.5924033384431954,58,3478,5871,0.09810771470160116,57,337,3435,0.05828433068142511,57,337,5782,0.20462046204620463,57,124,606,0.6634615384615384,58,414,624,2021-02-08
VA,20,77,9,22,75,9,72,103,18263,106,13505,106,1929,103,195,106,225,103,4,103,11,103,1454,106,372,103,370,106,1908,103,1673,106,21,103,12,103,2000,106,0.7394732519301319,106,13505,18263,0.1447763434404083,103,1929,13324,0.10717262070115006,103,1929,17999,0.19284603421461896,103,372,1929,0.727,106,1454,2000,2021-02-08
VI,2,0,0,2,0,0,0,2,168,2,90,2,6,2,0,2,0,2,0,2,0,2,8,2,1,2,1,2,6,2,6,2,0,2,0,2,20,2,0.5357142857142857,2,90,168,0.06666666666666667,2,6,90,0.03571428571428571,2,6,168,0.05,2,1,20,0.4,2,8,20,2021-02-08
VT,2,14,1,2,14,1,5,16,1297,17,817,17,53,16,5,17,6,16,0,16,0,16,72,17,14,16,14,17,53,16,47,17,0,16,0,16,106,17,0.6299151888974557,17,817,1297,0.06683480453972257,16,53,793,0.04206349206349207,16,53,1260,0.1414141414141414,16,14,99,0.6792452830188679,17,72,106,2021-02-08
